"Вид нематеріального активу","Назва нематеріального активу","Місцезнаходження обʼєкта","Дата придбання","Вартість придбання","Наявність обтяжень","Дата відчуження","Вартість відчуження майна","Сума доходу (грн)","Балансова вартість на кінець звітного періоду (грн)","Партія","Місцева організація","Код ЄДРПОУ осередку","Географічний об'єкт","Квартал","Рік"
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програма 1С BAS Бухгалтерія. Базова","м. Чернігів, вул. Реміснича, буд. 18","2020-03-25",2240,"обтяження відсутнє",,,,"2183,99","РІДНИЙ ДІМ","Центральний офіс",39765623,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Печатка з оснасткою","м. Чернігів, вул. Реміснича, буд. 19","2020-06-10",450,"обтяження відсутнє",,,,"450,0","РІДНИЙ ДІМ","Центральний офіс",39765623,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","MSP-20 Мобільний стенд поп-ап","м. Чернігів, вул. Реміснича, буд. 20","2020-06-18",10543,"обтяження відсутнє",,,,"10543,0","РІДНИЙ ДІМ","Центральний офіс",39765623,"Україна",2,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програма 1С BAS Бухгалтерія. Базова","м. Чернігів, вул. Реміснича, буд. 18","2020-03-25",2240,"обтяження відсутнє",,,,"2127,98","РІДНИЙ ДІМ","Центральний офіс",39765623,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Печатка з оснасткою","м. Чернігів, вул. Реміснича, буд. 18","2020-06-10",450,"обтяження відсутнє",,,,"393,75","РІДНИЙ ДІМ","Центральний офіс",39765623,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","MSP-20 Мобільний стенд поп-ап","м. Чернігів, вул. Реміснича, буд. 18","2020-06-18",10543,"обтяження відсутнє",,,,"9225,13","РІДНИЙ ДІМ","Центральний офіс",39765623,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","USB - токен","м. Чернігів, вул. Реміснича, буд. 18","2020-08-17",180,"обтяження відсутнє",,,,"172,5","РІДНИЙ ДІМ","Центральний офіс",39765623,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність "" на 1 рік","м. Чернігів, вул. Реміснича, буд. 18","2020-08-28",750,"обтяження відсутнє",,,,"687,5","РІДНИЙ ДІМ","Центральний офіс",39765623,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмний засіб ""КЕП MASTERKEY"" строком дії 2 роки","м. Чернігів, вул. Реміснича, буд. 18","2020-08-28",1044,"обтяження відсутнє",,,,"1000,5","РІДНИЙ ДІМ","Центральний офіс",39765623,"Україна",3,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Апгрейд ПП BAS бухгалтерія базова PROF","м. Чернігів, вул. Реміснича, буд. 18","2020-09-30",4450,"обтяження відсутнє",,,,"4450,0","РІДНИЙ ДІМ","Центральний офіс",39765623,"Україна",3,2020
