Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність/відсутність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об’єкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Прапор Політичної партії ""Народний Фронт""",Україна,2014-11-17,,обтяження відсутнє,,,,"3833,28",Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Прапор Політичної партії ""Народний Фронт""",Україна,2014-11-17,,обтяження відсутнє,,,,"3583,26",Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Права на видавництво газети ""НАРОДНИЙ ФРОНТ""",Україна,2014-09-15,,обтяження відсутнє,,,,"3749,95",Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Права на видавництво газети ""НАРОДНИЙ ФРОНТ""",Україна,2014-09-15,,обтяження відсутнє,,,,"3499,93",Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Комп'ютерна програма M.E.Doc,Україна,2017-01-24,1102,обтяження відсутнє,,,,"918,34",Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Комп'ютерна програма M.E.Doc,Україна,2017-01-24,1102,обтяження відсутнє,,,,"367,36",Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Комп'ютерна програма ""Програмний комплекс FREEDOM""",Україна,2017-01-24,523,обтяження відсутнє,,,,"479,42",Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Комп'ютерна програма ""Програмний комплекс FREEDOM""",Україна,2017-01-24,523,обтяження відсутнє,,,,"348,68",Народний фронт,Центральний офіс,39181335,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Комп'ютерна програма ""1С:Підприємство 8.3""",Україна,2016-12-26,8892,обтяження відсутнє,,,,"10103,6",Народний фронт,Центральний офіс,39181335,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Комп'ютерна програма ""1С:Підприємство 8.3""",Україна,2016-12-26,8892,обтяження відсутнє,,,,26364,Народний фронт,Центральний офіс,39181335,Україна,3,2017
