Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Доменне ім'я https://sl.te.ua,Доменне ім'я,СИЛА ЛЮДЕЙ,1,2021
Торгова марка чи комерційне найменування,"Свідоцтво України на знак для товарів і послуг Торгова марка ""Сила Людей""",СИЛА ЛЮДЕЙ,1,2021
Доменне ім'я https://cabinet.sylaliudei.ua,Доменне ім'я https://cabinet.sylaliudei.ua,СИЛА ЛЮДЕЙ,1,2021
Доменне ім'я https://cabinet.sylalyudey.org,Доменне ім'я https://cabinet.sylalyudey.org,СИЛА ЛЮДЕЙ,1,2021
"Обробка даних для видачі сертифікатів ЕП та пост. КП ""Програмний комплекс Варта""","Обробка даних для видачі сертифікатів ЕП та пост. КП ""Програмний комплекс Варта""",СИЛА ЛЮДЕЙ,1,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",0,СИЛА ЛЮДЕЙ,1,2021
Доменне ім'я http://sl.te.ua/,Сайт,СИЛА ЛЮДЕЙ,4,2021
Торгова марка чи комерційне найменування,"Свідоцтво України на знак для товарів і послуг Торгова марка ""Сила Людей""",СИЛА ЛЮДЕЙ,4,2021
Доменне ім'я http://cabinet.sylaliudei.ua,Доменне ім'я http://cabinet.sylaliudei.ua,СИЛА ЛЮДЕЙ,4,2021
Доменне ім'я https://cabinet.sylalyudey.org,Доменне ім'я https://cabinet.sylalyudey.org,СИЛА ЛЮДЕЙ,4,2021
"Примірник та пакет оновлень(компонентів) комп.програми ""M.E.Doc"".","Примірник та пакет оновлень(компонентів) комп.програми ""M.E.Doc"".",СИЛА ЛЮДЕЙ,4,2021
"Обробка даних для видачі сертифікатів ЕП та пост. КП ""Програмний комплекс Варта""","Обробка даних для видачі сертифікатів ЕП та пост. КП ""Програмний комплекс Варта""",СИЛА ЛЮДЕЙ,4,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",0,СИЛА ЛЮДЕЙ,4,2021
Доменне ім'я http://sl.te.ua/,Сайт,СИЛА ЛЮДЕЙ,3,2021
Торгова марка чи комерційне найменування,"Свідоцтво України на знак для товарівсі послуг Торгова марка ""Сила Людей""",СИЛА ЛЮДЕЙ,3,2021
Доменне ім'я http://cabinet.sylaliudei.ua,Доменне ім'я http://cabinet.sylaliudei.ua,СИЛА ЛЮДЕЙ,3,2021
Доменне ім'я https://cabinet.sylalyudey.org,Доменне ім'я https://cabinet.sylalyudey.org,СИЛА ЛЮДЕЙ,3,2021
"Примірник та пакет оновлень(компонентів) комп. програми ""M.E.Doc"".","Примірник та пакет оновлень(компонентів) комп. програми ""M.E.Doc"".",СИЛА ЛЮДЕЙ,3,2021
"Обробка даних для видачі сертифікатів ЕП та пост. КП ""Програмний комплекс Варта""","Обробка даних для видачі сертифікатів ЕП та пост. КП ""Програмний комплекс Варта""",СИЛА ЛЮДЕЙ,3,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",0,СИЛА ЛЮДЕЙ,3,2021
Доменне ім'я http://sl.te.ua/,Сайт,СИЛА ЛЮДЕЙ,2,2021
Торгова марка чи комерційне найменування,"Свідоцтво України на знак для товарів і послуг Торгова марка ""Сила Людей""",СИЛА ЛЮДЕЙ,2,2021
Доменне ім'я http://cabinet.sylaliudei.ua,Доменне ім'я http://cabinet.sylaliudei.ua,СИЛА ЛЮДЕЙ,2,2021
Доменне ім'я https://cabinet.sylalyudey.org,Доменне ім'я https://cabinet.sylalyudey.org,СИЛА ЛЮДЕЙ,2,2021
"Обробка даних для видачі сертифікатів ЕП та пост. КП ""Програмний комплекс Варта""","Обробка даних для видачі сертифікатів ЕП та пост. КП ""Програмний комплекс Варта""",СИЛА ЛЮДЕЙ,2,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",0,СИЛА ЛЮДЕЙ,2,2021
