Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С :Підприємство 8,"04080, м. Київ, вул. Турівська, 15",01.02.2013,5760,обтяження відсутнє,,,,1344,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,1,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С :Підприємство 8 (додаткове робоче місце),"04080, м. Київ, вул. Турівська, 13",11.10.2013,1440,обтяження відсутнє,,,,408,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,1,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",1-С :Підприємство 8 (додаткове робоче місце),"04080, м. Київ, вул. Турівська, 13",16.03.2017,7332,обтяження відсутнє,,,,"6965,4",Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2,2017
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Батьківщина"" Свідоцтво серія ДП № 925",м. Дніпропетровськ,05.03.2002,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2,2017
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Київський майдан"" Свідоцтво серія КІ №872",м. Київ,09.06.2005,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Київська міська організація,21709458,Київ,1,2017
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Батьківщина Сумська"" серія СМ №772/394Р",,,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Сумська обласна організація,24011118,Сумська область,1,2017
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби масової інформації газета ""14 днів""","м.Дніпро (м. Дніпропетровськ ), вул. М.Грушевського (вул.Карла Лібкнехта), буд.8",23.01.2009,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,1,2017
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби масової інформації газета ""Хочу в прорив""","м.Дніпропетровськ , вул. Карла Лібкнехта , буд.8",23.06.2008,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,1,2017
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби масової інформації газета ""Павлоградські обрії""","м.Дніпропетровськ , вул. Карла Лібкнехта , буд.8",10.06.2008,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,1,2017
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкованого засобу масової інформації газета,,14.09.2016,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,1,2017
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби масової інформації газета ""14 днів""","м.Дніпро, вул.Карла  Лібкнехта, буд.8",23.01.2009,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,2,2017
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби масової інформації газета ""Хочу в прорив""","м.Дніпропетровськ  , вул. Карла  Лібкнехта  , буд.8",23.06.2008,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,2,2017
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друковані засоби масової інформації газета ""Павлоградські обрії""","м.Дніпропетровськ  , вул. Карла  Лібкнехта  , буд.8",10.06.2008,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Дніпропетровська обласна організація,25788756,Дніпропетровська область,2,2017
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Батьківщина Волині""",Волинська обл.  м.Луцьк  ,09.06.2017,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Волинська обласна організація,25787544,Волинська область,2,2017
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","газета ""Батьківщина-Закарпаття"" свідоцтво Серія ЗТ №524/116Р",м. Мукачево,06.10.2010,,обтяження відсутнє,,,,,Всеукраїнське об’єднання “Батьківщина”,Закарпатська обласна організація,25446205,Закарпатська область,2,2017
