Вид транспортного засобу,Марка/модель,Рік випуску,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Дата набуття речового права,Сума витрат на отримання речового права (грн),Дата припинення,Дата відчуження,Вартість відчуження,Наявність обтяжень,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Вид речового права,Тип власника,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,Column
Автомобілі легкові,А/м Тойота Чайзер,1996,,,,13.11.2001,"34774,58",,,,обтяження відсутнє,"3536,39",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,"А/м Тойота Терсел ( Об""єм двигуна 1800 куб.см.)",1996,,,,05.09.2002,"9372,93",,,,обтяження відсутнє,500,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Тойота Терсел (Об'єм двигуна 1300 куб.см.),1996,,,,06.06.2006,"7057,36",,,,обтяження відсутнє,500,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Тойота Терсел (Об'єм двигуна 1300 куб.см.),1996,,,,05.09.2002,"6973,82",,,,обтяження відсутнє,500,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Тойота Терсел (Об'єм двигуна 1300 куб.см.),1996,,,,01.12.2001,"6899,29",,,,обтяження відсутнє,500,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Тойота Терсел (Об'єм двигуна 1300 куб.см.),1996,,,,05.09.2002,"7140,69",,,,обтяження відсутнє,500,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,"А/м Тойота Камрі ( Об""єм двигуна 2995 куб.см.)",2005,,,,05.12.2005,"93040,86",,,,обтяження відсутнє,"11114,6",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,"А/м Тойота Камрі ( Об""єм двигуна 2995 куб.см.)",2005,,,,02.12.2005,"124762,27",,,,обтяження відсутнє,"13317,15",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Тойота Ленд Крузер ( Об'єм двигуна 4664 куб.см.),2005,,,,09.10.2014,"119616,2",,,,обтяження відсутнє,"12958,9",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Тойота Ленд Крузер ( Об'єм двигуна 4664 куб.см.),2005,,,,05.12.2005,91454,,,,обтяження відсутнє,"11003,08",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2006,,,,22.08.2006,93291,,,,обтяження відсутнє,2000,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2006,,,,22.08.2006,93291,,,,обтяження відсутнє,2000,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2006,,,,22.08.2006,93291,,,,обтяження відсутнє,2000,,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Фольксваген Транспортер ( Об'єм двигуна 1984 куб.см.),2007,,,,05.10.2007,176750,,,,обтяження відсутнє,"39197,6",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Фольксваген Транспортер( Об'єм двигуна 1896 куб.см.),2008,,,,24.10.2008,"209169,05",,,,обтяження відсутнє,"65996,05",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
Автомобілі легкові,А/м Шкода Октавія Тур (Об'єм двигуна 1598 куб.см.),2008,,,,12.12.2008,"109121,6",,,,обтяження відсутнє,"20746,28",,право власності,партійний осередок,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,20069956,Україна,2017-06-30,2,2017,
