Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об’єкт,Дата,Квартал,Рік
ПАТ КБ “Приватбанк”,рахунок виборчого фонду політичної партії,26432054700491,7,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,Рівненська область,2016-12-31,5,2016
невідомо,рахунок виборчого фонду політичної партії,919684,0,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2016-12-31,5,2016
ПАТ КБ “Приватбанк”,поточний рахунок,26009054717583,0,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,Рівненська область,2017-03-31,1,2017
"ПАТ ""Райффайзен банк “Аваль”",поточний рахунок,26000532822,"10058,64","Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2017-03-31,1,2017
"ПАТ ""Райффайзен банк “Аваль”",поточний рахунок,26000532822,"11437,04","Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,2017-06-30,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009054717583,0,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,Рівненська область,2017-06-30,2,2017
"ПАТ ""Райффайзен банк “Аваль”",поточний рахунок,26000532822,"25698,52","Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,30.09.2017,3,2017
"АТ ""Укрсиббанк""",поточний рахунок,26006054726027,1385,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,Рівненська область,30.09.2017,3,2017
"АТ ""ОТП Банк""",поточний рахунок,919685,0,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,30.09.2017,3,2017
"АТ ""Укрексімбанк""",поточний рахунок,919686,0,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,30.09.2017,3,2017
АТ “Ощадбанк”,поточний рахунок,919687,0,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,30.09.2017,3,2017
невідомо,поточний рахунок,919688,0,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,30.09.2017,3,2017
невідомо,поточний рахунок,919689,0,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,30.09.2017,3,2017
"ПАТ ""ВТБ Банк""",поточний рахунок,919690,0,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,30.09.2017,3,2017
"ПАТ ""Укрсоцбанк”",поточний рахунок,919691,0,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,30.09.2017,3,2017
"ПАТ ""Універсал Банк""",поточний рахунок,919692,0,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,919693,0,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Центральний офіс,39688832,Україна,30.09.2017,3,2017
