Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Авторське право та суміжні з ним права,"Газета ""Голос ""Батьківщини""",БАТЬКІВЩИНА,4,2024
газета,"газета ""Під прапором Батьківщини""",БАТЬКІВЩИНА,4,2024
Домен,Домен byut.rv.ua,БАТЬКІВЩИНА,4,2024
Хостинг,Хостинг,БАТЬКІВЩИНА,4,2024
хостинг,послуги хостингу аккаунт batkiv06,БАТЬКІВЩИНА,4,2024
домен,послуги домену batkivshchyna.lviv.ua,БАТЬКІВЩИНА,4,2024
Домен,Домен https://batkivshchina.zp.ua,БАТЬКІВЩИНА,4,2024
Хостинг,Хостинг,БАТЬКІВЩИНА,4,2024
ГАЗЕТА,"ДРУКОВАНИЙ ЗАСІБ МАСОВОЇ ІНФОРМАЦІЇ (ГАЗЕТА) ""НАША БАТЬКІВЩИНА""",БАТЬКІВЩИНА,4,2024
газета,"""СЛОБОЖАНСЬКА БАТЬКІВЩИНА""",БАТЬКІВЩИНА,4,2024
хостінг,ba.kh.ua,БАТЬКІВЩИНА,4,2024
домен,ba.kh.ua,БАТЬКІВЩИНА,4,2024
Газета,"Газета ""Батьківщина Сумська"" серія СМ №772/394Р",БАТЬКІВЩИНА,4,2024
Газета,"Газета ""Батьківщина Волині""",БАТЬКІВЩИНА,4,2024
Домен,Домен batkivshchyna.volyn.ua,БАТЬКІВЩИНА,4,2024
Газета,"Друкований засіб масової інформації ""Батьківщина""",БАТЬКІВЩИНА,4,2024
Програмна продукція,"Програмна продукція ""M.E.Doc"" ліцензія ""Звітність""",БАТЬКІВЩИНА,4,2024
Домен,Домен htt://ba.vn.ua/,БАТЬКІВЩИНА,4,2024
Хостинг,Хостинг htt://ba.vn.ua/,БАТЬКІВЩИНА,4,2024
Газета,"Газета ""Київщина-моя Батьківщина""",БАТЬКІВЩИНА,4,2024
Домен,http://www.batkivschyna-kievobl.com.ua/,БАТЬКІВЩИНА,4,2024
Хостінг,Хостінг,БАТЬКІВЩИНА,4,2024
Домен,vo-batkivshyna.od.ua,БАТЬКІВЩИНА,4,2024
Хостинг,Хостинг,БАТЬКІВЩИНА,4,2024
газета,"Друкований засіб масової інформації Газета ""14 днів""",БАТЬКІВЩИНА,4,2024
газета,"Друкований засіб масової інформації Газета ""Хочу в прорив""",БАТЬКІВЩИНА,4,2024
газета,"Друкований засіб масової інформації Газета ""Павлоградські обрії""",БАТЬКІВЩИНА,4,2024
газета,"Друкований засіб масової інформації Газета ""Батьківщина""",БАТЬКІВЩИНА,4,2024
домен,Трансфер домена pro-line.dp.ua,БАТЬКІВЩИНА,4,2024
домен,домен https://batkivshchyna.dp.ua/,БАТЬКІВЩИНА,4,2024
хостінг,хостінг,БАТЬКІВЩИНА,4,2024
Газета,"Газета ""Твоя Батьківщина"" свідоцтво серія ЧС №1001Р від 27.02.2018 р.",БАТЬКІВЩИНА,4,2024
Хостинг,Хостинг bat.ck.ua,БАТЬКІВЩИНА,4,2024
Домен,Домен bat.ck.ua,БАТЬКІВЩИНА,4,2024
газета,Слово Батьківщини,БАТЬКІВЩИНА,4,2024
Друкований засіб масової інформації,"Газета ""Київський майдан""",БАТЬКІВЩИНА,4,2024
Домен,Послуги домену ba.org.ua,БАТЬКІВЩИНА,4,2024
Хостинг,Послуги хостингу,БАТЬКІВЩИНА,4,2024
Газета,"Газета ""Батьківщина""",БАТЬКІВЩИНА,4,2024
Офіційний сайт,Сайт,БАТЬКІВЩИНА,4,2024
Програмна продукція,Програмна продукція Windows Professional 10 SNGL OLP NL Legalization GetGenuine wCOA ,БАТЬКІВЩИНА,4,2024
Програмна продукція,Програмна продукція Office Home and Business 2016 Win AllLng PKLic Onln CEE Only C2R NR Windows Professional 10 SNGL OLP NL Legalization GetGenuine wCOA ,БАТЬКІВЩИНА,4,2024
Програмна продукція,Програмна продукція Acrobat Pro DC for teams ALL Multiple Platforms Multi European Languages Team Licensing Subscription New GOV,БАТЬКІВЩИНА,4,2024
Домен,домен beauty.net.ua,БАТЬКІВЩИНА,4,2024
Домен,домен byut.com.ua,БАТЬКІВЩИНА,4,2024
Домен,домен bа.org.ua,БАТЬКІВЩИНА,4,2024
сертифікат для домена,SSL для домена,БАТЬКІВЩИНА,4,2024
програмна продукція,"програмна продукція ""M.E.Doc"" ліцензія ""Звітність""",БАТЬКІВЩИНА,4,2024
програмна продукція,"програмна продукція ""M.E.Doc"" ліцензія ""Облік ПДВ""",БАТЬКІВЩИНА,4,2024
програмна продукція,BAF(8.3.19.1529) Конфігурація бухгалтерський облік для неприбуткових організацій,БАТЬКІВЩИНА,4,2024
