Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Офіс,"м. Тернопіль, вул. Живова, буд. 9 м.",55.0,,01.01.2022,,Безоплатне користування,,,Фізична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Офіс,"м. Тернопіль, вул. Живова, буд. 9 м., прим. 42",52.5,,05.04.2024,,Безоплатне користування,,,Фізична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Нежитлова будівля,"Чернігівська обл., м. Чернігів, вул. 1 Гвардійської армії, буд. 39 А",257.5,,01.01.2024,0,Безоплатне користування,,,Фізична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Нежитлова будівля,"Чернігівська обл., Сосницький р-н, смт Сосниця, ВУЛИЦЯ Л. УКРАЇНКИ, буд. 34",11.7,,01.12.2019,7974.95,Оренда,"Відділ освіти, культури, молоді та спорту Сосницької селищної ради",41822072,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Нежитлова будівля,"Чернігівська обл., Бобровицький р-н, м. Бобровиця, вул. Незалежності, буд. 44",61.55,,01.09.2021,0,Оренда,Відділ культури та туризму Бобровицької міської ради,43989827,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Нежитлова будівля,"Чернігівська обл., Прилуцький р-н, смт Варва, вул. Миру, буд. 8",11.72,,08.07.2022,19485.2,Оренда,Варвинська селищна рада Прилуцького району Чернігівської області,04412372,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Нежитлова будівля,"Куликівський р-н, Чернігівська обл., смт Куликівка, вул. Шевченка, буд. 9А",21.0,,01.01.2018,0,Оренда,КУЛИКІВСЬКЕ РАЙОННЕ СПОЖИВЧЕ ТОВАРИСТВО,01776493,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Нежитлова будівля,"Корюківський р-н, Чернігівська обл., м. Сновськ, вул. Героїв Чернігова, буд. 26",15.7,,01.08.2024,43870,Оренда,"КУ ""Теріторіальний центр соціального обслуговування (надання соціальних послуг)"" Сновської міської ради Корюківського району Чернігівської області",37284142,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
нежитлове приміщення,"Хмельницька обл., Хмельницький р-н, м. Хмельницький, вул. Проскурівська, буд. 60/1",34.0,,04.03.2024,223414,Оренда,Управління житлової політики і майна Хмельницької міської ради,26381695,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Квартира,"Закарпатська обл., м. Мукачево, вул. Достоєвського, буд. 7 кв. 5.",33.4,,01.06.2024,,безоплатне користування,"Політична партія "" ВСЕУКРАЇНСЬКЕ ОБ""ЄДНАННЯ ""БАТЬКІВЩИНА""",20069956,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Офіс,"Кіровоградська обл., м. Кропивницький, бульв. Студентський, буд. 1Б",121.2,1228664,19.02.2009,116250,Власність,"Кіровоградська обласна організація політичної партії Всеукраїнське об'єднання ""Батьківщина""",24146984,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Нежитлова будівля,"Рівненська обл., м. Рівне, вул. Кавказька буд. 9А, оф. 114",30.0,,01.09.2023,71076,Оренда,,,Фізична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Офіс,"м. Львів, вул. І. Франка, буд. 16",113.1,14670095,05.05.2006,17773,Власність,"Львівська обласна партійна організація ""Всеукраїнського об'єднання""Батьківщина""",25249083,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Офіс,"м. Львів, просп. В. Чорновола, буд. 59",32.8,19395701,17.03.2008,10754,Власність,"Львівська обласна партійна організація ""Всеукраїнського об'єднання""Батьківщина""",25249083,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Офіс,"м. Львів, вул. І. Франка, буд. 16",96.0,29935448,16.03.2010,110120,Власність,"Львівська обласна партійна організація ""Всеукраїнського об'єднання""Батьківщина""",25249083,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Офіс,"Львівська обл., м. Шептицький, вул. Сокальська 6, буд. 16",60.1,,21.07.2024,650654,Оренда,"Комунальне підприємстово""Житлокомунсевіс"" Шептицької міської ради",31616100,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Офіс,"м. Запоріжжя, вул. Космічна, б. 119",10.2,,01.07.2023,8260.96,Оренда,"СПІЛЬНЕ УКРАЇНСЬКО-АМЕРИКАНСЬКЕ ПІДПРИЄМСТВО ""ВІННЕР ФОРД ЗАПОРІЖЖЯ""/ ""ІНТРЕЙД ГРУП""",22115910,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Нежитлове приміщення,"Херсонська обл., м. Херсон, просп. 200 років Херсона, буд. 31",5.0,,27.08.2021,,Безоплатне користування,"Товариство з обмеженою відповідальністю ""Управляюча компанія ""Будмеханізація""",40030596,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Нежитлове приміщення,"Херсонська обл., м. Херсон, просп. 200 років Херсона, буд. 31",5.0,,27.08.2021,,Безоплатне користування,"Товариство з обмеженою відповідальністю ""Управляюча компанія ""Будмеханізація""",40030596,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Нежитлове приміщення,"Херсонська обл., м. Херсон, просп. 200 років Херсона, буд. 31",5.0,,27.08.2021,,Безоплатне користування,"Товариство з обмеженою відповідальністю ""Управляюча компанія ""Будмеханізація""",40030596,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Нежитлове приміщення ,"Полтавська обл., м. Полтава, вул. Соборності, буд. 43 оф. 307",4.5,,27.04.2024,,Оренда,"ПП ""ЕВЕРЕСТ О""",36274877,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Квартира,"Харківська обл., м. Харків, вул. Сомівська, буд. 37/39, кв. 68",73.1,,01.12.2024,0,Безоплатне користування,,,Фізична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Офіс,"м. Суми, вул. Троїцька, буд. 1",3.7,,01.11.2023,,Оренда,Сумська обласна спілка споживчих товариств,01765325,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Офіс,"м. Суми, вул. Бельгійська, буд. 9",24.2,,30.01.2020,,Суборенда,ДЕПАРТАМЕНТ ЗАБЕЗПЕЧЕННЯ РЕСУРСНИХ ПЛАТЕЖІВ СУМСЬКОЇ МІСЬКОЇ РАДИ,40456009,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
Офіс,"Донецька обл., м. Краматорськ, вул. Перша Горна, буд. 5А",22.0,,01.01.2024,,Безоплатне користування,"ТОВ ""ОРЕНДНИЙ БУДИНОК""",43259920,Юридична особа,БАТЬКІВЩИНА,2024-12-31,4,2024
