Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Авторське право та суміжні з ним права,"ПЗ ""Сайт партії""",ПАРТІЯ РЕГІОНІВ,2,2024
Торгова марка чи комерційне найменування,"Знак ""ПАРТІЯ РЕГІОНІВ УКРАЇНА"" (англійська мова)",ПАРТІЯ РЕГІОНІВ,2,2024
Торгова марка чи комерційне найменування,"Знак ""ПАРТИЯ РЕГИОНОВ УКРАИНА""",ПАРТІЯ РЕГІОНІВ,2,2024
Торгова марка чи комерційне найменування,"Знак ""ПАРТІЯ РЕГІОНІВ УКРАЇНА""",ПАРТІЯ РЕГІОНІВ,2,2024
Торгова марка чи комерційне найменування,"Знак ""ПАРТІЯ РЕГІОНІВ """,ПАРТІЯ РЕГІОНІВ,2,2024
Торгова марка чи комерційне найменування,"Знак ""ПАРТІЯ РЕГІОНІВ ""(об'єднана)",ПАРТІЯ РЕГІОНІВ,2,2024
Торгова марка чи комерційне найменування,"Знак ""ПАРТІЯ РЕГІОНІВ ""(оновлена)",ПАРТІЯ РЕГІОНІВ,2,2024
Авторське право та суміжні з ним права,"ПЗ ""Сайт партії""",ПАРТІЯ РЕГІОНІВ,3,2024
Торгова марка чи комерційне найменування,"Знак ""ПАРТІЯ РЕГІОНІВ УКРАЇНА"" (англійська мова)",ПАРТІЯ РЕГІОНІВ,3,2024
Торгова марка чи комерційне найменування,"Знак ""ПАРТИЯ РЕГИОНОВ УКРАИНА""",ПАРТІЯ РЕГІОНІВ,3,2024
Торгова марка чи комерційне найменування,"Знак ""ПАРТІЯ РЕГІОНІВ УКРАЇНА""",ПАРТІЯ РЕГІОНІВ,3,2024
Торгова марка чи комерційне найменування,"Знак ""ПАРТІЯ РЕГІОНІВ """,ПАРТІЯ РЕГІОНІВ,3,2024
Торгова марка чи комерційне найменування,"Знак ""ПАРТІЯ РЕГІОНІВ ""(об'єднана)",ПАРТІЯ РЕГІОНІВ,3,2024
Торгова марка чи комерційне найменування,"Знак ""ПАРТІЯ РЕГІОНІВ ""(оновлена)",ПАРТІЯ РЕГІОНІВ,3,2024
