Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Футболка),"м. Київ, вул. Володимирська, 12 оф. 307",10.02.2017,"1100,00",,,,,"1008,30",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Проможилет),"м. Київ, вул. Володимирська, 12 оф. 307",10.02.2017,"600,00",,,,,"550,00",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Фірмовий бланк),"м. Київ, вул. Володимирська, 12 оф. 307",10.02.2017,"600,00",,,,,"550,00",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Фірмовий патерн),"м. Київ, вул. Володимирська, 12 оф. 307",10.02.2017,"1100,00",,,,,"1008,30",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Конверт),"м. Київ, вул. Володимирська, 12 оф. 307",10.02.2017,"350,00",,,,,"320,80",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Кепка),"м. Київ, вул. Володимирська, 12 оф. 307",10.02.2017,"2100,00",,,,,"1925,00",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Зовнішній оздоблювальний елемент),"м. Київ, вул. Володимирська, 12 оф. 307",10.02.2017,"250,00",,,,,"229,20",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Пакет),"м. Київ, вул. Володимирська, 12 оф. 307",10.02.2017,"350,00",,,,,"320,80",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Пакет господарський),"м. Київ, вул. Володимирська, 12 оф. 307",10.02.2017,"850,00",,,,,"779,20",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Чашка),"м. Київ, вул. Володимирська, 12 оф. 307",10.02.2017,"2700,00",,,,,"2475,00",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Ручка автоматична кулькова),"м. Київ, вул. Володимирська, 12 оф. 307",10.02.2017,"1600,00",,,,,"1466,70",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Папка),"м. Київ, вул. Володимирська, 12 оф. 307",27.03.2017,"350,00",,,,,"323,72",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Книга записів),"м. Київ, вул. Володимирська, 12 оф. 307",12.06.2017,"1850,00",,,,,"1757,48",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Чохол для телефону),"м. Київ, вул. Володимирська, 12 оф. 307",12.06.2017,"2850,00",,,,,"2707,50",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промислович зразок (Сумка),"м. Київ, вул. Володимирська, 12 оф. 307",12.06.2017,"1100,00",,,,,"1044,98",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Патент на промисловий зразок (Блокнот),"м. Київ, вул. Володимирська, 12 оф. 307",12.06.2017,"850,00",,,,,"807,52",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмне забезпечення ""1С Підприємство 8)","м. Київ, вул. Володимирська, 12 оф. 307",19.11.2015,"3600,00",,,,,"2100,00",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Примірник програмної продукції з ліцензією в електронному вигляді, що передається каналами інтернет ""ESENT Endpoint Protection Advanced"" - 15 шт.","м. Київ, вул. Володимирська, 12 оф. 307",29.12.2016,"9180,00",,,,,"0,00",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Примірник програмної продукції з ліцензією в електронному вигляді, що передається каналами інтернет ""ESENT Endpoint Protection Advanced"" - 20 шт.","м. Київ, вул. Володимирська, 12 оф. 307",18.12.2017,"14103,60",,,,,"14103,60",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмне забезпечення ""(LX2-00012) Microsoft DynCRMOLEssntlOpen ShrdSvr SNGL SubsVL OLP NL Annual Qlfd"" - 2 шт.","м. Київ, вул. Володимирська, 12 оф. 307",20.10.2016,"8312,20",,,,,"0,00",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмне забезпечення ""(9F4-00003) Microsoft O365BusinessPrem ShrdSvr SNGL SubsVL OLP NL Qualified Annual"" - 2 шт.","м. Київ, вул. Володимирська, 12 оф. 307",20.10.2016,"6930,50",,,,,"0,00",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмне забезпечення ""(LX2-00028) Microsoft DynCRMOLPProOpen ShrdSvr SNGL SubsVL OLP NL Annual AddOntoO365 Qlfd"" - 2 шт.","м. Київ, вул. Володимирська, 12 оф. 307",20.10.2016,"27733,34",,,,,"0,00",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програмне забезпечення ""Microsoft Dynamics 365 for Team Members, Enterprise Edition Tier 1 (1-99 users)"" - 3 шт.","м. Київ, вул. Володимирська, 12 оф. 307",27.12.2016,"9514,56",,,,,"0,12",Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2017
