Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Географічний обʼєкт,Дата
"ПУАТ ""Фідобанк""",поточний рахунок,26002000643903,"131,23",Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,31.03.2017
"АБ ""Укргазбанк""",поточний рахунок,26046903289478,"9085,86",Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,31.03.2017
"АБ ""Укргазбанк""",поточний рахунок,26007212001988,658,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,31.03.2017
"ПАТ ""Мегабанк""",поточний рахунок,2600426373,0,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,31.03.2017
"ПАТ ""Мегабанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,2604826373,"3027508,98",Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,31.03.2017
"ПУАТ ""Фідобанк""",поточний рахунок,26002000643903,"131,23",Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,30.06.2017
"АБ ""Укргазбанк""",поточний рахунок,26046903289478,0,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,30.06.2017
"АБ ""Укргазбанк""",поточний рахунок,26007212001988,0,Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,30.06.2017
"ПАТ ""Мегабанк""",поточний рахунок,2600426373,"22167,78",Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,30.06.2017
"ПАТ ""Мегабанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,2604826373,"6265859,4",Всеукраїнське об’єднання “Батьківщина”,Центральний офіс,Україна,30.06.2017
