Партія,Місцева організація,Область,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Всеукраїнське об’єднання “Батьківщина”,Вінницька обласна організація,,25511109,"21007, Вінницька обл., місто Вінниця, ВУЛИЦЯ П. Запорожця, буд.46-А","21007, Вінницька обл., місто Вінниця, вул. П. Запорожця, буд.46-А","ПАТ Укрсоцбанк, МФО 300023, р/р 26000011969944"
Всеукраїнське об’єднання “Батьківщина”,Вінницька міська організація,,25962102,"21007, Вінницька обл., місто Вінниця, ВУЛИЦЯ П. Запорожця, буд.46-А","21007, Вінницька обл., місто Вінниця, вул. П. Запорожця, буд.46-А",
Всеукраїнське об’єднання “Батьківщина”,Гніванська міська організація,,37058480,"23310, Вінницька обл., місто Гнівань, ВУЛИЦЯ ЛЕНІНА, будинок 54, квартира 51","23310, Вінницька обл., місто Гнівань, вул. ЛЕНІНА, будинок 54, квартира 51",
Всеукраїнське об’єднання “Батьківщина”,Жмеринська міська організація,,25962289,"23100, Вінницька обл., місто Жмеринка, вул. Київська, буд.18","23100, Вінницька обл., місто Жмеринка, вул. Київська, буд.18",
Всеукраїнське об’єднання “Батьківщина”,Козятинська міська організація,,26142105,"22100, Вінницька обл., місто Козятин, ВУЛИЦЯ П. ОРЛИКА, будинок 12","22100, Вінницька обл., місто Козятин, вул. П. ОРЛИКА, будинок 12",
Всеукраїнське об’єднання “Батьківщина”,Ладижинська міська організація,,26142080,"24321, Вінницька обл., місто Ладижин, ВУЛИЦЯ Процишина, буд.2/2","24321, Вінницька обл., місто Ладижин, вул. Процишина, буд.2/2",
Всеукраїнське об’єднання “Батьківщина”,Могилів-Подільська міська організація ,,34893251,"24000, Вінницька обл., місто Могилів-Подільський, вул. Гудзія, будинок 13","24000, Вінницька обл., місто Могилів-Подільський, вул. Гудзія, будинок 13",
Всеукраїнське об’єднання “Батьківщина”,Хмільницька міська організація,,36575258,"22000, Вінницька обл., місто Хмільник, вул. Небесної Сотні, будинок 24","22000, Вінницька обл., місто Хмільник, вул. Небесної Сотні, будинок 24",
Всеукраїнське об’єднання “Батьківщина”,Замостянська районна організація,,25962094,"21007, Вінницька обл., місто Вінниця, ВУЛИЦЯ П. Запорожця, буд.46-А","21007, Вінницька обл., місто Вінниця, вул. П. Запорожця, буд.46-А",
Всеукраїнське об’єднання “Батьківщина”,Правобережна районна організація,,25962088,"21007, Вінницька обл., місто Вінниця, ВУЛИЦЯ П. Запорожця, буд.46-А","21007, Вінницька обл., місто Вінниця, вул. П. Запорожця, буд.46-А",
