Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
сайт,сайт https://dnipro.proposition.org.ua/,ПРОПОЗИЦІЯ,1,2023
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,1,2023
сайт,сайт https://proposition.org.ua/,ПРОПОЗИЦІЯ,1,2023
знак для товарів і послуг ,товарні знаки,ПРОПОЗИЦІЯ,1,2023
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,1,2023
сайт,сайт https://dnipro.proposition.org.ua/,ПРОПОЗИЦІЯ,4,2023
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,4,2023
сайт,сайт https://proposition.org.ua/,ПРОПОЗИЦІЯ,4,2023
знак для товарів і послуг ,товарні знаки,ПРОПОЗИЦІЯ,4,2023
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,4,2023
сайт,сайт https://dnipro.proposition.org.ua/,ПРОПОЗИЦІЯ,3,2023
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,3,2023
сайт,сайт https://proposition.org.ua/,ПРОПОЗИЦІЯ,3,2023
знак для товарів і послуг ,товарні знаки,ПРОПОЗИЦІЯ,3,2023
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,3,2023
сайт,сайт https://dnipro.proposition.org.ua/,ПРОПОЗИЦІЯ,2,2023
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,2,2023
сайт,сайт https://proposition.org.ua/,ПРОПОЗИЦІЯ,2,2023
знак для товарів і послуг ,товарні знаки,ПРОПОЗИЦІЯ,2,2023
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,2,2023
