Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Квартира,"м. Кременчук, пров. Героїв Бреста, буд. 83Б, кв. 33",96.2,,23.03.2021,0,Власність,,,Фізична особа,ПРОПОЗИЦІЯ,2021-03-31,1,2021
Квартира,"м. Кременчук, пров. Героїв Бреста, буд. 83Б, кв. 33",96.2,,23.03.2021,0,Співвластність,,,Фізична особа,ПРОПОЗИЦІЯ,2021-03-31,1,2021
Нежитлова будівля,"м. Дніпро, вул. Старокозацька, буд. 58",17.4,,01.01.2021,174000,суборенда,,,Юридична особа,ПРОПОЗИЦІЯ,2021-03-31,1,2021
Нежитлова будівля,"Рівненська обл., м. Рівне, ВУЛИЦЯ МІЦКЕВИЧА, буд. 32, оф. 52",28.0,,01.01.2021,,безоплатне користування,,,Фізична особа,ПРОПОЗИЦІЯ,2021-03-31,1,2021
нежитлове приміщення-офіс,"м. Кропивницький, Гоголя, буд. 84/61",25.0,,01.02.2021,0,безоплатне користування,,,Фізична особа,ПРОПОЗИЦІЯ,2021-03-31,1,2021
нежитлова будівля,"м. Київ, пров. Тараса Шевченка, буд. 16",177.9,,30.11.2020,896252.04,оренда нежитлового приміщення,,,Юридична особа,ПРОПОЗИЦІЯ,2021-03-31,1,2021
Квартира,"м. Кременчук, пров. Героїв Бреста, буд. 83 Б, кв. 33",96.2,,23.03.2021,0.0,Власність,,,Фізична особа,ПРОПОЗИЦІЯ,2021-12-31,4,2021
Квартира,"м. Кременчук, пров. Героїв Бреста, буд. 83 Б, кв. 33",96.2,,23.03.2021,0.0,Співвластність,,,Фізична особа,ПРОПОЗИЦІЯ,2021-12-31,4,2021
Нежитлова будівля,"Дніпропетровська обл., м. Дніпро, вул. Старокозацька, буд. 58",17.4,,01.04.2021,174000.0,Оренда,,,Юридична особа,ПРОПОЗИЦІЯ,2021-12-31,4,2021
Нежитлова будівля,"м. Дніпро, вул. Старокозацька, буд. 58",4.5,,26.10.2021,45000.0,суборенда,,,Юридична особа,ПРОПОЗИЦІЯ,2021-12-31,4,2021
Нежитлова будівля,"м. Дніпро, вул. Старокозацька, буд. 58",17.7,,01.10.2021,177000.0,Оренда,,,Юридична особа,ПРОПОЗИЦІЯ,2021-12-31,4,2021
нежитлове приміщення-офіс,"м. Кропивницький, Гоголя, буд. 84/61",25.0,,01.02.2021,0.0,безоплатне користування,,,Фізична особа,ПРОПОЗИЦІЯ,2021-12-31,4,2021
нежитлове приміщення-конференц-зал,"Кіровоградська обл., м. Кропивницький, вул. Михайлівська, буд. 20",50.0,,16.10.2021,0.0,Оренда,,,Юридична особа,ПРОПОЗИЦІЯ,2021-12-31,4,2021
нежитлова будівля,"м. Київ, пров. Тараса Шевченка, буд. 16",107.9,,30.11.2020,543594.84,оренда нежитлового приміщення,,,Юридична особа,ПРОПОЗИЦІЯ,2021-12-31,4,2021
Квартира,"м. Кременчук, пров. Героїв Бреста, буд. 83Б, кв. 33",96.2,,23.03.2021,0,Власність,,,Фізична особа,ПРОПОЗИЦІЯ,2021-09-30,3,2021
Квартира,"м. Кременчук, пров. Героїв Бреста, буд. 83Б, кв. 33",96.2,,23.03.2021,0,Співвластність,,,Фізична особа,ПРОПОЗИЦІЯ,2021-09-30,3,2021
Нежитлова будівля,"Дніпропетровська обл., м. Дніпро, вул. Старокозацька, буд. 58",17.4,,01.04.2021,174000,Оренда,,,Юридична особа,ПРОПОЗИЦІЯ,2021-09-30,3,2021
Нежитлова будівля,"Рівненська обл., м. Рівне, ВУЛИЦЯ МІЦКЕВИЧА, буд. 32, оф. 52",28.0,,01.07.2021,,безоплатне користування,,,Фізична особа,ПРОПОЗИЦІЯ,2021-09-30,3,2021
нежитлове приміщення-офіс,"м. Кропивницький, Гоголя, буд. 84/61",25.0,,01.02.2021,0,безоплатне користування,,,Фізична особа,ПРОПОЗИЦІЯ,2021-09-30,3,2021
нежитлова будівля,"м. Київ, пров. Тараса Шевченка, буд. 16",107.9,,30.11.2020,543594.84,оренда нежитлового приміщення,,,Юридична особа,ПРОПОЗИЦІЯ,2021-09-30,3,2021
нежитлова будівля,"Дніпропетровська обл., м. Дніпро, ВУЛИЦЯ СТАРОКОЗАЦЬКА, буд. 58",106.1,,01.04.2021,1061000,оренда нежитлового приміщення,,,Юридична особа,ПРОПОЗИЦІЯ,2021-09-30,3,2021
Квартира,"м. Кременчук, пров. Героїв Бреста, буд. 83Б, кв. 33",96.2,,23.03.2021,0,Власність,,,Фізична особа,ПРОПОЗИЦІЯ,2021-06-30,2,2021
Квартира,"м. Кременчук, пров. Героїв Бреста, буд. 83Б, кв. 33",96.2,,23.03.2021,0,Співвластність,,,Фізична особа,ПРОПОЗИЦІЯ,2021-06-30,2,2021
