Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Офіс,"м. Одеса, вул. Велика Арнаутська, буд. 31, кв. 2А",39.6,,01.07.2021,285000,Суборенда,,,Юридична особа,ЗА МАЙБУТНЄ,2022-12-31,4,2022
Квартира,"Львівська обл., м. Львів, вул. Дорошенка б. 32, кв. 4",60.6,,09.12.2020,1400000,Оренда,,,Фізична особа,ЗА МАЙБУТНЄ,2022-12-31,4,2022
Офіс,м. Тернопіль вул. Б. Хмельницького 11А,232.9,,01.01.2021,5000,Оренда,,,Юридична особа,ЗА МАЙБУТНЄ,2022-12-31,4,2022
Офіс,"Волинська обл., м. Луцьк, вул. Електроапаратна, буд. 3",6.2,,01.01.2021,4278.92,Оренда,,,Юридична особа,ЗА МАЙБУТНЄ,2022-12-31,4,2022
Офіс,"Миколаївська обл., м. Миколаїв, пр. Центральний 93Д, оф. 601",55.0,,12.10.2021,16600,Оренда,,,Фізична особа,ЗА МАЙБУТНЄ,2022-12-31,4,2022
Нежитлова будівля,"м. Рівне, вул. Соборна, буд. 67",70.0,,01.01.2021,,Оренда,,,Фізична особа,ЗА МАЙБУТНЄ,2022-12-31,4,2022
Офіс,м. Херсон вул. Торгова б. 37оф. 100,32.0,,01.09.2021,6000,Оренда,,,Фізична особа,ЗА МАЙБУТНЄ,2022-12-31,4,2022
Офіс,"м. Київ, вул. Ірининська, буд. 5/24 (2-й поверх)",682.56,,12.06.2020,0,Оренда,,,Фізична особа,ЗА МАЙБУТНЄ,2022-12-31,4,2022
Офіс,"м. Київ, вул. Ірининська, буд. 5/24 (3-й поверх)",394.4,,15.09.2020,0,Оренда,,,Фізична особа,ЗА МАЙБУТНЄ,2022-12-31,4,2022
Складське приміщення,"Київська обл., Бучанський р-н, с. Петропавлівська Борщагівка, вул. Велика Кільцева, буд. 4А",216.0,,01.10.2021,2916000,Оренда,,,Юридична особа,ЗА МАЙБУТНЄ,2022-12-31,4,2022
