Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлове приміщення,"м. Харків, вул. Короленка, буд. 12",4.4,,16.09.2019,,Оренда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Кропивницький, вул. Декабристів 15",14.0,,16.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Ужгород, вул. Шумна 25",15.0,,15.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Чернівці, вул. Комарова 11",17.0,,16.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Житомир, вул. Перемоги 3",13.0,,15.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Херсон, вул. Лютеранська 24",15.0,,13.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Запоріжжя, вул. Перемоги 40",17.5,,07.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"Луганська обл., м. Лисичанськ, вул. Володимира Сосюри 247в",15.0,,13.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"Вінниціька обл., м. Вінниця, вул. Скалецького 4",21.0,,13.04.2020,,суборенда,,,Фізична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Тернопіль, вул. Грушевського, буд. 23",16.0,,16.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Чернігів, вул. Перемоги, буд. 139",16.0,,16.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Полтава, вул. Зигіна 29",16.0,,07.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Івано-Франківськ, вул. Гетьмана Мазепи 72",15.0,,15.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Київ, вул. Куренівська 18",13.0,,06.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Хмельницький, вул. Курчатова 6",15.0,,16.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Одеса, пл. Грецька 1",13.0,,15.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Суми, вул. Шишкарівська 11",14.0,,13.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Черкаси, вул. Героїв Сталінграду 22, корп. 3",18.0,,13.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Миколаїв, вул. Спаська 10",18.0,,13.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Рівне, вул. Поштова 11",19.0,,15.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"Донецька обл., м. Покровськ, вул. Маршала Москаленка 144",16.0,,07.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Луцьк, вул. Шопена 22",15.0,,15.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Львів, вул. Угорська 14",15.0,,15.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежитлове приміщення,"м. Дніпро, вул. Князя Ярослава Мудрого 29",13.0,,07.04.2020,,суборенда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
Нежилове приміщення,"Харківська обл., смт Золочів, вул. Центральна 19/1",27.4,,01.04.2020,796100,Оренда,,,Юридична особа,БЛОК КЕРНЕСА - УСПІШНИЙ ХАРКІВ!,2021-12-31,4,2021
