Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Європейська солідарність,Вінницька обласна організація,Вінницька область,39508645,"м. Вінниця, вул. Гагаріна, буд. 4","м. Вінниця, вул. Соборна, буд. 15, прим. 16","ПАТ "" Міжнародний інвестиційний банк""м. КИЇВ код банку 380582 р/р 26003010318161"
Європейська солідарність,Волинська обласна організація,Волинська область,39402400,"м. Луцьк, вул. Рівненська, буд. 42","м. Луцьк, вул. Рівненська, буд. 42","Відділення № 02-03 ПАТ АКЦІОНЕРНИЙ БАНК ""ПІВДЕННИЙ"", місцезнаходження: 43020, м. Луцьк, вул. Рівненська, буд. 1а, ідентифікаційний код 20953647, МФО 328209, Рахунок № 26006010004725"
Європейська солідарність,Дніпропетровська обласна організація,Дніпропетровська область,39795490,"м. Дніпро, вул. Січеславська Набережна, буд. 39, прим. 193","м. Дніпро, вул. Січеславська Набережна, буд. 39, прим. 193","Філія- Дніпропетровське обласне управління ПАТ ""Державний ощадний банк України"", місцезнаходження: 49044, м. Дніпропетровськ, вул. Клари Цеткін, буд. 9А, ідентифікаційний код 09305480, МФО 305482, Рахунок № 26005300484468"
Європейська солідарність,Донецька обласна організація,Донецька область,39645186,"Донецька обл., м. Краматорськ, вул. Миру, буд. 9","Донецька обл., м. Краматорськ, вул. Миру, буд. 9","Територіально відокремлене безбалансове відділення№ 10026/01 філії - Головного управління по м. Києву та Київській області ПАТ ""Державний ощадний банк України"", місцезнаходження: 03150, м. Київ, вул. Горького, буд. 105, ідентифікаційний код 09322277, МФО 322669, Рахунок №"
Європейська солідарність,Житомирська обласна організація,Житомирська область,39682762,"м. Житомир, вул. Івана Сльоти, буд. 32/98","м. Житомир, вул. Івана Сльоти, буд. 32/98","Територіально відокремлене безбалансове відділення філії - Житомирське обласне управління ПАТ ""Державний ощадний банк України"", місцезнаходження: 10008, м. Житомир, вул. І. Франка, буд. 3, ідентифікаційний код 09311380, МФО 311647, Рахунок № 26000300890814"
Європейська солідарність,Закарпатська обласна організація,Закарпатська область,39950317,"м. Ужгород, вул. Перемоги, буд. 1","м. Ужгород, вул. Перемоги, буд. 1","ПАТ ""Комерційний інвестиційний банк"", місцезнаходження:8800 0, м. Ужгород, вул. Ю. Гойди, буд. 10, ідентифікаційний код 19355562, МФО 312248 Рахунок №26006015000808"
Європейська солідарність,Запорізька обласна організація,Запорізька область,39434317,"м. Запоріжжя, просп. Соборний, буд. 193, оф. 62","м. Запоріжжя, просп. Соборний, буд. 99, оф. 45, 46","Відділення №2 філії ПАТ ""Державний експортно -імпортний банк України"" в м. Запоріжжі, місцезнаходження: 69035, м. Запоріжжя, вул. 40 років Рад. України, буд. 51, ідентифікаційний код: 24905013, МФО 313979, Рахунок № 2600501759900"
Європейська солідарність,Івано-Франківська обласна організація,Івано-Франківська область,39655372,"м. Івано-Франківськ, вул. Академіка Сахарова, буд. 23","м. Івано-Франківськ, вул. Академіка Сахарова, буд. 32","Відділення №493 ПАТ ""Укрсиббанк"", місцезнаходження: 76018, м. Івано-Франківськ, вул. Січових Стрільців, буд. 23, ідентифікаційний код 09807750, МФО 351005, Рахунок № 26007557484900"
Європейська солідарність,Київська обласна організація,Київська область,39495516,"м. Київ, пров. Бехтеревський, буд. 4А","м. Київ, пров. Бехтеревський, буд. 4А","Територіально відокремлене безбалансове відділення №10026/0159 філії -Головного управління по м. Києву та Київській області ПАТ ""Державний ощадний банк України"", місцезнаходження: 04053, м. Київ, вул. Артема, буд. 32-38, ідентифікаційний код 09322277, МФО 322669, Рахунок № 26004300956820"
Європейська солідарність,Кіровоградська обласна організація,Кіровоградська область,39697790,"м. Кропивницький, вул. Велика Перспективна, буд. 3/5, кв. 24","м. Кропивницький, вул. Велика Перспективна, буд. 3/5, кв. 24","ПАТ КБ «Приватбанк», м. Кіровоград, Код банку 323583 Поточний рахунок № 26002052912613, депозитний строковий №26103000275999, депозитний поточний №26005000968111, депозитний строковий №26107000247257, депозитний поточний №26005000691455"
Європейська солідарність,Луганська обласна організація,Луганська область,39825996,"Луганська обл., м. Сєвєродонецьк, вул. Курчатова, буд. 23","Луганська обл., м. Сєвєродонецьк, вул. Курчатова, буд. 23","Луганська філія ПАТ комерційний банк ""Приватбанк"", місцезнаходження: 91011, м. Луганськ, вул. Челюскінців, буд. 14, ідентифікаційний код 14360570, МФО 304795, Рахунок № 26009053718941"
Європейська солідарність,Львівська обласна організація,Львівська область,39702118,"м. Львів, вул. Лазаренка, буд. 1А, оф.72","м. Львів, вул. Лазаренка, буд. 1А, оф.71","Відділення ""Львівська регіональна дирекція"" ПАТ ""Міжнародний інвестиційний банк"", місцезнаходження: 79071, м. Львів, вул. Щирецька, буд. 36, ідентифікаційний код 35810511, МФО 380582 Рахунок № 26004010318212"
