Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлова будівля,"Херсонська обл., м. Херсон, вул. Суворова, буд. 37",10.0,,12.06.2020,0,Договір позички,,,Юридична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-03-31,1,2021
Офіс,"Харківська обл., м. Харків, вул. Достоєвського, буд. 3.",15.0,,01.03.2021,13837.2,Оренда,,,Юридична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-03-31,1,2021
Офіс,"м. Суми вул. Козацький вал, буд. 2А",12.3,,28.08.2020,,Оренда,,,Юридична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-03-31,1,2021
Квартира,"Дніпропетровська обл., Новомосковський р-н, с. Миколаївка, вул. Кривошеї, буд. 18",5.0,,15.12.2020,0,безоплатне користування,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-03-31,1,2021
Офіс,"м. Київ, узвіз Кловський, буд. 5, оф. 72",5.0,,17.08.2020,,Позичка,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-03-31,1,2021
Квартира,"м. Івано-Франківськ, вул. Биха, буд. 20А, кв. 7",97.8,,01.01.2021,,Право користування ,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-03-31,1,2021
Офіс,"м. Полтава, вул. Гоголя, буд. 19А",27.8,,24.08.2020,1278375.18,договір позички,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-03-31,1,2021
Офіс,"м. Київ, узвіз Кловський, буд. 5, приміщення 72",286.7,,28.11.2019,0,Оренда,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-03-31,1,2021
Офіс,"Харківська обл., м. Харків, вул. Достоєвського, буд. 3",15.0,,01.03.2021,13837.2,Оренда,,,Юридична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-12-31,4,2021
Нежитлова будівля,"Херсонська обл., м. Херсон, вул. Суворова, буд. 37",10.0,,12.06.2020,0,Договір позички,,,Юридична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-12-31,4,2021
Офіс,"м. Запоріжжя, вул. Незалежної України, б. 92, пр. 13",120.0,,01.10.2021,,безоплатне користування,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-12-31,4,2021
Нежитлова будівля,"м. Суми вул. Супруна, б. 17/1",129.0,,01.08.2021,,Строкове безоплатне користування,,,Юридична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-12-31,4,2021
Офіс,"м. Дніпро, просп. Дмитра Яворницького 3, буд. 2001",20.0,,01.01.2021,,безоплатне користування,,,Юридична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-12-31,4,2021
Офіс,"м. Київ, узвіз Кловський 5, оф. 72",286.7,,12.06.2021,0,Оренда,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-12-31,4,2021
Офіс,"м. Київ, вул. Васильківська, буд. 2 ( група приміщень 162( приміщення 3) в літері А з №1 по №9",149.6,,16.09.2021,0,Оренда,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-12-31,4,2021
Офіс,"м. Київ, Ярославів Вал, буд. 30А, приміщення №1",36.5,,05.11.2021,0,Позичка,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-12-31,4,2021
Нежитлова будівля,"вул. Штейнбарга Елієзера, буд. 23",62.5,,01.10.2021,14062.5,безкоштовно,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-12-31,4,2021
Офіс,"м. Кропивницький, вул. Тараса Карпи, буд. 55",93.2,,20.11.2021,,Оренда,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-12-31,4,2021
Офіс,"м. Біла Церква, вул. Фастівська, буд. 1, частина приміщення 125",5.0,,17.11.2021,,Оренда,,,Юридична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-12-31,4,2021
Квартира,"м. Львів, вул. О. Теліги, буд. 21, кв. 8",50.0,*,14.07.2021,0,Інше право користування,,,Фізична особа,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,2021-12-31,4,2021
