Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Торгова марка чи комерційне найменування,Свідоцтво на знак товарів і послуг,ПАРТІЯ МИРУ ТА РОЗВИТКУ,4,2021
Торгова марка чи комерційне найменування,Свідоцтво на знак товарів і послуг,ПАРТІЯ МИРУ ТА РОЗВИТКУ,4,2021
Авторське право та суміжні з ним права,Обєкт авторського права-графічне зображення птаха,ПАРТІЯ МИРУ ТА РОЗВИТКУ,4,2021
Авторське право та суміжні з ним права,"ПЗ ""Сайт партії""",ПАРТІЯ МИРУ ТА РОЗВИТКУ,4,2021
Торгова марка чи комерційне найменування,Свідоцтво на знак товарів і послуг,ПАРТІЯ МИРУ ТА РОЗВИТКУ,3,2021
Торгова марка чи комерційне найменування,Свідоцтво на знак товарів і послуг,ПАРТІЯ МИРУ ТА РОЗВИТКУ,3,2021
Авторське право та суміжні з ним права,Обєкт авторського права-графічне зображення птаха,ПАРТІЯ МИРУ ТА РОЗВИТКУ,3,2021
Авторське право та суміжні з ним права,"ПЗ ""Сайт партії""",ПАРТІЯ МИРУ ТА РОЗВИТКУ,3,2021
Торгова марка чи комерційне найменування,Свідоцтво на знак товарів і послуг,ПАРТІЯ МИРУ ТА РОЗВИТКУ,2,2021
Торгова марка чи комерційне найменування,Свідоцтво на знак товарів і послуг,ПАРТІЯ МИРУ ТА РОЗВИТКУ,2,2021
Авторське право та суміжні з ним права,Обєкт авторського права-графічне зображення птаха,ПАРТІЯ МИРУ ТА РОЗВИТКУ,2,2021
Авторське право та суміжні з ним права,"ПЗ ""Сайт партії""",ПАРТІЯ МИРУ ТА РОЗВИТКУ,2,2021
