Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Пакет оновлення до прогр ""МЕDOC""","м. Київ, пров. Музейний, буд 2Б",2016-08-19,1260,обтяження відсутнє,,,,640,Воля,Центральний офіс,37413211,Україна,1,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програма 1С: Бухгалтерія,"м. Київ, пров. Музейний, буд 2Б",2014-07-21,5760,обтяження відсутнє,,,,525,Воля,Центральний офіс,37413211,Україна,1,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Пакет оновлення до прогр ""МЕDOC""","м. Київ, пров. Музейний, буд 2Б",2016-08-19,1260,обтяження відсутнє,,,,640,Воля,Центральний офіс,37413211,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програма 1С: Бухгалтерія,"м. Київ, пров. Музейний, буд 2Б",2014-07-21,5760,обтяження відсутнє,,,,525,Воля,Центральний офіс,37413211,Україна,2,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Пакет оновлення до прогр ""МЕDOC""","м. Київ, пров. Музейний, буд 2Б",2016-08-19,1260,обтяження відсутнє,,,,640,Воля,Центральний офіс,37413211,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програма 1С: Бухгалтерія,"м. Київ, пров. Музейний, буд 2Б",2014-07-21,5760,обтяження відсутнє,,,,525,Воля,Центральний офіс,37413211,Україна,3,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Пакет оновлення до прогр ""МЕDOC""","м. Київ, пров. Музейний, буд 2Б",2016-08-19,1260,обтяження відсутнє,,,,0,Воля,Центральний офіс,37413211,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програма 1С: Бухгалтерія,"м. Київ, пров. Музейний, буд 2Б",2014-07-21,5760,обтяження відсутнє,,,,0,Воля,Центральний офіс,37413211,Україна,4,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Пакет оновлення до програми ""МЕDOC""","м. Київ, пров. Музейний, буд 2Б",2016-08-19,1260,обтяження відсутнє,,,,0,Воля,Центральний офіс,37413211,Україна,5,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програма 1С: Бухгалтерія,"м. Київ, пров. Музейний, буд 2Б",2014-07-21,5760,обтяження відсутнє,,,,0,Воля,Центральний офіс,37413211,Україна,5,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Пакет оновлення до програми ""МЕDOC""","м. Київ, пров. Музейний, буд 2Б",2016-08-19,1260,обтяження відсутнє,,,,0,Воля,Центральний офіс,37413211,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програма 1С: Бухгалтерія,"м. Київ, пров. Музейний, буд 2Б",2014-07-21,5760,обтяження відсутнє,,,,0,Воля,Центральний офіс,37413211,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Пакет оновлення до програми ""МЕDOC""","м. Київ, пров. Музейний, буд 2Б",2016-08-19,1260,обтяження відсутнє,,,,0,Воля,Центральний офіс,37413211,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програма 1С: Бухгалтерія,"м. Київ, пров. Музейний, буд 2Б",2014-07-21,5760,обтяження відсутнє,,,,0,Воля,Центральний офіс,37413211,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Пакет оновлення до програми ""МЕDOC""","м. Київ, пров. Музейний, буд 2Б",2016-08-19,1260,обтяження відсутнє,,,,0,Воля,Центральний офіс,37413211,Україна,3,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програма 1С: Бухгалтерія,"м. Київ, пров. Музейний, буд 2Б",2014-07-21,5760,обтяження відсутнє,,,,0,Воля,Центральний офіс,37413211,Україна,3,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Пакет оновлення до програми ""МЕDOC""","м. Київ, пров. Музейний, буд 2Б",2016-08-19,1260,обтяження відсутнє,,,,0,Воля,Центральний офіс,37413211,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програма 1С: Бухгалтерія,"м. Київ, пров. Музейний, буд 2Б",2014-07-21,5760,обтяження відсутнє,,,,0,Воля,Центральний офіс,37413211,Україна,4,2019
