Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Офіс,"м. Київ, просп. Григоренка Петра, буд. 22/20, оф. 608",14.8,,01.01.2023,0,Оренда,,,Фізична особа,БДЖОЛА,2023-03-31,1,2023
Офіс,"Дніпропетровська обл., м. Камʼянське, просп. Свободи, буд. 36",118.5,,22.06.2022,434711,Оренда,,,Юридична особа,БДЖОЛА,2023-03-31,1,2023
Офіс,"Дніпропетровська обл., м. Дніпро, вул. Святослава Хороброго, буд. 44, кімната 605",9.0,,01.04.2021,0,Оренда,,,Юридична особа,БДЖОЛА,2023-03-31,1,2023
Офіс,"м. Київ, просп. Григоренка Петра, буд. 22/20, оф. 608",14.8,,01.01.2023,0,Оренда,,,Фізична особа,БДЖОЛА,2023-12-31,4,2023
Офіс,"Дніпропетровська обл., м. Камʼянське, просп. Свободи, буд. 36",118.5,,22.06.2022,434711,Оренда,,,Юридична особа,БДЖОЛА,2023-12-31,4,2023
Офіс,"м. Дніпро, вул. Святослава Хороброго, буд. 44, кімната 605",9.0,,01.04.2021,0,Оренда,,,Юридична особа,БДЖОЛА,2023-12-31,4,2023
Офіс,"м. Дніпро, вул. Святослава Хороброго, буд. 44, кімната 605",7.3,,01.12.2023,,Суборенда,,,Фізична особа,БДЖОЛА,2023-12-31,4,2023
Офіс,"м. Київ, просп. Григоренка Петра, буд. 22/20, оф. 608",14.8,,01.01.2023,0,Оренда,,,Фізична особа,БДЖОЛА,2023-09-30,3,2023
Офіс,"Дніпропетровська обл., м. Камʼянське, просп. Свободи, буд. 36",118.5,,22.06.2022,434711,Оренда,,,Юридична особа,БДЖОЛА,2023-09-30,3,2023
Офіс,"м. Дніпро, вул. Святослава Хороброго, буд. 44, кімната 605",9.0,,01.04.2021,0,Оренда,,,Юридична особа,БДЖОЛА,2023-09-30,3,2023
Офіс,"м. Київ, просп. Григоренка Петра, буд. 22/20, оф. 608",14.8,,01.01.2023,0,Оренда,,,Фізична особа,БДЖОЛА,2023-06-30,2,2023
Офіс,"Дніпропетровська обл., м. Камʼянське, просп. Свободи, буд. 36",118.5,,22.06.2022,434711,Оренда,,,Юридична особа,БДЖОЛА,2023-06-30,2,2023
Офіс,"м. Дніпро, вул. Святослава Хороброго, буд. 44, кімната 605",9.0,,01.04.2021,0,Оренда,,,Юридична особа,БДЖОЛА,2023-06-30,2,2023
