Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Слуга народу"" серія та № свідоцтва КВ 23171013011Р","м. Київ, вул. Січових Стрільців, буд. 77, оф. 728",2018-02-22,0,обтяження відсутнє,,,,0,Слуга народу,Центральний офіс,40422142,Україна,5,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Слуга народу"" серія та № свідоцтва КВ 23171013011Р","м. Київ, вул. Січових Стрільців, буд. 77, оф. 728",2018-02-22,0,обтяження відсутнє,,,,0,Слуга народу,Центральний офіс,40422142,Україна,5,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Слуга народу"" серія та № свідоцтва КВ 23171013011Р","м. Київ, вул. Січових Стрільців, буд. 77, оф. 728",2018-02-22,0,обтяження відсутнє,,,,0,Слуга народу,Центральний офіс,40422142,Україна,5,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.org.ua,,,,обтяження відсутнє,2020-06-25,,288,288,Слуга народу,Центральний офіс,40422142,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.com,,,,обтяження відсутнє,2020-06-25,,441,441,Слуга народу,Центральний офіс,40422142,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.kiev.ua,,,,обтяження відсутнє,2020-06-25,,282,282,Слуга народу,Центральний офіс,40422142,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.org,,,,обтяження відсутнє,2020-06-25,,474,474,Слуга народу,Центральний офіс,40422142,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-naroda.in.ua,,,,обтяження відсутнє,2020-06-25,,312,312,Слуга народу,Центральний офіс,40422142,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.com.ua,,,,обтяження відсутнє,2020-06-25,,321,321,Слуга народу,Центральний офіс,40422142,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.biz,,,,обтяження відсутнє,2020-06-25,,468,468,Слуга народу,Центральний офіс,40422142,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.net,,,,обтяження відсутнє,2020-06-25,,468,468,Слуга народу,Центральний офіс,40422142,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-naroda.kiev.ua,,,,обтяження відсутнє,2020-06-25,,282,282,Слуга народу,Центральний офіс,40422142,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-naroda.net.ua,,,,обтяження відсутнє,2020-06-25,,261,261,Слуга народу,Центральний офіс,40422142,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.net.ua,,,,обтяження відсутнє,2020-06-25,,261,261,Слуга народу,Центральний офіс,40422142,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-naroda.net,,,,обтяження відсутнє,2020-06-25,,468,468,Слуга народу,Центральний офіс,40422142,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-naroda.biz,,,,обтяження відсутнє,2020-06-25,,468,468,Слуга народу,Центральний офіс,40422142,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Слуга народу"" серія та № свідоцтва КВ 23171013011Р","м. Київ, вул. Січових Стрільців, буд. 77, оф. 728",2018-02-22,,обтяження відсутнє,,,,0,Слуга народу,Центральний офіс,40422142,Україна,3,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Слуга народу"" серія та № свідоцтва КВ 23171013011Р","м. Київ, вул. Січових Стрільців, буд. 77, оф. 728",2018-02-22,,обтяження відсутнє,,,,0,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.org.ua,,,,обтяження відсутнє,2020-06-25,,288,288,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.com,,,,обтяження відсутнє,2020-06-25,,441,441,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.kiev.ua,,,,обтяження відсутнє,2020-06-25,,282,282,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.org,,,,обтяження відсутнє,2020-06-25,,474,474,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-naroda.in.ua,,,,обтяження відсутнє,2020-06-25,,312,312,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.com.ua,,,,обтяження відсутнє,2020-06-25,,321,321,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.biz,,,,обтяження відсутнє,2020-06-25,,468,468,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.net,,,,обтяження відсутнє,2020-06-25,,468,468,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-naroda.kiev.ua,,,,обтяження відсутнє,2020-06-25,,282,282,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-naroda.net.ua,,,,обтяження відсутнє,2020-06-25,,261,261,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-narodu.net.ua,,,,обтяження відсутнє,2020-06-25,,261,261,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-naroda.net,,,,обтяження відсутнє,2020-06-25,,468,468,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Домен sluga-naroda.biz,,,,обтяження відсутнє,2020-06-25,,468,468,Слуга народу,Центральний офіс,40422142,Україна,4,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","хостинг, користувач zf355970",,,,обтяження відсутнє,,,5280,5280,Слуга народу,Центральний офіс,40422142,Україна,4,2019
