Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Програма 1С BAS Бухгалтерія. Базова,Програма 1С BAS Бухгалтерія. Базова,РІДНИЙ ДІМ,1,2023
Апгрейд ПП BAS бухгалтерія базова PROF,Апгрейд ПП BAS бухгалтерія базова PROF,РІДНИЙ ДІМ,1,2023
"Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність ""","Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність """,РІДНИЙ ДІМ,1,2023
"Пакет ""Базовий"".Строк 1 рік. ","Пакет ""Базовий"".Строк 1 рік. ",РІДНИЙ ДІМ,1,2023
Програма 1С BAS Бухгалтерія. Базова,Програма 1С BAS Бухгалтерія. Базова,РІДНИЙ ДІМ,4,2023
Апгрейд ПП BAS бухгалтерія базова PROF,Апгрейд ПП BAS бухгалтерія базова PROF,РІДНИЙ ДІМ,4,2023
"Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність ""","Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність """,РІДНИЙ ДІМ,4,2023
"Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність "" 23","Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність "" 23",РІДНИЙ ДІМ,4,2023
"Пакет ""Базовий"".Строк 1 рік. 23","Пакет ""Базовий"".Строк 1 рік. 23",РІДНИЙ ДІМ,4,2023
Програма 1С BAS Бухгалтерія. Базова,Програма 1С BAS Бухгалтерія. Базова,РІДНИЙ ДІМ,3,2023
Апгрейд ПП BAS бухгалтерія базова PROF,Апгрейд ПП BAS бухгалтерія базова PROF,РІДНИЙ ДІМ,3,2023
"Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність ""","Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність """,РІДНИЙ ДІМ,3,2023
"Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність "" 23","Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність "" 23",РІДНИЙ ДІМ,3,2023
"Пакет ""Базовий"".Строк 1 рік. 23","Пакет ""Базовий"".Строк 1 рік. 23",РІДНИЙ ДІМ,3,2023
Програма 1С BAS Бухгалтерія. Базова,Програма 1С BAS Бухгалтерія. Базова,РІДНИЙ ДІМ,2,2023
Апгрейд ПП BAS бухгалтерія базова PROF,Апгрейд ПП BAS бухгалтерія базова PROF,РІДНИЙ ДІМ,2,2023
"Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність ""","Ліцензія КП ""Арт-Звіт Pro"" "" Індивідуальна -Базова "" ""Звітність """,РІДНИЙ ДІМ,2,2023
"Пакет ""Базовий"".Строк 1 рік.","Пакет ""Базовий"".Строк 1 рік. ",РІДНИЙ ДІМ,2,2023
