Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Офіс,"Луганська обл., м. Сєвєродонецьк, вул. Енергетиків, буд. 8, кв. 70",5,,01.12.2019,0,Безоплатне користування,,,Фізична особа,ВИМАГАЄМО ЗМІН,2021-12-31,4,2021
Офіс,"м. Київ, вул. Олеся Гончара, буд. 35",10,,26.05.2021,0,Безоплатне користування,,,Юридична особа,ВИМАГАЄМО ЗМІН,2021-12-31,4,2021
Офіс,"м. Київ, вул. Олеся Гончара, буд. 35",20,,20.04.2021,0,Безоплатне користування,,,Юридична особа,ВИМАГАЄМО ЗМІН,2021-12-31,4,2021
Офіс,"Луганська обл., м. Сєвєродонецьк, вул. Енергетиків, буд. 8, кв. 70",5,,01.12.2019,0,Безоплатне користування,,,Фізична особа,ВИМАГАЄМО ЗМІН,2021-09-30,3,2021
Офіс,"м. Київ, вул. Олеся Гончара, буд. 35",10,,26.05.2021,0,Безоплатне користування,,,Юридична особа,ВИМАГАЄМО ЗМІН,2021-09-30,3,2021
Офіс,"м. Київ, вул. Олеся Гончара, буд. 35",20,,20.04.2021,0,Безоплатне користування,,,Юридична особа,ВИМАГАЄМО ЗМІН,2021-09-30,3,2021
Офіс,"Луганська обл., м. Сєвєродонецьк, вул. Енергетиків, буд. 8, кв. 70",5,,01.12.2019,0,Безоплатне користування,,,Фізична особа,ВИМАГАЄМО ЗМІН,2021-06-30,2,2021
Офіс,"м. Київ, вул. Івана Пулюя, буд. 5",30,,23.10.2019,0,Безоплатне користування,,,Юридична особа,ВИМАГАЄМО ЗМІН,2021-06-30,2,2021
Офіс,"м. Київ, вул. Олеся Гончара, буд. 35",10,,26.05.2021,0,Безоплатне користування,,,Юридична особа,ВИМАГАЄМО ЗМІН,2021-06-30,2,2021
Офіс,"м. Київ, вул. Дніпровська набережна, буд. 19В",48,,26.09.2019,0,Безоплатне користування,,,Юридична особа,ВИМАГАЄМО ЗМІН,2021-06-30,2,2021
Офіс,"м. Київ, вул. Олеся Гончара, буд. 35",20,,20.04.2021,0,Безоплатне користування,,,Юридична особа,ВИМАГАЄМО ЗМІН,2021-06-30,2,2021
