Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Географічний обʼєкт,Дата
"АТ ""Укрсиббанк""",поточний рахунок,26006530146200,"155872,29","Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26045903290725,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-03-31
"АБ ""Укргазбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26008924418040,"9317781,13","Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003055805103,0,"Об'єднання ""Самопоміч""",Баранівська районна організація,Житомирська область,2017-03-31
АТ “Ощадбанк”,поточний рахунок,26000171311565,"17,71","Об'єднання ""Самопоміч""",Барська районна організація,Вінницька область,2017-03-31
АТ “Ощадбанк”,поточний рахунок,26008301906419,0,"Об'єднання ""Самопоміч""",Бердичівська міська організація,Житомирська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001055325259,"11080,58","Об'єднання ""Самопоміч""",Вінницька міська організація,Вінницька область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,260099244192539,0,"Об'єднання ""Самопоміч""",Вінницька міська організація,Вінницька область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007055327455,"431,54","Об'єднання ""Самопоміч""",Вінницька обласна організація,Вінницька область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002055509934,"53633,07","Об'єднання ""Самопоміч""",Волинська обласна організація,Волинська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26000924419122,0,"Об'єднання ""Самопоміч""",Волинська обласна організація,Волинська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26003288682,"896,5","Об'єднання ""Самопоміч""",Гайсинська районна організація,Вінницька область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009055018606,0,"Об'єднання ""Самопоміч""",Глухівська міська організація,Сумська область,2017-03-31
"ПАТ ""АКБ ""Конкорд""",поточний рахунок,260040001280001,"289,75","Об'єднання ""Самопоміч""",Дніпровська міська організація,Дніпропетровська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26003924419197,0,"Об'єднання ""Самопоміч""",Дніпровська міська організація,Дніпропетровська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008050255435,"6,69","Об'єднання ""Самопоміч""",Кам'янська міська організація,Дніпропетровська область,2017-03-31
"ПАТ ""АКБ ""Конкорд""",поточний рахунок,26006001255001,"24354,35","Об'єднання ""Самопоміч""",Дніпропетровська обласна організація,Дніпропетровська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26001924419381,200,"Об'єднання ""Самопоміч""",Дніпропетровська обласна організація,Дніпропетровська область,2017-03-31
АТ “Укрсиббанк”,поточний рахунок,26001570238300,"71,67","Об'єднання ""Самопоміч""",Житомирська міська організація,Житомирська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26006924419115,0,"Об'єднання ""Самопоміч""",Житомирська міська організація,Житомирська область,2017-03-31
АТ “Укрсиббанк”,поточний рахунок,26005577029400,"1012,6","Об'єднання ""Самопоміч""",Житомирська обласна організація,Житомирська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26009924419048,0,"Об'єднання ""Самопоміч""",Житомирська обласна організація,Житомирська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26426055300611,0,"Об'єднання ""Самопоміч""",Жмеринська міська організація,Вінницька область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26426055300581,0,"Об'єднання ""Самопоміч""",Жмеринська міська організація,Вінницька область,2017-03-31
"ПАТ ""Банк інвестиції та заощадження""",поточний рахунок,260058922001,0,"Об'єднання ""Самопоміч""",Закарпатська обласна організація,Закарпатська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26006924419290,0,"Об'єднання ""Самопоміч""",Закарпатська обласна організація,Закарпатська область,2017-03-31
"ПАТ ""Банк кредит Дніпро""",поточний рахунок,2600531005901,0,"Об'єднання ""Самопоміч""",Запорізька міська організація,Запорізька область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26008924419362,0,"Об'єднання ""Самопоміч""",Запорізька міська організація,Запорізька область,2017-03-31
"ПАТ ""Банк кредит Дніпро""",поточний рахунок,2600631005801,0,"Об'єднання ""Самопоміч""",Запорізька обласна організація,Запорізька область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26000924419371,0,"Об'єднання ""Самопоміч""",Запорізька обласна організація,Запорізька область,2017-03-31
"АТ ""Райффайзен банк Аваль""",поточний рахунок,260014952247,0,"Об'єднання ""Самопоміч""",Здолбунівська районна організація,Рівненська область,2017-03-31
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000492575,"9,81","Об'єднання ""Самопоміч""",Івано-Франківська обласна організація,Івано-Франківська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26000924418985,0,"Об'єднання ""Самопоміч""",Івано-Франківська обласна організація,Івано-Франківська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004052203832,0,"Об'єднання ""Самопоміч""",Каховська міська організація,Херсонська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26007011663072,"12341,36","Об'єднання ""Самопоміч""",Київська міська організація,Київ,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26004924419292,0,"Об'єднання ""Самопоміч""",Київська міська організація,Київ,2017-03-31
"ПАТ ""Укрсоцбанк""",поточний рахунок,26009011670892,2263,"Об'єднання ""Самопоміч""",Київська обласна організація,Київська область,2017-03-31
"ПАТ ""Укрсоцбанк""",поточний рахунок,26051011670914,0,"Об'єднання ""Самопоміч""",Київська обласна організація,Київська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26007924419329,0,"Об'єднання ""Самопоміч""",Київська обласна організація,Київська область,2017-03-31
"АТ ""Укрсиббанк""",поточний рахунок,26005573546200,"269,84","Об'єднання ""Самопоміч""",Кіровоградська обласна організація,Кіровоградська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26007924420170,0,"Об'єднання ""Самопоміч""",Кіровоградська обласна організація,Кіровоградська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006055322365,81,"Об'єднання ""Самопоміч""",Козятинська міська організація,Вінницька область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003052516971,"182,58","Об'єднання ""Самопоміч""",Коломийська міська організація,Івано-Франківська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008054625201,0,"Об'єднання ""Самопоміч""",Комсомольська міська організація,Полтавська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000055021669,0,"Об'єднання ""Самопоміч""",Конотопська міська організація,Сумська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002055017701,"120,3","Об'єднання ""Самопоміч""",Конотопська районна організація,Сумська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26429053600104,0,"Об'єднання ""Самопоміч""",Краматорська міська організація,Донецька область,2017-03-31
"ПАТ ""Укрсоцбанк""",поточний рахунок,26007011696726,0,"Об'єднання ""Самопоміч""",Кременчуцька міська організація,Полтавська область,2017-03-31
"ПАТ ""ПУМБ""",поточний рахунок,2600720237,0,"Об'єднання ""Самопоміч""",Криворізька міська організація,Дніпропетровська область,2017-03-31
"АТ ""Укрсиббанк""",поточний рахунок,26000567039900,"1828,69","Об'єднання ""Самопоміч""",Львівська міська організація,Львівська область,2017-03-31
"АТ ""Укрсиббанк""",поточний рахунок,2600584453600,"35773,43","Об'єднання ""Самопоміч""",Львівська обласна організація,Львівська область,2017-03-31
АТ “Ощадбанк”,поточний рахунок,26003300503147,"15,42","Об'єднання ""Самопоміч""",Марганецька міська організація,Дніпропетровська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008055723683,2903,"Об'єднання ""Самопоміч""",Мелітопольська міська організація,Запорізька область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007053222865,"14,46","Об'єднання ""Самопоміч""",Миколаївська міська організація,Миколаївська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26000924419520,0,"Об'єднання ""Самопоміч""",Миколаївська міська організація,Миколаївська область,2017-03-31
"ПАТ ""Банк Восток""",поточний рахунок,26007010353673,"2167,58","Об'єднання ""Самопоміч""",Одеська міська організація,Одеська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009054334237,746,"Об'єднання ""Самопоміч""",Одеська обласна організація,Одеська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26001924419217,0,"Об'єднання ""Самопоміч""",Одеська обласна організація,Одеська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008050251729,"82,32","Об'єднання ""Самопоміч""",Павлоградська міська організація,Дніпропетровська область,2017-03-31
"ПАТ ""Укрсоцбанк""",поточний рахунок,26005011698005,"100,1","Об'єднання ""Самопоміч""",Полтавська міська організація,Полтавська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26000924419218,0,"Об'єднання ""Самопоміч""",Полтавська міська організація,Полтавська область,2017-03-31
"ПАТ ""Укрсоцбанк""",поточний рахунок,26001011697884,"11,33","Об'єднання ""Самопоміч""",Полтавська обласна організація,Полтавська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26002924419216,0,"Об'єднання ""Самопоміч""",Полтавська обласна організація,Полтавська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001054714034,"380,88","Об'єднання ""Самопоміч""",Рівненська міська організація,Рівненська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26005924419194,0,"Об'єднання ""Самопоміч""",Рівненська міська організація,Рівненська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000054717805,"62,25","Об'єднання ""Самопоміч""",Рівненська районна організація,Рівненська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005053718053,0,"Об'єднання ""Самопоміч""",Сєвєродонецька міська організація,Луганська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009053615423,"3734,61","Об'єднання ""Самопоміч""",Слов'янська міська організація,Донецька область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008053717028,15,"Об'єднання ""Самопоміч""",Старобільська районна організація,Луганська область,2017-03-31
АТ “Ощадбанк”,поточний рахунок,26000300954126,0,"Об'єднання ""Самопоміч""",Сумська міська організація,Сумська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26003924419293,0,"Об'єднання ""Самопоміч""",Сумська міська організація,Сумська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001055118006,"4247,82","Об'єднання ""Самопоміч""",Тернопільська обласна організація,Тернопільська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26007924419051,0,"Об'єднання ""Самопоміч""",Тернопільська обласна організація,Тернопільська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26009288727980,"1074,98","Об'єднання ""Самопоміч""",Тиврівська районна організація,Вінницька область,2017-03-31
АТ “Ощадбанк”,поточний рахунок,26001300325699,"123,24","Об'єднання ""Самопоміч""",Тростянецька районна організація,Вінницька область,2017-03-31
"АТ ""Укрсиббанк""",поточний рахунок,26000573196600,"413,97","Об'єднання ""Самопоміч""",Харківська міська організація,Харківська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26000924419412,0,"Об'єднання ""Самопоміч""",Харківська міська організація,Харківська область,2017-03-31
"АТ ""Укрсиббанк""",поточний рахунок,26001573246300,"344,35","Об'єднання ""Самопоміч""",Харківська обласна організація,Харківська область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26001924419411,0,"Об'єднання ""Самопоміч""",Харківська обласна організація,Харківська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009052203116,"13092,64","Об'єднання ""Самопоміч""",Херсонська міська організація,Херсонська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001052202717,0,"Об'єднання ""Самопоміч""",Херсонська обласна організація,Херсонська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006052300858,"6,08","Об'єднання ""Самопоміч""",Хмельницька обласна організація,Хмельницька область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26005924419116,0,"Об'єднання ""Самопоміч""",Хмельницька обласна організація,Хмельницька область,2017-03-31
"АТ ""Укрсиббанк""",поточний рахунок,26007516616300,0,"Об'єднання ""Самопоміч""",Черкаська обласна організація,Черкаська область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003051502635,"17464,17","Об'єднання ""Самопоміч""",Чернівецька міська організація,Чернівецька область,2017-03-31
"АБ ""Укргазбанк""",поточний рахунок,26008924419704,0,"Об'єднання ""Самопоміч""",Чернівецька міська організація,Чернівецька область,2017-03-31
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006055326037,0,"Об'єднання ""Самопоміч""",Шаргородська районна організація,Вінницька область,2017-03-31
"АТ ""Укрсиббанк""",поточний рахунок,26006530146200,"166909,04","Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"АБ ""Укргазбанк""",поточний рахунок,26045903290725,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26431501631840,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26426053800509,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26427053800768,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"АТ ""Райффайзен банк Аваль""",рахунок виборчого фонду політичної партії,2642839,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"АТ ""Райффайзен банк Аваль""",рахунок виборчого фонду політичної партії,2642640,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"ПАТ ""Укрсоцбанк""",рахунок виборчого фонду кандидата,26436012108334,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26430052500840,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26435054600457,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26432054700639,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26422055000558,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26421055000913,0,"Об'єднання ""Самопоміч""",Центральний офіс,Україна,2017-06-30
