Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Право на видання засобу масової інформації,"Партійна газета ""Солідарність. Прикарпаття""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Сумщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видання ЗМІ,"Партійна газета ""Солідарність Дніпро""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Вінниччина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видання засобу масової інформації,"Партійна газета ""Солідарність. Дніпропетровщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Черкащини""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Інші нематеріальні права,"Газета ""Солідарність. Житомирщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність. Херсонщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність Кіровоградщини""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобу масової інформаці,"Партійна газета""Солідарність КИЇВЩИНА""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Тернопілля""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність"" ",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобу масової інформації,"Партійна газета ""СОЛІДАРНІСТЬ. РІВНЕНЩИНА.""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобу масової інформації,"Друкований ЗМІ""Партійна газета ""Солідарність Закакрпаття""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видання засобу масової інформації,"Партійна газета ""Солідарність. Донеччина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видання засобу масової інформації,"Партійна газета ""Солідарність Волинь""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобумасової інформації,"Друкований засіб масової інформації ""Партійна газета"" Солідарність. Миколаївщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Київ""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видання засобу масової інформації,"Партійна газета ""Солідарність Луганщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобу масової Інформації,"Партійна газета ""Солідарність.Полтавщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Чернігівщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видання засобу масової інформації,"Партійна газета ""Солідарність.Буковина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Харківщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Торгова марка чи комерційне найменування,Знак для товарів і послуг №201095,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Торгова марка чи комерційне найменування,Знак для товарів і послуг №201096,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Авторське право та суміжні з ним права,"Графічне зображення ""Логотип Політичної партії ""Європейська Солідарність""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Друкований засіб масової інформації,Партійна газета «Солідарність» (Свідоцтво серії КВ № 21367-1116),ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Office Home,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Windows 10,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
Авторське право та суміжні з ним права,Програмна продукція Business automation software for accounting.,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2023
