Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Дата
"ПАТ ""МІБ""",поточний рахунок,26003010318161,"5239,58",Блок Петра Порошенка,Вінницька обласна організація,30.09.2016
"ПАТ ""МІБ""",поточний рахунок,26100010318161,143000,Блок Петра Порошенка,Вінницька обласна організація,30.09.2016
"АБ ""Південний""",поточний рахунок,26006010004725,"22427,8",Блок Петра Порошенка,Волинська обласна організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26005300484468,"103,58",Блок Петра Порошенка,Дніпропетровська обласна організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26006300913474,"10712,28",Блок Петра Порошенка,Донецька обласна організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26000300890814,"45273,78",Блок Петра Порошенка,Житомирська обласна організація,30.09.2016
"АТ ""Комінвестбанк""",поточний рахунок,26006015000808,"128,88",Блок Петра Порошенка,Закарпатська обласна організація,30.09.2016
"АТ ""Укрексімбанк""",поточний рахунок,2600501759900,"1045,47",Блок Петра Порошенка,Запорізька обласна організація,30.09.2016
"АТ ""Укрсиббанк""",поточний рахунок,26007557484900,"34997,76",Блок Петра Порошенка,Івано-Франківська обласна організація,30.09.2016
"ПАТ ""Укрсоцбанк""",поточний рахунок,26008011649608,"25056,59",Блок Петра Порошенка,Київська міська організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26004300956820,"56547,48",Блок Петра Порошенка,Київська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002052912613,100,Блок Петра Порошенка,Кіровоградська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005000691455,"8154,55",Блок Петра Порошенка,Кіровоградська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005000968111,0,Блок Петра Порошенка,Кіровоградська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26103000275999,0,Блок Петра Порошенка,Кіровоградська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26107000247257,70000,Блок Петра Порошенка,Кіровоградська обласна організація,30.09.2016
"АТ ""Ощадбанк""",поточний рахунок,26003300980169,0,Блок Петра Порошенка,Коломийська міська організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009053718941,"110,8",Блок Петра Порошенка,Луганська обласна організація,30.09.2016
"ПАТ ""МІБ""",поточний рахунок,26004010318212,"152977,12",Блок Петра Порошенка,Львівська обласна організація,30.09.2016
"АТ ""Укрексімбанк""",поточний рахунок,26001001018134,"427,62",Блок Петра Порошенка,Миколаївська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001053219711,"10200,69",Блок Петра Порошенка,Миколаївська обласна організація,30.09.2016
"ПАТ ""Банк Восток""",поточний рахунок,26003010325274,"190,81",Блок Петра Порошенка,Одеська обласна організація,30.09.2016
"АБ ""Укргазбанк""",поточний рахунок,26000212 002144,0,Блок Петра Порошенка,Полтавська міська організація,30.09.2016
"АБ ""Укргазбанк""",поточний рахунок,26000279199,"440,96",Блок Петра Порошенка,Полтавська обласна організація,30.09.2016
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009054713048,"5259,23",Блок Петра Порошенка,Рівненська обласна організація,30.09.2016
