id,Вид транспортного засобу,Марка/модель,Рік випуску,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Дата набуття речового права,Сума витрат на отримання речового права (грн),Термін користування,Дата відчуження,Вартість відчуження,Наявність/відсутність обтяжень,Сума доходу за звітний період,Балансова вартість на кінець звітного періоду (грн),Вид речового права,Тип власника,Партія,Місцева організація
,Автомобілі вантажні (спеціальні),"ЗАЗ 110557, 1,25 куб. см, 1197 кВт",2006,,,,01.01.2006,6100,,,,обтяження відсутнє,,,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Волинська обласна організація
,Автомобілі легкові,ЗАЗ110557V1197,2005,,,,22.03.2007,10000,,,,обтяження наявне,,10000,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Івано-Франківська обласна організація
,Автомобілі легкові,"ЗАЗ 110557, 1197 куб. см",2005,,,,06.03.2007,,,,,обтяження відсутнє,,12000,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська обласна організація
,Автомобілі легкові,"DAEWOO-FSO TF696, 1598 куб.см",2007,,,,27.11.2007,64551,,,,обтяження відсутнє,,64551,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Кіровоградська обласна організація
,Автомобілі легкові,"ЗАЗ 110557,1197 куб.см.",2006,,,,24.10.2007,29300,,,,обтяження відсутнє,,9800,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Сумська обласна організація
,Автомобілі вантажні (спеціальні),"автомобіль вантажний пікап марки ЗЛЗ 110557, обсм двигуна 1197 куб.см.",2006,,,,,,,,,обтяження відсутнє,,20000,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Херсонська міська організація
,Автомобілі легкові,"А/м Тойота Терсел( Об""єм двигуна 1300 куб.см.)",1996,,,,01.12.2001,"6899,29",,,,обтяження відсутнє,,500,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Тойота Терсел ( Об""єм двигуна 1300 куб.см.)",1996,,,,05.09.2002,"6973,82",,,,обтяження відсутнє,,500,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Тойота Терсел( Об""єм двигуна 1300 куб.см.)",1996,,,,06.06.2006,"7057,36",,,,обтяження відсутнє,,500,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Тойота Терсел ( Об""єм двигуна 1300 куб.см.)",1996,,,,05.09.2002,"7140,69",,,,обтяження відсутнє,,500,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Тойота Терсел ( Об""єм двигуна 1800 куб.см.)",1996,,,,05.09.2002,"9372,93",,,,обтяження відсутнє,,500,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Шкода Октавія Тур ( Об""єм двигуна 1598 куб.см.)",2006,,,,22.08.2006,93291,,,,обтяження відсутнє,,2000,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Шкода Октавія Тур ( Об""єм двигуна 1598 куб.см.)",2006,,,,22.08.2006,93291,,,,обтяження відсутнє,,2000,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Шкода Октавія Тур ( Об""єм двигуна 1598 куб.см.)",2006,,,,22.08.2006,93291,,,,обтяження відсутнє,,2000,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,А/м Тойота Чайзер,1996,,,,13.11.2001,"34774,58",,,,обтяження відсутнє,,"4560,59",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Тойота Ленд Крузер ( Об""єм двигуна 4664 куб.см.)",2005,,,,05.12.2005,91454,,,,обтяження відсутнє,,"14605,36",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Тойота Камрі ( Об""єм двигуна 2995 куб.см.)",2005,,,,05.12.2005,"93040,86",,,,обтяження відсутнє,,"14782,94",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Тойота Ленд Крузер ( Об""єм двигуна 4664 куб.см.)",2005,,,,09.10.2014,"119616,2",,,,обтяження відсутнє,,"17734,6",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Тойота Камрі ( Об""єм двигуна 2995 куб.см.)",2005,,,,02.12.2005,"124762,27",,,,обтяження відсутнє,,"18307,23",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Шкода Октавія Тур( Об""єм двигуна 1598 куб.см.)",2008,,,,12.12.2008,"109121,6",,,,обтяження відсутнє,,"26102,36",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Шкода Октавія Тур ( Об""єм двигуна 1598 куб.см.)",2008,,,,12.12.2008,"109121,6",,,,обтяження відсутнє,,"26102,36",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Рено Кангу( Об""єм двигуна 1390 куб.см.)",2008,,,,15.10.2009,85900,,,,обтяження відсутнє,,"28568,06",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Рено Кангу( Об""єм двигуна 1390 куб.см.)",2008,,,,15.10.2009,85900,,,,обтяження відсутнє,,"28568,06",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м ГАЗ ""Газель"" ( Об""єм двигуна 2464 куб.см.)",2007,,,,21.02.2008,74870,,,,обтяження відсутнє,,"36157,94",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Фольксваген Транспортер ( Об""єм двигуна 1984 куб.см.)",2007,,,,05.10.2007,176750,,,,обтяження відсутнє,,"46437,2",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Шкода Румстер ( Об""єм двигуна 1198 куб.см.)",2010,,,,29.09.2010,112434,,,,обтяження відсутнє,,"47094,12",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Шкода Румстер ( Об""єм двигуна 1198 куб.см.)",2010,,,,21.08.2014,112434,,,,обтяження відсутнє,,"47094,12",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м ГАЗ ""Газель"" ( Об""єм двигуна 2464 куб.см.)",2008,,,,13.11.2009,92720,,,,обтяження відсутнє,,"54447,5",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Skoda Octavia A5 ( Об""єм двигуна 1598 куб.см.)",2010,,,,30.06.2010,159817,,,,обтяження відсутнє,,"62496,64",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Фольксваген Транспортер( Об""єм двигуна 1896 куб.см.)",2008,,,,24.10.2008,"209169,05",,,,обтяження відсутнє,,"74586,43",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"А/м Фольксваген Мультівен( Об""єм двигуна 3189 куб.см.)",2008,,,,04.03.2011,525000,,,,обтяження відсутнє,,"243333,42",право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс
,Автомобілі легкові,"ЗАЗ110557 Pick-Up, 1100 см3",2005,,,,,,,,,обтяження відсутнє,,10000,право власності,,"Всеукраїнське об'єднання ""Батьківщина""",Чернігівська обласна організація
,Автомобілі легкові,MercedesBenz S600 (5 513 куб.см),2012,"ТОВ ""Інтернаціональні Індивидуальні Проекти""",37768452,"02098, м.Київ, вул.Ю.Шумськог о,1 оф.114",01.04.2016,5728670,01.04.2021,,,обтяження відсутнє,,"262312,99",право користування,юридична особа,"ВО ""Батьківщина""",Центральний офіс
