id,Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність/відсутність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу за звітний період (оренда тощо),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""СОЛІДАРНІСТЬ ВІННИЧИНА""","Україна, м. Вінниця свідоцтво держ.реєстр. № 943-301-Р",09.09.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Вінницька обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партійна газета ""Солідарність. Волинь"" ( Свідоцтво серії ВЛ № 492-225Р від 11.08.2015 року )","43020, Волинська область, м. Луцьк, вул. Рівненська, буд. 42",11.08.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Волинська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність.Дніпроп етровщина""","Україна, місто Дніпро, вулиця Січеславська Набережна (Набережна В.І.Леніна), будинок 39, приміщення 193",28.08.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Дніпропетровська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПАРТІЙНА ГАЗЕТА ""СОЛІДАРНІСТЬ. ДОНЕТЧИНА""","87513, Донецька область, м. Маріуполь, вул. Льотна, буд. 20",30.09.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Донецька обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Солідарність. Житомирщина""","Україна, місто Житомир, вулиця Бородія, будинок 32/98",14.08.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Житомирська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Закарпаття""","88000, Закарпатська обл., м.Ужгород, вул.Перемоги, буд.1",15.09.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Закарпатська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",право на видавництво друкованого засобу масової інформації (свідоцтво про державну реєстрацію друкованого засобу масової інформації серія 33 № 1191-466-Р від 01.09.2015 р),"Україна, 69006 м. Запоріжжя пр. Леніна б. 193 оф. 62",01.09.2015,,обтяження відсутнє,,,,,Блок Петра Порошенка,Запорізька обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Свідоцтво про державну реєстрацію друкованого засобу масової інформації Серія ІФ №580-247Р,Івано-Франківська обл.. м.Івано-Франківськ. вул1.1 Левченка. 47,28.08.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Івано-Франківська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації «Солідарність. Київ»,"01015, м.Київ, вул. Лаврська , буд.16.",02.09.2015,850,обтяження відсутнє,,,немає,850,Блок Петра Порошенка,Київська міська організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПАРТІЙНА ГАЗЕТА ""СОЛІДАРНІСТЬ. КИЇВЩИНА""","УКРАЇНА, 04053, М.КИІВ, ПРОВУЛОК БЕХТЕРЕВСЬКИЙ, дом № 4, корпус ЛІТ А",17.08.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Київська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Партійна газета ""Солідарність.Кіровоградщина""","Україна, м.Кіровоград",25.08.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Кіровоградська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Луганщина","Україна, 93400, Україна, Луганська область",27.08.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Луганська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації,"м.Львів, вул.Лазаренка, буд. 1А, кв. 72",26.08.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Львівська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партіїна газета""Солідарність.Мико лаївщина""","Україна, Миколаїв",10.09.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Миколаївська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Одещина""","65014, Одеська область, м. Одеса, вул. Канатна, буд.10",04.02.2016,0,обтяження відсутнє,,,0,0,Блок Петра Порошенка,Одеська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Газета «Солідарність. Полтавщина»,"36014, м. Полтава, вул. Котляревського, 22Б",31.08.2015,480,обтяження відсутнє,,,,480,Блок Петра Порошенка,Полтавська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації,"Україна,33027, м.Рівне, вул.Данила Галицького буд.19, офіс 106",26.08.2015,204,обтяження відсутнє,,,,204,Блок Петра Порошенка,Рівненська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партійна газета ""Солідарність. Тернопілля""",,25.08.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Тернопільська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Партійна газета «Солідарність. Харківщина»,"61022, м.Харків, вул.Сумська, каб.220",19.08.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Харківська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність Херсонщині""",Херосонська обл. м. Херсон вул. 14. Східна буд.3,07.09.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Херсонська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета "" Солідарність. Хмельниччина""",Україна м. Хмельницький,10.09.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Хмельницька обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації «Партійна газета «Солідарність» (Свідоцтво серії КВ № 21367-11167Р),"04176, м.Київ, ВУЛИЦЯ ЕЛЕКТРИКІВ, будинок 29А",25.06.2015,850,обтяження відсутнє,,,,850,Блок Петра Порошенка,Центральний офіс
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність. Черкащина""","Україна, м. Черкаси, вул. Сумгаїтська 8/2",10.09.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Черкаська обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Солідарність. Буковина""","Україна, м.Чернівці вул.Комарова 13-А",31.08.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Чернівецька обласна організація
,"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Чернігівщина","м. Чернігів, вул. Магістратська 4 кв. 20",20.08.2015,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Чернігівська обласна організація
,"Комерційні позначення (товарні знаки, торгові марки)",Знак для товарів і послуг № 201095,"04176, м.Київ, ВУЛИЦЯ ЕЛЕКТРИКІВ, будинок 29А",25.06.2015,5835,обтяження відсутнє,,,,5835,Блок Петра Порошенка,Центральний офіс
