Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
нежитлова будівля,"Україна, 49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ СТАРОКОЗАЦЬКА, будинок 58 ",6.9,,01.01.2024,69000.0,оренда нежитлового приміщення,"ТОВ ""СТАР РЕАЛ ІСТЕЙТ""",41360669,Юридична особа,ПРОПОЗИЦІЯ,2024-06-30,2,2024
нежитлова будівля,"Україна, 49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ СТАРОКОЗАЦЬКА, будинок 58 ",17.7,,01.01.2024,177000.0,оренда нежитлового приміщення,"ТОВ ""СТАР РЕАЛ ІСТЕЙТ""",41360669,Юридична особа,ПРОПОЗИЦІЯ,2024-06-30,2,2024
нежитлова будівля,"Україна, 49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ СТАРОКОЗАЦЬКА, будинок 58 ",16.1,,01.01.2024,161000.0,оренда нежитлового приміщення,"ТОВ ""СТАР РЕАЛ ІСТЕЙТ""",41360669,Юридична особа,ПРОПОЗИЦІЯ,2024-06-30,2,2024
нежитлова будівля,"Україна, 49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ СТАРОКОЗАЦЬКА, будинок 58 ",104.0,,01.01.2024,1040000.0,оренда нежитлового приміщення,"ТОВ ""СТАР РЕАЛ ІСТЕЙТ""",41360669,Юридична особа,ПРОПОЗИЦІЯ,2024-06-30,2,2024
нежитлова будівля,"Україна,м.Київ,вул.Антоновича,б44",11.9,,01.02.2022,471436.75,оренда нежитлового приміщення,"БУДІНВЕСТ-КАПІТАЛ, ТОВ",35133356,Юридична особа,ПРОПОЗИЦІЯ,2024-06-30,2,2024
нежитлова будівля,"Україна, 49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ СТАРОКОЗАЦЬКА, будинок 58 ",6.9,,01.01.2024,69000.0,оренда нежитлового приміщення,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВІПРОМ""",25020009,Юридична особа,ПРОПОЗИЦІЯ,2024-09-30,3,2024
нежитлова будівля,"Україна, 49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ СТАРОКОЗАЦЬКА, будинок 58 ",17.7,,01.01.2024,177000.0,оренда нежитлового приміщення,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВІПРОМ""",25020009,Юридична особа,ПРОПОЗИЦІЯ,2024-09-30,3,2024
нежитлова будівля,"Україна, 49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ СТАРОКОЗАЦЬКА, будинок 58 ",16.1,,01.01.2024,161000.0,оренда нежитлового приміщення,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ВІПРОМ""",25020009,Юридична особа,ПРОПОЗИЦІЯ,2024-09-30,3,2024
нежитлова будівля,"Україна, 49000, Дніпропетровська обл., місто Дніпро, ВУЛИЦЯ СТАРОКОЗАЦЬКА, будинок 58 ",104.0,,01.01.2024,1040000.0,оренда нежитлового приміщення,"ТОВ ""ВІПРОМ""",25020009,Юридична особа,ПРОПОЗИЦІЯ,2024-09-30,3,2024
нежитлова будівля,"Україна,м.Київ,вул.Антоновича,б44",11.9,,01.02.2022,471436.75,оренда нежитлового приміщення,"БУДІНВЕСТ-КАПІТАЛ, ТОВ",35133356,Юридична особа,ПРОПОЗИЦІЯ,2024-09-30,3,2024
