Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
САЙТ,сайт https://proposicia.org,ПРОПОЗИЦІЯ,1,2022
доменне ім'я,доменне ім'я proposicia.org,ПРОПОЗИЦІЯ,1,2022
сайт,сайт https://dnipro.proposition.org.ua/,ПРОПОЗИЦІЯ,1,2022
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,1,2022
сайт,сайт https://proposition.org.ua/,ПРОПОЗИЦІЯ,1,2022
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,1,2022
знак для товарів і послуг ,товарні знаки,ПРОПОЗИЦІЯ,1,2022
сайт,сайт https://dnipro.proposition.org.ua/,ПРОПОЗИЦІЯ,4,2022
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,4,2022
сайт,сайт https://proposition.org.ua/,ПРОПОЗИЦІЯ,4,2022
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,4,2022
знак для товарів і послуг ,товарні знаки,ПРОПОЗИЦІЯ,4,2022
сайт,сайт https://dnipro.proposition.org.ua/,ПРОПОЗИЦІЯ,3,2022
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,3,2022
сайт,сайт https://proposition.org.ua/,ПРОПОЗИЦІЯ,3,2022
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,3,2022
знак для товарів і послуг ,товарні знаки,ПРОПОЗИЦІЯ,3,2022
сайт ,сайт http://proposicia.org/,ПРОПОЗИЦІЯ,2,2022
доменне ім'я,доменне ім'я proposicia.org,ПРОПОЗИЦІЯ,2,2022
сайт,сайт https://dnipro.proposition.org.ua/,ПРОПОЗИЦІЯ,2,2022
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,2,2022
сайт,сайт https://proposition.org.ua/,ПРОПОЗИЦІЯ,2,2022
доменне ім'я,доменне ім'я proposition.org.ua,ПРОПОЗИЦІЯ,2,2022
знак для товарів і послуг ,товарні знаки,ПРОПОЗИЦІЯ,2,2022
