Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
"право на провадження діяльності, використання економічних та інших привілеїв",Електронний цифровий підпис (Головний бухгалтер ),УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2023
Авторське право та суміжні з ним права,Програмний продукт MS Office 2019,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2023
Авторське право та суміжні з ним права,Програмний продукт Microsoft Windows 10 Pro 64-bit Russian,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2023
Авторське право та суміжні з ним права,Програма МЕДОК,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2023
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Електронний цифровий підпис (Керівник та Печатка організації) видавець АТ ""Ощадбанк""",УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2023
"Ключ ЕЦП (керівник), видавецьТОВ""ЦСК Україна""",електронний цифровий підпис,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2023
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Електронний цифровий підпис (керівник і печатка) Видавець ДПС м. Чернівці,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2023
Торгова марка чи комерційне найменування,"Знак для товарів і послуг « Партія УДАР», № 193712",УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2023
Торгова марка чи комерційне найменування,"Знак для товарів і послуг ""УДАР"" , № 182045",УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2023
Торгова марка чи комерційне найменування,"Знак для товарів і послуг «УДАР», № 182044",УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2023
