Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Полтавська міська організація Партії Зелених України,Полтавська обл.,25162659,"Полтавська обл., м. Полтава, вул. Кириченко Раїси, 4","Полтавська обл., м. Полтава, вул. Кириченко Раїси, 4",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Полтавська обласна організація Партії Зелених України,Полтавська обл.,25159977,"Полтавська обл., м. Полтава, вул. Кириченко Раїси, 4","Полтавська обл., м. Полтава, вул. Кириченко Раїси, 4",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Ізмаїльська міська організація Партії Зелених України,Одеська обл.,26419400,"Одеська обл., м. Ізмаїл, вул. Комерційна, 107","Одеська обл., м. Ізмаїл, вул. Комерційна, 107",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Ізмаїльська районна організація Партії Зелених України,Одеська обл.,36913424,"Одеська обл., м. Ізмаїл, вул. Грибоєдова, 50","Одеська обл., м. Ізмаїл, вул. Грибоєдова, 50",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Одеська міська організація Партії Зелених України,Одеська обл.,25829165,"Одеська обл., м. Одеса, вул. Ніщинського композитора, 38","Одеська обл., м. Одеса, вул. Ніщинського композитора, 38",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Білгород-Дністровська міська організація Партії Зелених України,Одеська обл.,26053927,"Одеська обл., м. Білгород-Дністровський, вул. Анісімова, 4","Одеська обл., м. Білгород-Дністровський, вул. Анісімова, 4",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Южненська міська організація Партії Зелених України,Одеська обл.,26433601,"Одеська обл., м. Южне, просп. Григорівського десанту, 30\16","Одеська обл., м. Южне, просп. Григорівського десанту, 30\16",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Одеська обласна організація Партії Зелених України,Одеська обл.,25052417,"Одеська обл., м. Одеса, вул. Ніщинського композитора, 38","Одеська обл., м. Одеса, вул. Ніщинського композитора, 38",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Смілянська міська організація Партії Зелених України,Черкаська обл.,36463324,"Черкаська обл., м. Сміла, вул. Сунківська, 1","Черкаська обл., м. Сміла, вул. Сунківська, 1",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Черкаська обласна організація Партії Зелених України,Черкаська обл.,26043372,"Черкаська обл., м. Черкаси, вул. Гуржіївська, 13","Черкаська обл., м. Черкаси, вул. Гуржіївська, 13",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Харківська міська організація Партії Зелених України,Харківська обл.,25858356,"Харківська обл., м. Харків, вул. Чернишевська, 13","Харківська обл., м. Харків, вул. Чернишевська, 13",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Івано-Франківська обласна організація Партії Зелених України,Івано-франківська обл.,13643900,"Івано-франківська обл., м. Івано-Франківськ, вул. Данила Короля, 20","Івано-франківська обл., м. Івано-Франківськ, вул. Данила Короля, 20",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Снятинська районна організація Партії Зелених України,Івано-франківська обл.,37234128,"Івано-франківська обл.,  Снятинський р-н, вул. Коснятина Воєводи, 44","Івано-франківська обл.,  Снятинський р-н, вул. Коснятина Воєводи, 44",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Коломийська міська організація Партії Зелених України,Івано-франківська обл.,34920796,"Івано-франківська обл., м. Коломия, вул. Мазепи Івана гетьмана, 1","Івано-франківська обл., м. Коломия, вул. Мазепи Івана гетьмана, 1",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Братська районна організація Партії Зелених України,Миколаївська обл.,33245340,"Миколаївська обл.,  Братський р-н, вул. Некрасова, 6б","Миколаївська обл.,  Братський р-н, вул. Некрасова, 6б",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Миколаївська міська організація Партії Зелених України,Миколаївська обл.,25937498,"Миколаївська обл., м. Миколаїв, вул. Сінна, 31","Миколаївська обл., м. Миколаїв, вул. Сінна, 31",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Миколаївська обласна організація Партії Зелених України,Миколаївська обл.,23629775,"Миколаївська обл., м. Миколаїв, вул. Сінна, 31","Миколаївська обл., м. Миколаїв, вул. Сінна, 31",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Лохвицька районна організація Партії Зелених України,Полтавська обл.,34235862,"Полтавська обл.,  Лохвицький р-н, вул. Героїв України, 32","Полтавська обл.,  Лохвицький р-н, вул. Героїв України, 32",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Кременчуцька міська організація Партії Зелених України,Полтавська обл.,33510093,"Полтавська обл., м. Кременчук,  101 квартал, 10г","Полтавська обл., м. Кременчук,  101 квартал, 10г",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Стаханівська міська організація Партії Зелених України,Луганська обл.,26071121,"Луганська обл., м. Стаханов, вул. Менделєєва, 29а","Луганська обл., м. Стаханов, вул. Менделєєва, 29а",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Луганська обласна організація,Луганська обл.,25054416,"Луганська обл.,  Сєвєродонецький р-н, вул. Менделєєва, 46","Луганська обл.,  Сєвєродонецький р-н, вул. Менделєєва, 46",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Деснянська районна організація Партії Зелених України,М.київ,26051868,"М.київ,  Деснянський, вул. Закревського Миколи, 49а","М.київ,  Деснянський, вул. Закревського Миколи, 49а",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Київська міська організація Партії Зелених України,М.київ,20078731,"М.київ,  Печерський, вул. Інститутська, 24/7","М.київ,  Печерський, вул. Інститутська, 24/7",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Житомирська обласна організація Партії Зелених України,Житомирська обл.,25304577,"Житомирська обл., м. Житомир,  Тутковського академіка проїзд, 12","Житомирська обл., м. Житомир,  Тутковського академіка проїзд, 12",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Харківська обласна організація Партії Зелених України,Харківська обл.,24678445,"Харківська обл., м. Харків, вул. Галинська, 20","Харківська обл., м. Харків, вул. Галинська, 20",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Богородчанська районна організація,Івано-франківська обл.,25654091,"Івано-франківська обл.,  Івано-Франківський р-н, вул. Шевченка, 7","Івано-франківська обл.,  Івано-Франківський р-н, вул. Шевченка, 7",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Нововодолазька районна організація,Харківська обл.,26355671,"Харківська обл.,  Харківський р-н, вул. Лучна, 28","Харківська обл.,  Харківський р-н, вул. Лучна, 28",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Купʼянська міська організація,Харківська обл.,25694713,"Харківська обл.,  Куп'янський р-н, вул. Ленінська, 90","Харківська обл.,  Куп'янський р-н, вул. Ленінська, 90",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Валківська районна організація,Харківська обл.,26058706,"Харківська обл.,  Богодухівський р-н, вул. Харківська, 6","Харківська обл.,  Богодухівський р-н, вул. Харківська, 6",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Борівська районна організація,Харківська обл.,25995260,"Харківська обл.,  Ізюмський р-н, вул. Миру, 42","Харківська обл.,  Ізюмський р-н, вул. Миру, 42",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Дергачівська районна організація,Харківська обл.,26107072,"Харківська обл.,  Харківський р-н, вул. Садова, 10г","Харківська обл.,  Харківський р-н, вул. Садова, 10г",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Запорізька міська організація Партії Зелених України,Запорізька обл.,25970544,"Запорізька обл., м. Запоріжжя, вул. Патріотична, 20а","Запорізька обл., м. Запоріжжя, вул. Патріотична, 20а",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Запорізька обласна організація Партії Зелених України,Запорізька обл.,25474489,"Запорізька обл., м. Запоріжжя, вул. Патріотична, 20а","Запорізька обл., м. Запоріжжя, вул. Патріотична, 20а","Акціонерне товариство «МОТОР-БАНК», ЄДРПОУ: 35345213, р/р № UA523130090000026005001029312"
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Чернігівська обласна організація Партії Зелених України,Чернігівська обл.,25976087,"Чернігівська обл., м. Чернігів, вул. Пухова генерала, 72","Чернігівська обл., м. Чернігів, вул. Пухова генерала, 72",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Борзнянська районна організація,Чернігівська обл.,26135223,"Чернігівська обл.,  Ніжинський р-н, вул. Героїв Майдану, 31","Чернігівська обл.,  Ніжинський р-н, вул. Героїв Майдану, 31",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Коропська районна організація,Чернігівська обл.,25999424,"Чернігівська обл.,  Новгород-Сіверський р-н, пров. Краснопільський, 12","Чернігівська обл.,  Новгород-Сіверський р-н, пров. Краснопільський, 12",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Маріупольська міська організація,Донецька обл.,30922721,"Донецька обл., м. Маріуполь, вул. Зелінського, 40","Донецька обл., м. Маріуполь, вул. Зелінського, 40",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Новокаховська міська організація,Херсонська обл.,24950999,"Херсонська обл.,  Каховський р-н, вул. Соборна, 61","Херсонська обл.,  Каховський р-н, вул. Соборна, 61",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Срібнянська районна організація,Чернігівська обл.,26033273,"Чернігівська обл.,  Прилуцький р-н, вул. Грушевського, 17","Чернігівська обл.,  Прилуцький р-н, вул. Грушевського, 17",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Бахмацька районна організація,Чернігівська обл.,25999950,"Чернігівська обл.,  Ніжинський р-н, вул. Привокзальна, 11","Чернігівська обл.,  Ніжинський р-н, вул. Привокзальна, 11",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Нетішинська міська організація,Хмельницька обл.,25921681,"Хмельницька обл.,  Шепетівський р-н, вул. Будівельників, 7","Хмельницька обл.,  Шепетівський р-н, вул. Будівельників, 7",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Славутська районна організація,Хмельницька обл.,25921675,"Хмельницька обл.,  Шепетівський р-н, вул. Героїв Небесної Сотні, 5а","Хмельницька обл.,  Шепетівський р-н, вул. Героїв Небесної Сотні, 5а",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Сумська міська організація,Сумська обл.,23819406,"Сумська обл., м. Суми, вул. Набережна р. Стрілка 1-ша, 46","Сумська обл., м. Суми, вул. Набережна р. Стрілка 1-ша, 46",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Олександрійська міська організація,Кіровоградська обл.,26115506,"Кіровоградська обл.,  Олександрійський р-н, вул. 6  Грудня, 139","Кіровоградська обл.,  Олександрійський р-н, вул. 6  Грудня, 139",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Олександрійська районна організація,Кіровоградська обл.,26115516,"Кіровоградська обл.,  Олександрійський р-н, вул. Лісна Дача, 18","Кіровоградська обл.,  Олександрійський р-н, вул. Лісна Дача, 18",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Віньковецька районна організація,Хмельницька обл.,25921652,"Хмельницька обл.,  Хмельницький р-н, вул. Леонтовича, 4","Хмельницька обл.,  Хмельницький р-н, вул. Леонтовича, 4",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Волочиська районна організація,Хмельницька обл.,25921646,"Хмельницька обл.,  Хмельницький р-н, вул. Уральських танкістів, 2а","Хмельницька обл.,  Хмельницький р-н, вул. Уральських танкістів, 2а",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Дунаєвецька районна організація,Хмельницька обл.,25921630,"Хмельницька обл.,  Кам'янець-Подільський р-н, вул. Набережна, 41","Хмельницька обл.,  Кам'янець-Подільський р-н, вул. Набережна, 41",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Шепетівська районна організація,Хмельницька обл.,25921706,"Хмельницька обл.,  Шепетівський р-н, вул. Героїв Небесної Сотні, 89","Хмельницька обл.,  Шепетівський р-н, вул. Героїв Небесної Сотні, 89",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Чернігівська міська організація Партії Зелених України,Чернігівська обл.,25901566,"Чернігівська обл., м. Чернігів, вул. Текстильників, 33","Чернігівська обл., м. Чернігів, вул. Текстильників, 33",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Тернопільська обласна організація Партії Зелених України,Тернопільська обл.,25344806,"Тернопільська обл., м. Тернопіль, вул. Шашкевича М., 3/97","Тернопільська обл., м. Тернопіль, вул. Шашкевича М., 3/97",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Рівненська міська організація Партії Зелених України,Рівненська обл.,36349795,"Рівненська обл., м. Рівне, вул. Відінська, 33","Рівненська обл., м. Рівне, вул. Відінська, 33",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Рівненська обласна організація Партії Зелених України,Рівненська обл.,25316566,"Рівненська обл., м. Рівне, вул. Яворницького, 41","Рівненська обл., м. Рівне, вул. Яворницького, 41",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Ізяславська районна організація Партії Зелених України,Хмельницька обл.,25961640,"Хмельницька обл.,  Ізяславський р-н, вул. Вокзальна, 74","Хмельницька обл.,  Ізяславський р-н, вул. Вокзальна, 74",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Сумська обласна організація Партії Зелених України,Сумська обл.,23819381,"Сумська обл., м. Суми, вул. Соборна, 33","Сумська обл., м. Суми, вул. Соборна, 33",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Городоцька районна організація Партії Зелених України,Хмельницька обл.,25961628,"Хмельницька обл.,  Городоцький р-н, вул. Шевченка Т., 18","Хмельницька обл.,  Городоцький р-н, вул. Шевченка Т., 18",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Донецька обласна організація Партії Зелених України,Донецька обл.,25109809,"Донецька обл., м. Костянтинівка, вул. Челюскінців, 12","Донецька обл., м. Костянтинівка, вул. Челюскінців, 12",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Кіровоградська обласна організація Партії Зелених України,Кіровоградська обл.,24708695,"Кіровоградська обл., м. Кропивницький, вул. Декабристів, 23","Кіровоградська обл., м. Кропивницький, вул. Декабристів, 23",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Хмельницька обласна організація Партії Зелених України,Хмельницька обл.,22778639,"Хмельницька обл., м. Хмельницький, просп. Миру, 78/5","Хмельницька обл., м. Хмельницький, просп. Миру, 78/5",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Хмельницька міська організація Партії Зелених України,Хмельницька обл.,25908261,"Хмельницька обл., м. Хмельницький, просп. Миру, 78/5","Хмельницька обл., м. Хмельницький, просп. Миру, 78/5",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Волинська обласна організація Партії Зелених України,Волинська обл.,25091245,"Волинська обл., м. Луцьк, вул. Хмельницького Б., 23","Волинська обл., м. Луцьк, вул. Хмельницького Б., 23",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Маневицька районна організація Партії Зелених України,Волинська обл.,37950844,"Волинська обл.,  Маневицький р-н, вул. Снітка Андрія, 30а","Волинська обл.,  Маневицький р-н, вул. Снітка Андрія, 30а",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Жовківська районна організація,Львівська обл.,25252174,"Львівська обл.,  Львівський р-н, вул. Лісна, 20","Львівська обл.,  Львівський р-н, вул. Лісна, 20",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Трускавецька міська організація,Львівська обл.,25261233,"Львівська обл.,  Дрогобицький р-н, вул. Мазепи І., 20","Львівська обл.,  Дрогобицький р-н, вул. Мазепи І., 20",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Мостиська районна організація,Львівська обл.,25563218,"Львівська обл.,  Яворівський р-н, вул. Івасюка В., 20","Львівська обл.,  Яворівський р-н, вул. Івасюка В., 20",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Львівська міська організація Партії Зелених України,Львівська обл.,25558757,"Львівська обл., м. Львів, просп. Шевченка Т., 21","Львівська обл., м. Львів, просп. Шевченка Т., 21",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Дрогобицька районна організація Партії Зелених України,Львівська обл.,25255988,"Львівська обл.,  Дрогобицький р-н, вул. Сагайдачного, 16","Львівська обл.,  Дрогобицький р-н, вул. Сагайдачного, 16",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Бориславська міська організація Партії Зелених України,Львівська обл.,22401975,"Львівська обл., м. Борислав, вул. Шевченка, 94","Львівська обл., м. Борислав, вул. Шевченка, 94",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Львівська обласна організація Партії Зелених України,Львівська обл.,20847684,"Львівська обл., м. Дрогобич, вул. Княгині Ольги, 16","Львівська обл., м. Дрогобич, вул. Княгині Ольги, 16",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Рокитнянська районна організація,Київська обл.,26146333,"Київська обл.,  Білоцерківський р-н, вул. Лесі Українки, 12","Київська обл.,  Білоцерківський р-н, вул. Лесі Українки, 12",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Київська обласна організація Партії Зелених України,М.київ,24884877,"М.київ,  Голосіївський, вул. Кудряшова, 7","М.київ,  Голосіївський, вул. Кудряшова, 7",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Бородянська районна організація,Київська обл.,26129257,"Київська обл.,  Бучанський р-н, вул. Шевченка, 61","Київська обл.,  Бучанський р-н, вул. Шевченка, 61",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Ставищенська районна організація,Київська обл.,26190475,"Київська обл.,  Білоцерківський р-н, вул. Цимбала Сергія, 26а","Київська обл.,  Білоцерківський р-н, вул. Цимбала Сергія, 26а",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Ржищівська міська організація,Київська обл.,26129234,"Київська обл.,  Обухівський р-н, вул. Панорамна, 34","Київська обл.,  Обухівський р-н, вул. Панорамна, 34",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Бориспільська районна організація,Київська обл.,26104470,"Київська обл.,  Бориспільський р-н, вул. Центральна, 61","Київська обл.,  Бориспільський р-н, вул. Центральна, 61",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Фастівська міська організація,Київська обл.,26129228,"Київська обл.,  Фастівський р-н, вул. Героїв прикордонників, 2","Київська обл.,  Фастівський р-н, вул. Героїв прикордонників, 2",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Макарівська районна організація,Київська обл.,26146801,"Київська обл.,  Бучанський р-н, вул. Довженка Олександра, 18","Київська обл.,  Бучанський р-н, вул. Довженка Олександра, 18",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Кагалицька районна організація Партії Зелених України,Київська обл.,25564072,"Київська обл.,  Кагарлицький р-н, вул. Тітова, 9","Київська обл.,  Кагарлицький р-н, вул. Тітова, 9",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Обухівська районна організація Партії Зелених України,Київська обл.,25931024,"Київська обл., м. Обухів, вул. Каштанова, 11","Київська обл., м. Обухів, вул. Каштанова, 11",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Броварська районна організація Партії Зелених України,Київська обл.,26129263,"Київська обл.,  Броварський р-н, вул. Молодіжна, 2","Київська обл.,  Броварський р-н, вул. Молодіжна, 2",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Вишгородська міська організація Партії Зелених України,Київська обл.,34068585,"Київська обл.,  Вишгородський р-н, вул. Піщана, 45","Київська обл.,  Вишгородський р-н, вул. Піщана, 45",
ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,Бориспільська районна організація Партії Зелених України,Київська обл.,33962196,"Київська обл.,  Бориспільський р-н, вул. Перемоги, 61","Київська обл.,  Бориспільський р-н, вул. Перемоги, 61",
