Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлова будівля,"Закарпатська обл., м. Ужгород, вул. Собранецька, буд. 138",20.2,,01.07.2020,52700,безкоштовне користування,,,Фізична особа,РІДНЕ ЗАКАРПАТТЯ,2022-03-31,1,2022
Нежитлова будівля,"Закарпатська обл., м. Ужгород, вул. Собранецька, буд. 138",20.2,,30.06.2020,52700,безкоштовне користування,,,Фізична особа,РІДНЕ ЗАКАРПАТТЯ,2022-03-31,1,2022
Нежитлова будівля,"Закарпатська обл., м. Ужгород, вул. Собранецька, буд. 138",20.2,,06.01.2020,52700,Оренда,,,Фізична особа,РІДНЕ ЗАКАРПАТТЯ,2022-03-31,1,2022
Нежитлова будівля,"Закарпатська обл., м. Ужгород, вул. Собранецька, буд. 138",20.2,,01.07.2020,52700,безкоштовне користування,,,Фізична особа,РІДНЕ ЗАКАРПАТТЯ,2022-12-31,4,2022
Нежитлова будівля,"Закарпатська обл., м. Ужгород, вул. Собранецька, буд. 138",20.2,,30.06.2020,52700,безкоштовне користування,,,Фізична особа,РІДНЕ ЗАКАРПАТТЯ,2022-12-31,4,2022
Нежитлова будівля,"Закарпатська обл., м. Ужгород, вул. Собранецька, буд. 138",20.2,,06.01.2020,52700,Оренда,,,Фізична особа,РІДНЕ ЗАКАРПАТТЯ,2022-12-31,4,2022
Нежитлова будівля,"Закарпатська обл., м. Ужгород, вул. Собранецька, буд. 138",20.2,,01.07.2020,52700,безкоштовне користування,,,Фізична особа,РІДНЕ ЗАКАРПАТТЯ,2022-09-30,3,2022
Нежитлова будівля,"Закарпатська обл., м. Ужгород, вул. Собранецька, буд. 138",20.2,,30.06.2020,52700,безкоштовне користування,,,Фізична особа,РІДНЕ ЗАКАРПАТТЯ,2022-09-30,3,2022
Нежитлова будівля,"Закарпатська обл., м. Ужгород, вул. Собранецька, буд. 138",20.2,,06.01.2020,52700,Оренда,,,Фізична особа,РІДНЕ ЗАКАРПАТТЯ,2022-09-30,3,2022
Нежитлова будівля,"Закарпатська обл., м. Ужгород, вул. Собранецька, буд. 138",20.2,,01.07.2020,52700,безкоштовне користування,,,Фізична особа,РІДНЕ ЗАКАРПАТТЯ,2022-06-30,2,2022
Нежитлова будівля,"Закарпатська обл., м. Ужгород, вул. Собранецька, буд. 138",20.2,,30.06.2020,52700,безкоштовне користування,,,Фізична особа,РІДНЕ ЗАКАРПАТТЯ,2022-06-30,2,2022
Нежитлова будівля,"Закарпатська обл., м. Ужгород, вул. Собранецька, буд. 138",20.2,,06.01.2020,52700,Оренда,,,Фізична особа,РІДНЕ ЗАКАРПАТТЯ,2022-06-30,2,2022
