Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Торгова марка чи комерційне найменування,"Зображення торговельної марки, згідно з заявкою №м20201811",ПАРТІЯ ВОЛОДИМИРА БУРЯКА ЄДНАННЯ,1,2023
Торгова марка чи комерційне найменування,"Зображення торговельної марки, згідно з заявкою №м202018106",ПАРТІЯ ВОЛОДИМИРА БУРЯКА ЄДНАННЯ,1,2023
Торгова марка чи комерційне найменування,"Зображення торговельної марки, згідно з заявкою №м202018099",ПАРТІЯ ВОЛОДИМИРА БУРЯКА ЄДНАННЯ,1,2023
Торгова марка чи комерційне найменування,"Зображення торговельної марки, згідно з заявкою №м20201811",ПАРТІЯ ВОЛОДИМИРА БУРЯКА ЄДНАННЯ,4,2023
Торгова марка чи комерційне найменування,"Зображення торговельної марки, згідно з заявкою №м202018106",ПАРТІЯ ВОЛОДИМИРА БУРЯКА ЄДНАННЯ,4,2023
Торгова марка чи комерційне найменування,"Зображення торговельної марки, згідно з заявкою №м202018099",ПАРТІЯ ВОЛОДИМИРА БУРЯКА ЄДНАННЯ,4,2023
Торгова марка чи комерційне найменування,"Зображення торговельної марки, згідно з заявкою №м20201811",ПАРТІЯ ВОЛОДИМИРА БУРЯКА ЄДНАННЯ,3,2023
Торгова марка чи комерційне найменування,"Зображення торговельної марки, згідно з заявкою №м202018106",ПАРТІЯ ВОЛОДИМИРА БУРЯКА ЄДНАННЯ,3,2023
Торгова марка чи комерційне найменування,"Зображення торговельної марки, згідно з заявкою №м202018099",ПАРТІЯ ВОЛОДИМИРА БУРЯКА ЄДНАННЯ,3,2023
Торгова марка чи комерційне найменування,"Зображення торговельної марки, згідно з заявкою №м20201811",ПАРТІЯ ВОЛОДИМИРА БУРЯКА ЄДНАННЯ,2,2023
Торгова марка чи комерційне найменування,"Зображення торговельної марки, згідно з заявкою №м202018106",ПАРТІЯ ВОЛОДИМИРА БУРЯКА ЄДНАННЯ,2,2023
Торгова марка чи комерційне найменування,"Зображення торговельної марки, згідно з заявкою №м202018099",ПАРТІЯ ВОЛОДИМИРА БУРЯКА ЄДНАННЯ,2,2023
