Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмне забезпечення ""1С:Бухгалтерія 8 для України""","м. Київ, вул. Волоська, буд. 6/14",2017-07-06,4680,обтяження відсутнє,,,,3939,Опозиційний блок,Центральний офіс,37120464,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПЗ ""1С:Бухгалтерія 8 для України"" додаткове робоче місце","м. Київ, вул. Волоська, буд. 6/14",2017-08-31,2340,обтяження відсутнє,,,,"1969,5",Опозиційний блок,Центральний офіс,37120464,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПЗ ""1С:Бухгалтерія 8 для України"" 2 додаткові робочі місця","м. Київ, вул. Волоська, буд. 6/14",2017-12-13,6600,обтяження відсутнє,,,,5775,Опозиційний блок,Центральний офіс,37120464,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція Microsoft (60 л.),"м. Київ, вул. Волоська, буд. 6/14",2017-11-07,"321546,6",обтяження відсутнє,,,,"232127,01",Опозиційний блок,Центральний офіс,37120464,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція Microsoft,"м. Київ, вул. Волоська, буд. 6/14",2017-12-14,41463,обтяження відсутнє,,,,"36280,11",Опозиційний блок,Центральний офіс,37120464,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",www.opposition.org.ua,,2018-08-20,264,обтяження відсутнє,,,,"95,93",Опозиційний блок,Центральний офіс,37120464,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПЗ ""Облік членів партії""","м. Київ, вул. Волоська, буд. 6/14",2017-10-02,145500,обтяження відсутнє,2022-10-02,,41225,104275,Опозиційний блок,Центральний офіс,37120464,Україна,1,2019
"Комерційні позначення (товарні знаки, торгові марки)",Використання знаків для товарів і послуг,"м. Київ, вул. Волоська, буд. 6/14",2019-01-08,"5109,48",обтяження відсутнє,2019-12-30,,,"5109,48",Опозиційний блок,Центральний офіс,37120464,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство""8 кл.ліц.на 1 р/м","м. Вінниця, вул. Магістратська, буд. 43",2017-10-25,3300,обтяження відсутнє,,,,"962,5",Опозиційний блок,Вінницька обласна організація,37618150,Вінницька область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція MS Windows 10 Home 64-bit 1pk DVD,"м. Вінниця, вул. Магістратська, буд. 43",2017-11-30,12484,обтяження відсутнє,,,,"4161,44",Опозиційний блок,Вінницька обласна організація,37618150,Вінницька область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція MS Ofice Home&Business 2016 64-bit 2pk DVD,"м. Вінниця, вул. Магістратська, буд. 43",2017-11-30,22916,обтяження відсутнє,,,,"7638,56",Опозиційний блок,Вінницька обласна організація,37618150,Вінницька область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Office Home and Business 2016 32/64 Russian DVD P2 (2 ліцензії),"м. Луцьк, мікрн. Привокзальний, буд. 1, кімн. 3",2018-06-19,"9976,5",обтяження відсутнє,,,,"8729,4375",Опозиційний блок,Волинська обласна організація,39707509,Волинська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Windows 10 Pro 32-bit/64-bit Russian USB (2 ліцензії),"м. Луцьк, мікрн. Привокзальний, буд. 1, кімн. 3",2018-06-19,10755,обтяження відсутнє,,,,"9410,625",Опозиційний блок,Волинська обласна організація,39707509,Волинська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8.Клієнтська ліцензія на 1 робоче місце""","м. Луцьк, мікрн. Привокзальний, буд. 1, кімн. 3",2018-07-03,"2612,5",обтяження відсутнє,,,,"2285,9375",Опозиційний блок,Волинська обласна організація,39707509,Волинська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Windows 10 Home 64-bit Russian 1pk DVD (KW9-00132) (2 ліцензії),"м. Луцьк, мікрн. Привокзальний, буд. 1, кімн. 3",2018-10-11,"6871,33",обтяження відсутнє,,,,"6012,41375",Опозиційний блок,Волинська обласна організація,39707509,Волинська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція.MS Office Home and Business 2016 32/64 Russian DVD P2 (2 ліцензії),"м. Луцьк, мікрн. Привокзальний, буд. 1, кімн. 3",2018-10-11,"12827,83",обтяження відсутнє,,,,"11224,35125",Опозиційний блок,Волинська обласна організація,39707509,Волинська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8. Клієнтська ліцензія на 1 робоче місце""","м. Дніпро, просп. Карла Маркса, буд. 5",2017-10-23,3300,обтяження відсутнє,,,,"1237,5",Опозиційний блок,Дніпропетровська обласна організація,39750015,Дніпропетровська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Windows 10 Home 64 bit Russian 1pk DVD (8 ліцензій),"м. Дніпро, просп. Карла Маркса, буд. 5",2017-11-24,24968,обтяження відсутнє,,,,9363,Опозиційний блок,Дніпропетровська обласна організація,39750015,Дніпропетровська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Office Home and Business 2016 32/64 Russian DVD P2 (8 ліцензій),"м. Дніпро, просп. Карла Маркса, буд. 5",2017-11-24,45832,обтяження відсутнє,,,,17187,Опозиційний блок,Дніпропетровська обласна організація,39750015,Дніпропетровська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8. Клієнтська ліцензія на 1 робоче місце""","Донецька обл., м. Краматорськ, вул. Кузнецова, буд. 11",2017-10-23,3300,обтяження відсутнє,,,,"1237,5",Опозиційний блок,Донецька обласна організація,39751914,Донецька область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Windows 10 Home 64 bit Russian 1pk DVD (5 ліцензії),"Донецька обл., м. Краматорськ, вул. Кузнецова, буд. 11",2017-11-24,15605,обтяження відсутнє,,,,"5851,865",Опозиційний блок,Донецька обласна організація,39751914,Донецька область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Office Home and Business 2016 32/64 Russian DVD P2 (5 ліцензії),"Донецька обл., м. Краматорськ, вул. Кузнецова, буд. 11",2017-11-24,28645,обтяження відсутнє,,,,"10741,875",Опозиційний блок,Донецька обласна організація,39751914,Донецька область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8 (шт.1)","м. Житомир, вул. Домбровського, буд. 86, кімн. 257",2017-10-23,3300,обтяження відсутнє,,,,0,Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція .MS,Windows 10 (шт.5)","м. Житомир, вул. Домбровського, буд. 86, кімн. 257",2017-11-24,15605,обтяження відсутнє,,,,0,Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція .MS,Office Home and Business 2016 32/64 (шт.5)","м. Житомир, вул. Домбровського, буд. 86, кімн. 257",2017-11-24,28645,обтяження відсутнє,,,,0,Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Комп'ютерна програма ""М.Е.Doc""","м. Житомир, вул. Домбровського, буд. 86, кімн. 257",2018-08-06,1100,обтяження відсутнє,,,,"458,31",Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8. Клієнтська ліцензія на 1 робоче місце""","Закарпатська обл., Ужгородський р-н, с. Барвінок, вул. Е. Егана, буд. 50А",2017-10-23,3300,обтяження відсутнє,,,,"1237,5",Опозиційний блок,Закарпатська обласна організація,38222036,Закарпатська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Windows 10 Home 64 bit Russian 1pk DVD (4 ліцензії),"Закарпатська обл., Ужгородський р-н, с. Барвінок, вул. Е. Егана, буд. 50А",2017-11-29,12484,обтяження відсутнє,,,,"4681,5",Опозиційний блок,Закарпатська обласна організація,38222036,Закарпатська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Програмна продукція. MS Office Home and Business 2016 32/64 Russian DVD P2 (4 ліцензії),"Закарпатська обл., Ужгородський р-н, с. Барвінок, вул. Е. Егана, буд. 50А",2017-11-29,22916,обтяження відсутнє,,,,"8593,5",Опозиційний блок,Закарпатська обласна організація,38222036,Закарпатська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",програмна продукція MS Windows 10 Home 64-bit Russian 1pk DVD,"м. Запоріжжя, бульв. Тараса Шевченка, буд. 23",2017-11-21,21847,обтяження відсутнє,,,,"16021,08",Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",програмна продукція MS Office Home and Business 2016 32/16 Russian DVD P2,"м. Запоріжжя, бульв. Тараса Шевченка, буд. 23",2017-11-21,40103,обтяження відсутнє,,,,"29408,92",Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","програмна продукція ""1С:Підприємство 8.Клієнтська ліцензія на 1 робоче місце""","м. Запоріжжя, бульв. Тараса Шевченка, буд. 23",2017-10-24,3300,обтяження відсутнє,,,,2365,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Бухгалтерія""","м. Івано-Франківськ, вул. Макогона, буд. 31А, оф. 7",2017-10-25,3300,обтяження відсутнє,,,,"962,5",Опозиційний блок,Івано-Франківська обласна організація,39711819,Івано-Франківська область,1,2019
