Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Партія Шарія,Центральний офіс,Україна,39644910,"м. Харків, пров. Іванівський, буд. 5, кв. 13","м. Харків, пров. Іванівський, буд. 5, кв. 13","ПАТ КБ ""ПРИВАТБАНК"", МФО 300711 р/р 26004052619570; АТ «БАНК АЛЬЯНС», МФО 300119 р/р 26000036913001; ПАТ «БАНК «УКРАЇНСЬКИЙ КАПІТАЛ», МФО 320371 р/р 260032168700/980"
Партія Шарія,Миколаївська обласна організація,Миколаївська область,43385198,"м. Миколаїв, вул. Потьомкінська, буд. 28/1",,
Партія Шарія,Черкаська обласна організація,Черкаська область,43420698,"м. Черкаси, вул. Святотроїцька, буд. 73, оф. 204",,
Партія Шарія,Сумська обласна організація,Сумська область,43383054,"м. Суми, вул. Герасима Кондратьєва, буд. 25",,
Партія Шарія,Одеська обласна організація,Одеська область,43298315,"м. Одеса, вул. Сегедська, буд. 1, кв. 12",,"ЮЖНЕ ГРУ АТ КБ ""ПРИВАТБАНК"",  МФО 328704,  р/р UA223287040000026001054230737"
Партія Шарія,Дніпропетровська обласна організація,Дніпропетровська область,43287298,"м. Дніпро, просп. Олександра Поля, буд. 54",,"АТ КБ ""ПРИВАТБАНК"" , п/р UA383052990000026006050514394"
Партія Шарія,Полтавська обласна організація,Полтавська область,43414862,"м. Полтава, просп. Першотравневий, буд. 19, оф. 12",,
Партія Шарія,Харківська обласна організація,Харківська область,43365407,"м. Харків, вул. Суздальські ряди, буд. 9, оф. 811",,
Партія Шарія,Донецька обласна організація,Донецька область,43426244,"Донецька обл., м. Маріуполь, вул. Лавіцького, буд. 23",,
Партія Шарія,Запорізька обласна організація,Запорізька область,43348397,"м. Запоріжжя, вул. Яценко, буд. 1А, кв. 7",,
Партія Шарія,Житомирська обласна організація,Житомирська область,43390370,"м. Житомир, вул. Коцюбинського, буд. 7, кв. 14",,
Партія Шарія,Вінницька обласна організація,Вінницька область,43354510,"Вінницька обл., Вінницький р-н, с. Вінницькі Хутори, пров. Березовий, буд. 8, кв. 130",,
Партія Шарія,Київська міська організація,Київ,43373617,"м. Київ, пров. Волго-Донський , буд. 1, кв. 130",,
Партія Шарія,Закарпатська обласна організація,Закарпатська область,43571655,"Закарпатська обл., м. Мукачево, вул. Духновича, буд. 14Є, оф. 15","Закарпатська обл., м. Мукачево, вул. Духновича, буд. 14Є, оф. 15",
Партія Шарія,Кіровоградська обласна організація,Кіровоградська область,43550462,"Кіровоградська обл., м. Олександрія, вул. Айвазовського, буд. 42, оф. 10","Кіровоградська обл., м. Олександрія, вул. Айвазовського, буд. 42, оф. 10",
Партія Шарія,Рівненська обласна організація,Рівненська область,43556181,"м. Рівне, вул. Олени Теліги, буд. 45, кв. 28",,
Партія Шарія,Чернігівська обласна організація,Чернігівська область,43456944,"м. Чернігів, просп. Миру, буд. 28, оф. 31","м. Чернігів, просп. Миру, буд. 28, оф. 31",
