Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
ЄДИНА АЛЬТЕРНАТИВА,СУМСЬКА ОБЛАСНА організація,Сумська обл.,41527159,"Сумська обл., м. Суми, просп. Шевченка Тараса, 3","Сумська обл., м. Суми, просп. Шевченка Тараса, 3",
ЄДИНА АЛЬТЕРНАТИВА,ДОНЕЦЬКА ОБЛАСНА організація,Донецька обл.,41534790,"Донецька обл., м. Маріуполь, просп. Миру, 3","Донецька обл., м. Маріуполь, просп. Миру, 3",
ЄДИНА АЛЬТЕРНАТИВА,ПОЛТАВСЬКА ОБЛАСНА організація,Полтавська обл.,41332249,"Полтавська обл., м. Полтава, пров. Ротача Петра, 9","Полтавська обл., м. Полтава, пров. Ротача Петра, 9",
ЄДИНА АЛЬТЕРНАТИВА,ЛУГАНСЬКА ОБЛАСНА організація,Луганська обл.,41535222,"Луганська обл.,  Сєвєродонецький р-н, вул. Енергетиків, 74","Луганська обл.,  Сєвєродонецький р-н, вул. Енергетиків, 74",
ЄДИНА АЛЬТЕРНАТИВА,ХАРКІВСЬКА ОБЛАСНА організація,Харківська обл.,41602581,"Харківська обл., м. Харків, просп. Науки, 41/43","Харківська обл., м. Харків, просп. Науки, 41/43",
ЄДИНА АЛЬТЕРНАТИВА,ХЕРСОНСЬКА ОБЛАСНА організація,Херсонська обл.,41558412,"Херсонська обл., м. Херсон, вул. Алмазова Генерала, 43","Херсонська обл., м. Херсон, вул. Алмазова Генерала, 43",
ЄДИНА АЛЬТЕРНАТИВА,ДНІПРОПЕТРОВСЬКА ОБЛАСНА організація,Дніпропетровська обл.,41428847,"Дніпропетровська обл., м. Дніпро, вул. Савченка Юрія, 6","Дніпропетровська обл., м. Дніпро, вул. Савченка Юрія, 6",
ЄДИНА АЛЬТЕРНАТИВА,КІРОВОГРАДСЬКА ОБЛАСНА організація,Кіровоградська обл.,41527426,"Кіровоградська обл., м. Кропивницький, вул. Кропивницького, 9","Кіровоградська обл., м. Кропивницький, вул. Кропивницького, 9",
ЄДИНА АЛЬТЕРНАТИВА,ЧЕРКАСЬКА ОБЛАСНА організація,Черкаська обл.,41540033,"Черкаська обл., м. Черкаси, вул. Гагаріна, 79","Черкаська обл., м. Черкаси, вул. Гагаріна, 79",
ЄДИНА АЛЬТЕРНАТИВА,ЧЕРНІГІВСЬКА ОБЛАСНА організація,Чернігівська обл.,41417829,"Чернігівська обл.,  Чернігівський р-н, вул. Космонавтів, 5","Чернігівська обл.,  Чернігівський р-н, вул. Космонавтів, 5",
ЄДИНА АЛЬТЕРНАТИВА,ВОЛИНСЬКА ОБЛАСНА організація,Волинська обл.,41543736,"Волинська обл.,  Володимир-Волинський р-н, вул. Князя Василька, 8","Волинська обл.,  Володимир-Волинський р-н, вул. Князя Василька, 8",
ЄДИНА АЛЬТЕРНАТИВА,ЛЬВІВСЬКА ОБЛАСНА організація,Львівська обл.,41531191,"Львівська обл., м. Львів, вул. Личаківська, 139","Львівська обл., м. Львів, вул. Личаківська, 139",
ЄДИНА АЛЬТЕРНАТИВА,ТЕРНОПІЛЬСЬКА ОБЛАСНА організація,Тернопільська обл.,41543689,"Тернопільська обл.,  Тернопільський р-н, вул. Руська, 15","Тернопільська обл.,  Тернопільський р-н, вул. Руська, 15",
ЄДИНА АЛЬТЕРНАТИВА,ІВАНО-ФРАНКІВСЬКА ОБЛАСНА організація,Івано-франківська обл.,41426546,"Івано-франківська обл.,  Івано-Франківський р-н, вул. Івана Павла II, 30","Івано-франківська обл.,  Івано-Франківський р-н, вул. Івана Павла II, 30",
ЄДИНА АЛЬТЕРНАТИВА,КИЇВСЬКА МІСЬКА організація,М.київ,41471830,"М.київ,  Деснянський, вул. Бальзака Оноре де, 55","М.київ,  Деснянський, вул. Бальзака Оноре де, 55",
ЄДИНА АЛЬТЕРНАТИВА,ЖИТОМИРСЬКА ОБЛАСНА організація,Житомирська обл.,41441029,"Житомирська обл.,  Новоград-Волинський р-н, вул. Лисіна Академіка, 58","Житомирська обл.,  Новоград-Волинський р-н, вул. Лисіна Академіка, 58",
ЄДИНА АЛЬТЕРНАТИВА,КИЇВСЬКА ОБЛАСНА організація,Київська обл.,41456261,"Київська обл.,  Бучанський р-н, вул. Соборна, 10","Київська обл.,  Бучанський р-н, вул. Соборна, 10",
