Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Блок Петра Порошенка,Білопільська районна організація,Сумська область,39813336,"41842, Сумська обл., Білопільський район, село Куянівка, вул. КАЙДАША, буд. 14, корпус 2","Сумська обл., Білопільський р-н., м. Білопілля, вул. Старопутивльська, буд. 39","Територіальне відокремнене безбалансове відділення № 10018/080 філії сумського обласного управління АТ ""Ощадбанк"", ЄДРПОУ 09337356"
Блок Петра Порошенка,Вінницька обласна організація,Вінницька область,39508645,"21000, Вінницька обл., м. Вінниця, вул. ГАГАРІНА, буд. 4","21000 Вінницька область,м. Вінниця, вул. Соборна ,буд. 15, приміщення 16","ПАТ "" Міжнародний інвестиційний банк""м. КИЇВ код банку 380582 р/р 26003010318161"
Блок Петра Порошенка,Волинська обласна організація,Волинська область,39402400,"43020, Волинська обл., м. Луцьк, вул. РІВНЕНСЬКА, буд. 42","43020, Волинська обл., м. Луцьк, вул. РІВНЕНСЬКА, буд. 42","Відділення № 02-03 ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА АКЦІОНЕРНИЙ БАНК ""ПІВДЕННИЙ"", місцезнаходження: 43020, м. Луцьк, вул. Рівненська, буд. 1а, ідентифікаційний код 20953647, МФО 328209, Рахунок № 26006010004725"
Блок Петра Порошенка,Дніпропетровська обласна організація,Дніпропетровська область,39795490,"м. Дніпро, вул. Січеславська Набережна (Набережна В.І.Леніна), буд. 39, приміщення 193","м. Дніпро, вул. Січеславська Набережна (Набережна В.І.Леніна), буд. 39, приміщення 193","Філія- Дніпропетровське обласне управління публічного акціонерного товариства ""Державний ощадний банк України"", місцезнаходження: 49044, м. Дніпропетровськ, вул. Клари Цеткін, буд. 9А, ідентифікаційний код 09305480, МФО 305482, Рахунок № 26005300484468"
Блок Петра Порошенка,Донецька обласна організація,Донецька область,39645186,"87513, Донецька обл., м. Маріуполь, вул. ЛЬОТНА, буд. 20","84330, Донецька область, м. Краматорськ, вул. Ювілейна, буд. 24","Територіально відокремлене безбалансове відділення№ 10026/01 філії -Г оловного управління по м. Києву та Київській області публічного акціонерного товариства ""Державний ощадний банк України"", місцезнаходження: 03150, м. Київ, вул. Горького, буд. 105, ідентифікаційний код 09322277, МФО 322669, Рахунок № 26006300913474"
Блок Петра Порошенка,Житомирська обласна організація,Житомирська область,39682762,"10001, Житомирська обл., м. Житомир, вул. Івана Сльоти, буд. 32/98","10001, Житомирська обл., м. Житомир, вул. Івана Сльоти, буд. 32/98","відокремлене безбалансове відділення філії -Житомирське обласне управління публічного акціонерного товариства ""Державний ощадний банк України"", місцезнаходження: 10008, м. Житомир, вул. І. Франка, буд. 3, ідентифікаційний код 09311380, МФО 311647, Рахунок № 26000300890814"
Блок Петра Порошенка,Закарпатська обласна організація,Закарпатська область,39950317,"88000, Закарпатська обл., м. Ужгород, вул. ПЕРЕМОГИ, буд. 1","88000, Закарпатська обл., м. Ужгород, вул. ПЕРЕМОГИ, буд. 1","Публічне акціонерне товариство ""Комерційний інвестиційний банк"", місцезнаходження:8 8000, м. Ужгород, вул. Ю. Г ойди, буд. 10, ідентифікаційний код 19355562, МФО 312248 Рахунок №26006015000808"
Блок Петра Порошенка,Запорізька обласна організація,Запорізька область,39434317,"69006, Запорізька обл., м. Запоріжжя, проспект ЛЕНІНА, буд. 193, офіс 62","69095, Запорізька обл., м. Запоріжжя, проспект Соборний, буд. 99, 45/46","Відділення №2 філії публічного акціонерного товариства ""Державний експортно-імпортний банк України"" в м. Запоріжжі, місцезнаходження: 69035, м. Запоріжжя, вул. 40 років Рад. України, буд. 51, ідентифікаційний код: 24905013, МФО 313979, Рахунок № 2600501759900"
Блок Петра Порошенка,Івано-Франківська обласна організація,Івано-Франківська область,39655372,"76018, Івано-Франківська обл., м. Івано-Франківськ, вул. АКАДЕМІКА САХАРОВА, буд. 23","76018, Івано-Франківська обл., м. Івано-Франківськ, вул. Шевченка, номер будинку 47","Відділення №493 публічного акціонерного товариства ""УкрСиббанк"", місцезнаходження: 76018, м. Івано-Франківськ, вул. Січових Стрільців, буд. 23, ідентифікаційний код 09807750, МФО 351005, Рахунок № 26007557484900"
Блок Петра Порошенка,Київська міська організація,Київ,39154804,"01015, м. Київ, вул. ЛАВРСЬКА, буд. 16","01015, м. Київ, вул. ЛАВРСЬКА, буд. 16","Публічне акціонерне товариство ""УКРСОЦБАНК"" Старокиївське відділення, місцезнаходження: 01033, м. Київ, вул. Саксаганського, буд. 14, ідентифікаційний код 00039019, МФО 300023 Рахунок № 26008011649608"
