Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""СОЛІДАРНІСТЬ ВІННИЧИНА""","Україна, м. Вінниця свідоцтво держ.реєстр. № 943-301-Р",2015-09-09,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Вінницька обласна організація,39508645,Вінницька область,5,2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партійна газета ""Солідарність. Волинь"" ( Свідоцтво серії ВЛ № 492-225Р від 11.08.2015 року )","43020, Волинська область, м. Луцьк, вул. Рівненська, буд. 42",2015-08-11,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Волинська обласна організація,39402400,Волинська область,5,2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Дніпропетровщина""","Україна, м. Дніпро, вул. Січеславська Набережна (Набережна В.І.Леніна), буд. 39, приміщення 193",2015-08-28,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Дніпропетровська обласна організація,39795490,Дніпропетровська область,5,2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПАРТІЙНА ГАЗЕТА ""СОЛІДАРНІСТЬ. ДОНЕЧЧИНА""","87513, Донецька область, м. Маріуполь, вул. Льотна, буд. 20",2015-09-30,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Донецька обласна організація,39645186,Донецька область,5,2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Солідарність. Житомирщина""","Україна., м. Житомир, вул. І. Сльоти, буд. 32/98",2015-08-14,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Житомирська обласна організація,39682762,Житомирська область,5,2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Закарпаття""","88000, Закарпатська обл., м. Ужгород, вул. Перемоги, буд.1",2015-09-15,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Закарпатська обласна організація,39950317,Закарпатська область,5,2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",право на видавництво друкованого засобу масової інформації (свідоцтво про державну реєстрацію друкованого засобу масової інформації серія 33 Хе 1191-466-Р від 01.09.2015 р),"Україна, 69006 м. Запоріжжя пр. Леніна б. 193 оф. 62",2015-09-01,0,обтяження відсутнє,,,,0,Блок Петра Порошенка,Запорізька обласна організація,39434317,Запорізька область,5,2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Свідоцтво про державну реєстрацію друкованого засобу масової інформації Серія ІФ №580-247Р,"Івано-Франківська обл., м. Івано-Франківськ, вул. Шевченка, буд. 47",2015-08-28,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Івано-Франківська обласна організація,39655372,Івано-Франківська область,5,2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Солідарність. Київ""","01015, м. Київ, вул. Лаврська , буд.16.",2015-09-02,850,обтяження відсутнє,,,,850,Блок Петра Порошенка,Київська міська організація,39154804,Київ,5,2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Свідоцтво про державну реєстрацію друкованого засобу масової інформації (Серія К1 №1620) Партійна газета ""Солідарність. КИЇВЩИНА""","УКРАЇНА, 04053, м. КИІВ, провулок БЕХТЕРЕВСЬКИЙ, дом № 4, корпус ЛІТ А",2015-08-17,408,обтяження відсутнє,,,,408,Блок Петра Порошенка,Київська обласна організація,39495516,Київська область,5,2016
