Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-Сайт ""Goloszmin If""",ГОЛОС,1,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ""Goloszmin Rivne""",ГОЛОС,1,2021
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ""Goloszmin Kyiv""",ГОЛОС,1,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ""Goloszmin Lviv""",ГОЛОС,1,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ПП ""Голос""",ГОЛОС,1,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Навчальний чат-бот для офіційних спостерігачів,ГОЛОС,1,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""BAS Бухгалтерія. ПРОФ. компл на 5 кор.",ГОЛОС,1,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Прикладне ПЗ Аналітична система ""РАДА ГОЛОС""",ГОЛОС,1,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""BAS Бухгалтерія. ПРОФ. компл на 5 кор.",ГОЛОС,1,2021
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","твір під умовною назвою Голос"" ",ГОЛОС,1,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Невиключні майнові права інтелектуальної власності на систему ""eMap""",ГОЛОС,1,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-Сайт ""Голос Вінниця""",ГОЛОС,1,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ПП ""ГОЛОС"" https://serhiyprytula.info",ГОЛОС,1,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілєїв)","Веб-сайт ""Goloszmin Rivne""",ГОЛОС,4,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ""Goloszmin If""",ГОЛОС,4,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ""Goloszmin Kyiv""",ГОЛОС,4,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв))","Веб-сайт ""GoloszminLviv""",ГОЛОС,4,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ПП ""Голос""",ГОЛОС,4,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""BAS Бухгалтерія. ПРОФ. компл на 5 кор.",ГОЛОС,4,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Прикладне ПЗ Аналітична система ""РАДА ГОЛОС""",ГОЛОС,4,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""BAS Бухгалтерія. ПРОФ. компл на 5 кор.",ГОЛОС,4,2021
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","твір під умовною назвою Голос"" ",ГОЛОС,4,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Невиключні майнові права інтелектуальної власності на систему ""eMap""",ГОЛОС,4,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-Сайт ""Голос Вінниця""",ГОЛОС,4,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",ГАЗЕТА ПОЛІТИЧНОЇ ПАРТІЇ ГОЛОС,ГОЛОС,4,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїі)","Веб-сайт ""Goloszmin Rivne""",ГОЛОС,3,2021
"Інші	нематеріальні	права(право	на	провадженнядіяльності,	використанняекономічних	та	іншихпривілеїв)","Веб-Сайт ""Goloszmin If""",ГОЛОС,3,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ""Goloszmin Kyiv""",ГОЛОС,3,2021
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ""Goloszmin Lviv""",ГОЛОС,3,2021
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ПП ""Голос""",ГОЛОС,3,2021
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Навчальний чат-бот для офіційних спостерігачів,ГОЛОС,3,2021
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""BAS Бухгалтерія. ПРОФ. компл на 5 кор.",ГОЛОС,3,2021
