Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Нежитлове приміщення,"Івано-Франківська обл., м. Івано-Франківськ, ВУЛИЦЯ ЄВГЕНА КОНОВАЛЬЦЯ, буд. 227А",23.9,,01.12.2020,,Оренда,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
Нежитлове приміщення,"Івано-Франківська обл., Коломийський р-н, м. Коломия, вул. Кобринського, буд. 6",35.6,,01.07.2020,,Суборенда,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
Офіс,"Полтавська обл., м. Кременчук, ВУЛИЦЯ ІГОРЯ СЕРДЮКА, буд. 1",16.0,,01.10.2020,,Оренда,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
Офіс,"Черкаська обл., Черкаський р-н, м. Черкаси, Придніпровський р-н, вул. В. Чорновола, буд. 9/1, оф. 51",15.2,,01.01.2021,0,Оренда,,,Фізична особа,ГОЛОС,2021-03-31,1,2021
Нежитлова будівля,"м. Рівне, вул. Степана Бандери, буд. 22",42.5,,07.08.2020,,Оренда,,,Фізична особа,ГОЛОС,2021-03-31,1,2021
Нежитлова будівля,"м. Рівне, вул. Степана Бандери, буд. 22",42.5,,01.03.2021,,Оренда,,,Фізична особа,ГОЛОС,2021-03-31,1,2021
Офіс,"м. Чернівці, вул. Головна, буд. 71. прим. 7",48.7,,13.11.2019,,Оренда,,,Фізична особа,ГОЛОС,2021-03-31,1,2021
Нежитлове приміщення,"м. Вінниця, вул. Театральна, буд. 20",11.3,,01.12.2020,31730.63,Оренда,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
Робочі місця,"м. Луцьк, вул. Боженка, буд. 34Г",3.0,,08.07.2020,,Оренда,,,Фізична особа,ГОЛОС,2021-03-31,1,2021
приміщення,"Київська обл., м. Ірпінь, вул. Максима Рильського, буд. 5В, кв. 7",13.9,,03.09.2020,,оренда,,,Фізична особа,ГОЛОС,2021-03-31,1,2021
нежитлове приміщення,"Київська обл., м. Переяслав, вул. Богдана Хмельницького, буд. 102",20.0,,01.01.2021,,суборенда,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
Нежитлове приміщення,"м. Харків, вул. Полтавський шлях, буд. 3",26.3,,01.11.2020,,Оренда,,,Фізична особа,ГОЛОС,2021-03-31,1,2021
Офіс,"м. Тернопіль, вул. Медова, буд. 12А, оф. 23",35.5,,01.11.2019,,Оренда,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
Нежитлова будівля,"м. Житомир, вул. В. Бердичівська, буд. 35",32.4,,01.07.2020,,Оренда,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
Нежитлове приміщення №Д6-9,"м. Київ, вул. Грушевського, буд. 9Б",274.1,,15.02.2020,24547748.9,Оренда приміщення Партією для розміщення свого структурного утворення,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
Нежитлове приміщення №Д6-10.1,"м. Київ, вул. Грушевського, буд. 9Б",163.4,,15.02.2020,14633718.25,Оренда приміщення Партією для розміщення свого структурного утворення,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
Нежитлове приміщення №Д6-10.2,"м. Київ, вул. Грушевського, буд. 9Б",50.0,,01.03.2021,4423457.79,Оренда,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
Приміщення,"м. Хмельницький, вул. Подільська, буд. 115, кв. 18",10.0,,01.02.2020,,Оренда приміщення Партією для розміщення свого структурного утворення,,,Фізична особа,ГОЛОС,2021-03-31,1,2021
Офіс,"Львівська обл., Жовківський р-н, м. Жовква, вул. Лесі Українки, буд. 26/3",25.0,,01.11.2020,,Оренда,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
Офіс,"м. Львів, вул. професора Буйка, буд. 2",206.5,,01.12.2020,,Оренда,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
Приміщення,"м. Хмельницький, вул. Подільська, буд. 115, кв. 18",42.7,,01.02.2020,0,Оренда,,,Фізична особа,ГОЛОС,2021-03-31,1,2021
Нежитлова будівля,"м. Київ, вул. ГРУШЕВСЬКОГО, буд. 9 Б",274.1,,15.02.2020,24547748.9,Оренда,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
Нежитлова будівля,"м. Київ, вул. ГРУШЕВСЬКОГО, буд. 9 Б",163.4,,15.02.2020,14633718.25,Оренда,,,Юридична особа,ГОЛОС,2021-03-31,1,2021
