Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Веб-сайт “ЗА ЖИТТЯ!. Політична партія” (http://zagittya.com.ua/),"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,0,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,5,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",zagittya.com.ua,"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,288,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,5,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",gittya.com.ua,"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,288,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,5,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",gittya.com,"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,402,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,5,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",gittya.net,"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,402,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,5,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",gittya.org,"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,402,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Веб-сайт «ЗА ЖИТТЯ!. Регіональне відділення. Одеса» (http://zazhittia.od.ua/),"м. Одеса, вул. Жуковського, буд. 43",2017-07-10,0,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Одеська обласна організація,34055433,Одеська область,5,2017
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",zazhittia.od.ua,"м. Одеса, вул. Жуковського, буд. 43",2017-07-10,500,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Одеська обласна організація,34055433,Одеська область,5,2017
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Веб-сайт “ЗА ЖИТТЯ!. Політична партія” (http://zagittya.com.ua/),"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,0,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,5,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",zagittya.com.ua,"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,288,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,5,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Веб-сайт «ЗА ЖИТТЯ!. Регіональне відділення. Одеса» (http://zazhittia.od.ua/),"м. Одеса, вул. Жуковського, буд. 43",2017-07-10,0,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Одеська обласна організація,34055433,Одеська область,5,2018
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",zazhittia.od.ua,"м. Одеса, вул. Жуковського, буд. 43",2017-07-10,500,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Одеська обласна організація,34055433,Одеська область,5,2018
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Веб-сайт “ЗА ЖИТТЯ!. Політична партія” (http://zagittya.com.ua/),"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,0,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",zagittya.com.ua,"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,288,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,1,2019
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Веб-сайт «ЗА ЖИТТЯ!. Регіональне відділення. Одеса» (http://zazhittia.od.ua/),"м. Одеса, вул. Жуковського, буд. 43",2017-07-10,0,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Одеська обласна організація,34055433,Одеська область,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",zazhittia.od.ua,"м. Одеса, вул. Жуковського, буд. 43",2017-07-10,500,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Одеська обласна організація,34055433,Одеська область,1,2019
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Веб-сайт “ЗА ЖИТТЯ!. Політична партія” (http://zagittya.com.ua/),"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,0,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",zagittya.com.ua,"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,288,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,2,2019
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Веб-сайт “ЗА ЖИТТЯ!. Політична партія” (http://zagittya.com.ua/),"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,"0,00",обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,3,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",zagittya.com.ua,"м. Київ, вул. Мечникова, буд. 14/1, каб. 316",2017-06-21,"288,00",обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,3,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право на видавництво газети “Справжнє життя”,Харківська обл.,2019-07-16,,обтяження відсутнє,,,,,Опозиційна платформа - За життя,Центральний офіс,21709375,Україна,3,2019
