Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Програмне забезпечення,Програмне забезпечення для керування проектами/модуль для автоматичних процесів з опитування та анкетування,ВІДРОДЖЕННЯ,1,2021
Торгова марка чи комерційне найменування,"Свідоцтво на знак ""Відродження Політична Партія""",ВІДРОДЖЕННЯ,1,2021
Торгова марка чи комерційне найменування,"Свідоцтво на знак ""Відродимо Україну разом!""",ВІДРОДЖЕННЯ,1,2021
Авторське право та суміжні з ним права,"Компютерна програма ""1С:Бухгалтерія 8 для України""",ВІДРОДЖЕННЯ,1,2021
Авторське право та суміжні з ним права,"Компютерна програма ""1С:Підприємство 8.Зарплата і Управління Персоналом для України",ВІДРОДЖЕННЯ,1,2021
Авторське право та суміжні з ним права,"Компютерна програма ""1С:Підприємство 8.Клієнтська ліцензія на 1 робоче місце""",ВІДРОДЖЕННЯ,1,2021
Програмне забезпечення,Програмне забезпечення для керування проектами/модуль для автоматичних процесів з опитування та анкетування,ВІДРОДЖЕННЯ,3,2021
Торгова марка чи комерційне найменування,"Свідоцтво на знак ""Відродження Політична Партія""",ВІДРОДЖЕННЯ,3,2021
Торгова марка чи комерційне найменування,"Свідоцтво на знак ""Відродимо Україну разом!""",ВІДРОДЖЕННЯ,3,2021
Авторське право та суміжні з ним права,"Компютерна програма ""1С:Бухгалтерія 8 для України""",ВІДРОДЖЕННЯ,3,2021
Авторське право та суміжні з ним права,"Компютерна програма ""1С:Підприємство 8.Зарплата і Управління Персоналом для України",ВІДРОДЖЕННЯ,3,2021
Авторське право та суміжні з ним права,"Компютерна програма ""1С:Підприємство 8.Клієнтська ліцензія на 1 робоче місце""",ВІДРОДЖЕННЯ,3,2021
Програмне забезпечення,Програмне забезпечення для керування проектами/модуль для автоматичних процесів з опитування та анкетування,ВІДРОДЖЕННЯ,2,2021
Торгова марка чи комерційне найменування,"Свідоцтво на знак ""Відродження Політична Партія""",ВІДРОДЖЕННЯ,2,2021
Торгова марка чи комерційне найменування,"Свідоцтво на знак ""Відродимо Україну разом!""",ВІДРОДЖЕННЯ,2,2021
Авторське право та суміжні з ним права,"Компютерна програма ""1С:Бухгалтерія 8 для України""",ВІДРОДЖЕННЯ,2,2021
Авторське право та суміжні з ним права,"Компютерна програма ""1С:Підприємство 8.Зарплата і Управління Персоналом для України",ВІДРОДЖЕННЯ,2,2021
Авторське право та суміжні з ним права,"Компютерна програма ""1С:Підприємство 8.Клієнтська ліцензія на 1 робоче місце""",ВІДРОДЖЕННЯ,2,2021
