Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
"Інші  нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Електронний цифровий підпис (Керівник та Печатка організації) видавець АТ ""Ощадбанк""",УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2022
"Ішні нематеріальні права ( право на провадження діяльності, використання економічних та інших привілеїв)",Електронний цифровий підпис (Головний бухгалтер ),УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2022
Авторське право та суміжні з ним права,Програмний продукт MS Office 2019,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2022
Авторське право та суміжні з ним права,Програмний продукт Microsoft Windows 10 Pro 64-bit Russian,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2022
Авторське право та суміжні з ним права,Програма МЕДОК,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2022
"Ключ ЕЦП (керівник), видавецьТОВ""ЦСК Україна""",електронний цифровий підпис,УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2022
Електронний цифровий підпис,"ТОВ ""Центр сертифікації ключів ""Україна"" ",УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2022
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Електронний цифровий підпис (Керівник та печатка),УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2022
"інші нематеріальні права(право на провадження діяльності, використання економічних та інших привілеїв)",електронний цифровий підпис(Керівник та Печатка),УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2022
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Електронний цифровий підпис (Керівник та Печатка організації) видавець АТ КБ ""Приватбанк",УДАР (УКРАЇНСЬКИЙ ДЕМОКРАТИЧНИЙ АЛЬЯНС ЗА РЕФОРМИ) ВІТАЛІЯ КЛИЧКА,1,2022
