Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Область,Дата,Квартал,Рік
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000368825,"666543,34",Радикальна партія Олега Ляшка,Центральний офіс,Україна,2017-03-31,1,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000496515,"707,26",Радикальна партія Олега Ляшка,Центральний офіс,Україна,2017-03-31,1,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26008496517,54399,Радикальна партія Олега Ляшка,Центральний офіс,Україна,2017-03-31,1,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26009496516,0,Радикальна партія Олега Ляшка,Центральний офіс,Україна,2017-03-31,1,2017
"АТ ""Райффайзен банк Аваль""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26002532154,"3952185,89",Радикальна партія Олега Ляшка,Центральний офіс,Україна,2017-03-31,1,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000368825,"659569,66",Радикальна партія Олега Ляшка,Центральний офіс,Україна,2017-06-30,2,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000496515,"163,94",Радикальна партія Олега Ляшка,Центральний офіс,Україна,2017-06-30,2,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26008496516,0,Радикальна партія Олега Ляшка,Центральний офіс,Україна,2017-06-30,2,2017
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26008496517,12305,Радикальна партія Олега Ляшка,Центральний офіс,Україна,2017-06-30,2,2017
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26437055700169,"88,5",Радикальна партія Олега Ляшка,Центральний офіс,Україна,2017-06-30,2,2017
"АТ ""Райффайзен банк Аваль""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26002532154,"619017,59",Радикальна партія Олега Ляшка,Центральний офіс,Україна,2017-06-30,2,2017
