"Вид нематеріального активу","Назва нематеріального активу","Місцезнаходження обʼєкта","Дата придбання","Вартість придбання","Наявність обтяжень","Дата відчуження","Вартість відчуження майна","Сума доходу (грн)","Балансова вартість на кінець звітного періоду (грн)","Партія","Місцева організація","Код ЄДРПОУ осередку","Географічний обʼєкт","Квартал","Рік"
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмне забезпечення ""1С:Бухгалтерія 8 для України""",,"2017-07-06",4680,"обтяження відсутнє",,,,3471,"Опозиційний блок","Центральний офіс",37120464,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПЗ""1С:Бухгалтерія 8 для України"" додаткове робоче місце",,"2017-08-31",2340,"обтяження відсутнє",,,,"1735,5","Опозиційний блок","Центральний офіс",37120464,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПЗ""1С:Бухгалтерія 8 для України"" 2 додаткові робочі місця",,"2017-12-13",6600,"обтяження відсутнє",,,,5115,"Опозиційний блок","Центральний офіс",37120464,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція Microsoft (60 л.)",,"2017-11-07","321546,6","обтяження відсутнє",,,,"176850,63","Опозиційний блок","Центральний офіс",37120464,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція Microsoft",,"2017-12-14",41463,"обтяження відсутнє",,,,"15548,55","Опозиційний блок","Центральний офіс",37120464,"Україна",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство""8 кл.ліц.на 1 р/м","Вінницька область, Вінниця, вулиця Магістратська, 43","2017-10-25",3300,"обтяження відсутнє",,,,0,"Опозиційний блок","Вінницька обласна організація",37618150,"Вінницька область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція MS Windows 10 Home 64-bit 1pk DVD","Вінницька область, Вінниця, вулиця Магістратська, 43","2017-11-30",12484,"обтяження відсутнє",,,,0,"Опозиційний блок","Вінницька обласна організація",37618150,"Вінницька область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція MS Ofice Home&Business 2016 64-bit 2pk DVD","Вінницька область, Вінниця, вулиця Магістратська, 43","2017-11-30",22916,"обтяження відсутнє",,,,0,"Опозиційний блок","Вінницька обласна організація",37618150,"Вінницька область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція.MS Office Home and Business 2016 32/64 Russian DVD P2 (2 ліцензії)","Волинська область, Луцьк, Привокзальний, 1, 3","2018-06-19",13302,"обтяження відсутнє",,,,"1662,75","Опозиційний блок","Волинська обласна організація",39707509,"Волинська область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція.MS Windows 10 Pro 32-bit/64-bit Russian USB (2 ліцензії)","Волинська область, Луцьк, Привокзальний, 1, 3","2018-06-19",14340,"обтяження відсутнє",,,,"1792,5","Опозиційний блок","Волинська обласна організація",39707509,"Волинська область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8.Клієнтська ліцензія на 1 робоче місце""","Волинська область, Луцьк, Привокзальний, 1, 3","2018-07-03",3300,"обтяження відсутнє",,,,550,"Опозиційний блок","Волинська обласна організація",39707509,"Волинська область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція.MS Windows 10 Home 64-bit Russian 1pk DVD (KW9-00132) (2 ліцензії)","Волинська область, Луцьк, Привокзальний, 1, 3","2018-10-11",7496,"обтяження відсутнє",,,,"2186,3333333333","Опозиційний блок","Волинська обласна організація",39707509,"Волинська область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція.MS Office Home and Business 2016 32/64 Russian DVD P2 (2 ліцензії)","Волинська область, Луцьк, Привокзальний, 1, 3","2018-10-11",13994,"обтяження відсутнє",,,,"4081,5833333333","Опозиційний блок","Волинська обласна організація",39707509,"Волинська область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8. Клієнтська ліцензія на 1 робоче місце""","Дніпропетровська область, Дніпро́, проспект Дмитра Яворницького, 5","2017-10-23",3300,"обтяження відсутнє","2020-02-04",,,,"Опозиційний блок","Дніпропетровська обласна організація",39750015,"Дніпропетровська область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція. MS Windows 10 Home 64 bit Russian 1pk DVD (8 ліцензій)","Дніпропетровська область, Дніпро́, проспект Дмитра Яворницького, 5","2017-11-24",24968,"обтяження відсутнє","2020-02-04",,,,"Опозиційний блок","Дніпропетровська обласна організація",39750015,"Дніпропетровська область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція. MS Office Home and Business 2016 32/64 Russian DVD P2 (8 ліцензій)","Дніпропетровська область, Дніпро́, проспект Дмитра Яворницького, 5","2017-11-24",45832,"обтяження відсутнє","2020-02-04",,,,"Опозиційний блок","Дніпропетровська обласна організація",39750015,"Дніпропетровська область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8. Клієнтська ліцензія на 1 робоче місце""","Донецька область, Маріуполь, вулиця Артема, 47","2017-10-23",3300,"обтяження відсутнє",,,,0,"Опозиційний блок","Донецька обласна організація",39751914,"Донецька область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція. MS Windows 10 Home 64 bit Russian 1pk DVD (5 ліцензії)","Донецька область, Маріуполь, вулиця Артема, 47","2017-11-24",15605,"обтяження відсутнє",,,,0,"Опозиційний блок","Донецька обласна організація",39751914,"Донецька область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція. MS Office Home and Business 2016 32/64 Russian DVD P2 (5 ліцензії)","Донецька область, Маріуполь, вулиця Артема, 47","2017-11-24",28645,"обтяження відсутнє",,,,0,"Опозиційний блок","Донецька обласна організація",39751914,"Донецька область",1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція ""1С:Підприємство 8 (шт.1)","Житомирська область, Житомир, вулиця Велика Бердичівська, 67","2017-10-23",3300,"обтяження відсутнє","2020-03-20",,,,"Опозиційний блок","Житомирська обласна організація",39929086,"Житомирська область",1,2020
