Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
"Друкований засіб масової інформації газета ""Рідна країна""",Друкований засіб масової інформації,Громадський рух Миколи Томенка Рідна країна,1,2021
Розпізнавальний знак (емблема),Символіка,Громадський рух Миколи Томенка Рідна країна,1,2021
Прапор,Символіка,Громадський рух Миколи Томенка Рідна країна,1,2021
Стрічка-лінія (фірмовий стиль),Символіка,Громадський рух Миколи Томенка Рідна країна,1,2021
Авторське право та суміжні з ним права,Сайт: ridna.in.ua,Громадський рух Миколи Томенка Рідна країна,1,2021
Друкований засіб масової інформації газета «Рідна країна»,Друкований засіб масової інформації,Громадський рух Миколи Томенка Рідна країна,4,2021
Розпізнавальний знак (емблема),символіка,Громадський рух Миколи Томенка Рідна країна,4,2021
Прапор,символіка,Громадський рух Миколи Томенка Рідна країна,4,2021
Стрічка-лінія (фірмовий стиль),символіка,Громадський рух Миколи Томенка Рідна країна,4,2021
ridna.in.ua,веб сайт,Громадський рух Миколи Томенка Рідна країна,4,2021
Друкований засіб масової інформації газета «Рідна країна»,Друкований засіб масової інформації ,Громадський рух Миколи Томенка Рідна країна,3,2021
Розпізнавальний знак (емблема),символіка,Громадський рух Миколи Томенка Рідна країна,3,2021
Прапор,символіка,Громадський рух Миколи Томенка Рідна країна,3,2021
Стрічка-лінія (фірмовий стиль),символіка,Громадський рух Миколи Томенка Рідна країна,3,2021
ridna.in.ua,веб сайт,Громадський рух Миколи Томенка Рідна країна,3,2021
Друкований засіб масової інформації,"газета ""Рідна країна""",Громадський рух Миколи Томенка Рідна країна,2,2021
Розпізнавальний знак (емблема),символіка,Громадський рух Миколи Томенка Рідна країна,2,2021
Прапор,символіка,Громадський рух Миколи Томенка Рідна країна,2,2021
Стрічка-лінія (фірмовий стиль),символіка,Громадський рух Миколи Томенка Рідна країна,2,2021
ridna.in.ua ,веб сайт,Громадський рух Миколи Томенка Рідна країна,2,2021
