Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об'єкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""СЛУГА НАРОДУ"" серія та № свідоцтва КВ 23171013011Р","м. Київ, Паркова дорога 16А",2018-03-22,0,обтяження відсутнє,,,,"509,92",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ПП""СЛУГА НАРОДУ""","м. Київ, Паркова дорога 16А",2020-03-16,503000,обтяження відсутнє,,,,"503000,0",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програма для ЕОМ Ліцензія SSTK Стандартная Image,"м. Київ, Паркова дорога 16А",2020-03-18,60840,обтяження відсутнє,2021-03-17,,,"60840,0",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програма для ЕОМ MeDoc,"м. Київ, Паркова дорога 16А",2020-01-29,1202,обтяження відсутнє,2021-01-31,,,"1001,66",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ КП ""Програмний комплекс ""Варта""","м. Київ, Паркова дорога 16А",2020-01-29,650,обтяження відсутнє,2022-01-31,,,"596,65",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Програма для ЕОМ 1С:Підприємство 8.Зарплата і Управління Персоналом для України,"м. Київ, Паркова дорога 16А",2020-03-16,8400,обтяження відсутнє,2024-01-21,,,"8221,28",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Програма для ЕОМ ПЗ ""Система автоматизації HR-процесів та управління талантами Мосо""","м. Київ, Паркова дорога 16А",2020-03-20,"240 000,00",обтяження відсутнє,2070-03-19,,,"240000,0",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного імені sluga-narodu.org.ua,"м. Київ, Паркова дорога 16А",2019-07-01,288,обтяження відсутнє,2020-06-30,,,"72,0",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного sluga-narodu.com,"м. Київ, Паркова дорога 16А",2019-07-01,441,обтяження відсутнє,2020-06-30,,,"109,65",Слуга народу,Центральний офіс,40422142,Україна,1,2020
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Право використання доменного імені sluga-narodu.kiev.ua,"м. Київ, Паркова дорога 16А",2019-07-01,282,обтяження відсутнє,2020-06-30,,,"70,11",Слуга народу,Центральний офіс,40422142,Україна,1,2020
