Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Торгова марка чи комерційне найменування,"Емблема Політичної партії ""Народний Фронт""",НАРОДНИЙ ФРОНТ,4,2022
Торгова марка чи комерційне найменування,"Прапор Політичної партії ""Народний Фронт""",НАРОДНИЙ ФРОНТ,4,2022
Торгова марка чи комерційне найменування,"Девіз Політичної партії ""Народний Фронт""",НАРОДНИЙ ФРОНТ,4,2022
Авторське право та суміжні з ним права,"Права на видавництво газети ""Народний Фронт""",НАРОДНИЙ ФРОНТ,4,2022
Авторське право та суміжні з ним права,"Веб-сайт Політичної партії ""Народний Фронт""",НАРОДНИЙ ФРОНТ,4,2022
Право користування примірником комп'ютерної програми,"Комп'ютерна програма ""1С: Підприємство 8.3""",НАРОДНИЙ ФРОНТ,4,2022
Право користування примірником комп'ютерної програми,"Комп'ютерна програма ""M.E.Doc""",НАРОДНИЙ ФРОНТ,4,2022
Право користування примірником комп'ютерної програми,"Комп'ютерна програма ""Програмний комплекс FREEDOM""",НАРОДНИЙ ФРОНТ,4,2022
Право користування примірником комп'ютерної програми,Операційна система Windows 10 Professinal ,НАРОДНИЙ ФРОНТ,4,2022
Право користування примірником комп'ютерної програми,Офісна програма Microsoft Office 2016 ,НАРОДНИЙ ФРОНТ,4,2022
Авторське право та суміжні з ним права,"Аудіовізуальний твір ""ФРОНТ 14/19""",НАРОДНИЙ ФРОНТ,4,2022
