Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Географічний обʼєкт,Дата,Квартал,Рік
ПАТ КБ “Приватбанк”,поточний рахунок,26000052634643,1250,Сила людей,Центральний офіс,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009052626812,"1,09",Сила людей,Центральний офіс,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052636845,"500,75",Сила людей,Центральний офіс,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26006052628084,0,Сила людей,Центральний офіс,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26002052638755,"333,53",Сила людей,Центральний офіс,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009052644106,1000,Сила людей,Центральний офіс,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052688042,0,Сила людей,Центральний офіс,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26002052633448,0,Сила людей,Центральний офіс,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26004052674988,0,Сила людей,Центральний офіс,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26005052678596,0,Сила людей,Центральний офіс,Україна,31.03.2017,1,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052634643,2300,Сила людей,Центральний офіс,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009052626812,"1781,74",Сила людей,Центральний офіс,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052636845,"1995,47",Сила людей,Центральний офіс,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26006052628084,"69,82",Сила людей,Центральний офіс,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26002052638755,"3940,4",Сила людей,Центральний офіс,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009052644106,"12800,85",Сила людей,Центральний офіс,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052688042,0,Сила людей,Центральний офіс,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26002052633448,0,Сила людей,Центральний офіс,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26004052674988,0,Сила людей,Центральний офіс,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26005052678596,0,Сила людей,Центральний офіс,Україна,30.06.2017,2,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052634643,2300,Сила людей,Центральний офіс,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009052626812,"1781,74",Сила людей,Центральний офіс,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052636845,"1995,47",Сила людей,Центральний офіс,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26006052628084,"69,82",Сила людей,Центральний офіс,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26002052638755,"3940,4",Сила людей,Центральний офіс,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26009052644106,"12800,85",Сила людей,Центральний офіс,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26000052688042,0,Сила людей,Центральний офіс,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26002052633448,0,Сила людей,Центральний офіс,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26004052674988,0,Сила людей,Центральний офіс,Україна,30.09.2017,3,2017
ПАТ КБ “Приватбанк”,поточний рахунок,26005052678596,0,Сила людей,Центральний офіс,Україна,30.09.2017,3,2017
