Поточне значення,"На що замінити якщо з помилкою, якщо заміна не допоможе ->",Інші примітки,Після LanguageTool,,для LanguageTool,Необхідність додаткової перевірки пізніше
Абдулаевич,Абдулаєвич,,Абдулаєвич,,Абдулаєвич,
Абдуловна,Абдулівна,,Абдулівна,,Абдулівна,
Акимовна,Акимівна,,Акимівна,,Акимівна,
Александров,Олександрович,,Олександрович,,Олександрович,
Александрович,Олександрович,,Олександрович,,Олександрович,
Александровна,Олександрівна,,Олександрівна,,Олександрівна,
Алексеевич,Олексійович,,Олексійович,,Олексійович,
Алмазовна,Алмазівна,,Алмазівна,,Алмазівна,
Анатолиевич,Анатолійович,,Анатолійович,,Анатолійович,
Анатольевич,Анатолійович,,Анатолійович,,Анатолійович,
Анатольевна,Анатоліївна,,Анатоліївна,,Анатоліївна,
Андреевич,Андрійович,,Андрійович,,Андрійович,
Антоновна,Антонівна,,Антонівна,,Антонівна,
Арутюновна,Арутюнівна,,Арутюнівна,,Арутюнівна,
Ашотовна,Ашотівна,,Ашотівна,,Ашотівна,
Богдановна,Богданівна,,Богданівна,,Богданівна,
Борисовна,Борисівна,,Борисівна,,Борисівна,
Вадимовна,Вадимівна,,Вадимівна,,Вадимівна,
Валентиновна,Валентинівна,,Валентинівна,,Валентинівна,
Валериевич,Валерійович,,Валерійович,,Валерійович,
Валериевна,Валеріївна,,Валеріївна,,Валеріївна,
Валерьевич,Валерійович,,Валерійович,,Валерійович,
Васильевич,Васильович,,Васильович,,Васильович,
Васильевичь,Васильович,,Васильович,,Васильович,
Васильевна,Василівна,,Василівна,,Василівна,
Вахтанговна,Вахтангівна,,Вахтангівна,,Вахтангівна,
Викторовна,Вікторівна,,Вікторівна,,Вікторівна,
Виталиевич,Віталійович,,Віталійович,,Віталійович,
Витальевич,Вітальович,,Вітальович,,Вітальович,
Витальевна,Віталіївна,,Віталіївна,,Віталіївна,
Владимировна,Володимирівна,,Володимирівна,,Володимирівна,
Вячеславовна,Вячеславівна,,Вячеславівна,,Вячеславівна,
Гаджиевич,Гаджиєвич,,Гаджиєвич,,Гаджиєвич,
Геннадьевич,Геннадійович,,Геннадійович,,Геннадійович,
Георгиевич,Георгійович,,Георгійович,,Георгійович,
Георгиевна,Георгіївна,,Георгіївна,,Георгіївна,
Григориевич,Григорович,,Григорович,,Григорович,
Григоровна,Григорівна,,Григорівна,,Григорівна,
Григорьевич,Григорович,,Григорович,,Григорович,
Григорьевна,Григорівна,,Григорівна,,Григорівна,
Джамбаровна,Джамбарівна,,Джамбарівна,,Джамбарівна,
Дмитровна,Дмитрівна,,Дмитрівна,,Дмитрівна,
Евгеньевич,Євгенович,,Євгенович,,Євгенович,
Евгеньевна,Євгеніївна,,Євгеніївна,,Євгеніївна,
Ераджовна,Ераджівна,,Ераджівна,,Ераджівна,
Жановна,Жанівна,,Жанівна,,Жанівна,
И,,,И,,И,
Ибрагимович,Ібрагімович,,Ібрагімович,,Ібрагімович,
Иванович,Іванович,,Іванович,,Іванович,
Ивановна,Іванівна,,Іванівна,,Іванівна,
Игоревич,Ігоревич,,Ігоревич,,Ігоревич,
Игоревна,Ігорівна,,Ігорівна,,Ігорівна,
Игорович,Ігорович,,Ігорович,,Ігорович,
Игорьевич,Ігорович,,Ігорович,,Ігорович,
Иосифовна,Йосипівна,,Йосипівна,,Йосипівна,
Констянтиновна,Костянтинівна,,Костянтинівна,,Костянтинівна,
Левоновна,Левонівна,,Левонівна,,Левонівна,
Леонидовна,Леонідівна,,Леонідівна,,Леонідівна,
Леонтиевич,Леонтійович,,Леонтійович,,Леонтійович,
Людвиговна,Людвигівна,,Людвигівна,,Людвигівна,
Маркусовна,Маркусівна,,Маркусівна,,Маркусівна,
Миколаевич,Миколайович,,Миколайович,,Миколайович,
Миколаевна,Миколаївна,,Миколаївна,,Миколаївна,
Никифоровна,Никифорівна,,Никифорівна,,Никифорівна,
Николаевич,Миколайович,,Миколайович,,Миколайович,
Николаевна,Миколаївна,,Миколаївна,,Миколаївна,
Олеговна,Олегівна,,Олегівна,,Олегівна,
Олександровна,Олександрівна,,Олександрівна,,Олександрівна,
Павловна,Павлівна,,Павлівна,,Павлівна,
Петровна,Петрівна,,Петрівна,,Петрівна,
Сергеевич,Сергійович,,Сергійович,,Сергійович,
Станиславовна,Станіславівна,,Станіславівна,,Станіславівна,
Степановна,Степанівна,,Степанівна,,Степанівна,
Федоровна,Федорівна,,Федорівна,,Федорівна,
Федотовна,Федотівна,,Федотівна,,Федотівна,
Хамзаевич,Хамзаєвич,,Хамзаєвич,,Хамзаєвич,
Юльевич,Юлійович,,Юлійович,,Юлійович,
Юрьевич,Юрійович,,Юрійович,,Юрійович,
Юрьевна,Юріївна,,Юріївна,,Юріївна,
