Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Інші нематеріальні права,"Газета ""Солідарність. Житомирщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність Луганщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Полтавщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Чернігівщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність Волинь""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Сумщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Правона видавництво засобу масової інформації,"Друкований засіб масової інформації ""Партійна газета""Солідарність.Миколаївщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видавництво засобу масової інформації,"Друкований ЗМІ""Партійна газета""Солідарність, Закарпаття""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність Вінниччина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність. Рівненщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Харківщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видавництво засобу масової інформаці,"Партійна газета""Солідарність КИЇВЩИНА""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність Кіровоградщини""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Київ""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність. Донеччина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Черкащини""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність. Дніпропетровщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність"" ",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність.Буковина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видання ЗМІ,"Партійна газета ""Солідарність Дніпро""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
право на видавництво засобу масової інформації,"Партійна газета ""Солідарність Тернопілля""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Торгова марка чи комерційне найменування,Знак для товарів і послуг №201095,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Торгова марка чи комерційне найменування,Знак для товарів і послуг №201096,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Авторське право та суміжні з ним права,"Графічне зображення ""Логотип Політичної партії ""Європейська Солідарність""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Друкований засіб масової інформації,Партійна газета «Солідарність» (Свідоцтво серії КВ № 21367-1116),ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Office Home,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Windows 10,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Авторське право та суміжні з ним права,Програмний комплекс 1С:8.2,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,1,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Сумщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність Кіровоградщини""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Чернігівщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Харківщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобу масової Інформації,"Партійна газета ""Солідарність.Полтавщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Київ""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність Луганщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобу масової інформаці,"Партійна газета""Солідарність КИЇВЩИНА""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
право на видання засобу масової інформації,"Партійна газета ""Солідарність. Прикарпаття""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність"" ",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Тернопілля""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність.Буковина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Інші нематеріальні права,"Газета ""Солідарність. Житомирщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Черкащини""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність Вінниччина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність. Дніпропетровщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобумасової інформації,"Друкований засіб масової інформації ""Партійна газета"" Солідарність. Миколаївщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видання ЗМІ,"Партійна газета ""Солідарність Дніпро""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобу масової інформації,"Друкований ЗМІ""Партійна газета""Солідарність,Закрпаття",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність. Херсонщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність Рівненщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність. Донеччина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність Волинь""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Торгова марка чи комерційне найменування,Знак для товарів і послуг №201095,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Торгова марка чи комерційне найменування,Знак для товарів і послуг №201096,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Авторське право та суміжні з ним права,"Графічне зображення ""Логотип Політичної партії ""Європейська Солідарність""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Друкований засіб масової інформації,Партійна газета «Солідарність» (Свідоцтво серії КВ № 21367-1116),ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Office Home,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Windows 10,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Авторське право та суміжні з ним права,Програмна продукція Business automation software for accounting.,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,4,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Сумщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видання ЗМІ,"Партійна газета ""Солідарність Дніпро""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
право на видання засобу масовох інформації,"Партійна газета ""Солідарність, Прикарпаття""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність Кіровоградщини""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Чернігівщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Харківщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобу масової Інформації,"Партійна газета ""Солідарність.Полтавщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Київ""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність Луганщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобу масової інформаці,"Партійна газета""Солідарність КИЇВЩИНА""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність"" ",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Тернопілля""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність.Буковина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Інші нематеріальні права,"Газета ""Солідарність. Житомирщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність. Дніпропетровщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Черкащини""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність Вінниччина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобумасової інформації,"Друкований засіб масової інформації ""Партійна газета"" Солідарність. Миколаївщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобу масової інформації,"Друкований ЗМІ""Партійна газета""Солідарність,Закрпаття""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність. Херсонщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність. Донеччина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність Волинь""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Торгова марка чи комерційне найменування,Знак для товарів і послуг №201095,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Торгова марка чи комерційне найменування,Знак для товарів і послуг №201096,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Авторське право та суміжні з ним права,"Графічне зображення ""Логотип Політичної партії ""Європейська Солідарність""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Друкований засіб масової інформації,Партійна газета «Солідарність» (Свідоцтво серії КВ № 21367-1116),ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Office Home,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Windows 10,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Авторське право та суміжні з ним права,Програмний комплекс 1С:8.2,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,3,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Сумщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Інші нематеріальні права,"Газета ""Солідарність. Житомирщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видавництво засобу масової інформаці,"Партійна газета""Солідарність КИЇВЩИНА""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність Кіровоградщини""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Харківщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність Волинь""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність. Дніпропетровщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видавництво засобу масової інформації,"Друкований ЗМІ""Партійна газета""Солідарність,Закрпаття""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність. Донеччина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність Луганщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Черкащини""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видавництво засобу масової Інформації,"Партійна газета ""Солідарність.Полтавщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність.Буковина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Чернігівщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видання ЗМІ,"Партійна газета ""Солідарність Дніпро""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Київ""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність. Херсонщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Тернопілля""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видавництво засобу масової інформації,"Друкований засіб масової інформації ""Партійнагазета""Солідарність.Миколаївщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видання засобу масової інформації,"Партійна газета ""Солідарність. Прикарпаття""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність Вінниччина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Торгова марка чи комерційне найменування,Знак для товарів і послуг №201095,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Торгова марка чи комерційне найменування,Знак для товарів і послуг №201096,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Авторське право та суміжні з ним права,"Графічне зображення ""Логотип Політичної партії ""Європейська Солідарність""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
Друкований засіб масової інформації,Партійна газета «Солідарність» (Свідоцтво серії КВ № 21367-1116),ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2022
