Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
ВОЛЯ НАРОДУ,Саксаганська районна організація політичної партії Народна Воля м.Кривого Рогу,Дніпропетровська область,36219952,"Дніпропетровська обл., м. Кривий Ріг, вул. Рубльова, буд. 13","Дніпропетровська обл., м. Кривий Ріг, вул. Рубльова, буд. 13",
ВОЛЯ НАРОДУ,Дніпровська районна організація політичної партії Народна Воля у місті Дніпродзержинську,Дніпропетровська область,36363280,"Дніпропетровська обл., м. Камʼянське, бульв. Героїв, буд. 10","Дніпропетровська обл., м. Камʼянське, бульв. Героїв, буд. 10",
ВОЛЯ НАРОДУ,Покровська районна організація політичної партії Народна Воля Дніпропетровської області,Дніпропетровська область,36402303,"Дніпропетровська обл., Синельниківський р-н, вул. Яворницького Дмитра, буд. 128","Дніпропетровська обл., Синельниківський р-н, вул. Яворницького Дмитра, буд. 128",
ВОЛЯ НАРОДУ,Самарська районна у м.Дніпропетровську партійна організація політичної партії Народна Воля,Дніпропетровська область,36493961,"Дніпропетровська обл., м. Дніпро, вул. Пісочна, буд. 11","Дніпропетровська обл., м. Дніпро, вул. Пісочна, буд. 11",
ВОЛЯ НАРОДУ,Баглійська районна організація політичної партії Народна Воля у місті Дніпродзержинську,Дніпропетровська область,36363317,"Дніпропетровська обл., м. Камʼянське, вул. Стефаника Василя, буд. 14","Дніпропетровська обл., м. Камʼянське, вул. Стефаника Василя, буд. 14",
ВОЛЯ НАРОДУ,Жовтнева районна у м.Дніпропетровську партійна організація політичної партії Народна Воля,Дніпропетровська область,36493998,"Дніпропетровська обл., м. Дніпро, вул. Мандриківська, буд. 169","Дніпропетровська обл., м. Дніпро, вул. Мандриківська, буд. 169",
ВОЛЯ НАРОДУ,Криворізька міська організація політичної партії Народна Воля,Дніпропетровська область,36220748,"Дніпропетровська обл., м. Кривий Ріг, вул. Рубльова, буд. 13","Дніпропетровська обл., м. Кривий Ріг, вул. Рубльова, буд. 13",
ВОЛЯ НАРОДУ,Нікопольська районна організація політичної партії Народна Воля у Дніпропетровській області,Дніпропетровська область,36020613,"Дніпропетровська обл., Нікопольський р-н, вул. Центральна, буд. 52","Дніпропетровська обл., Нікопольський р-н, вул. Центральна, буд. 52",
ВОЛЯ НАРОДУ,Жовтоводська міська партійна організація політичної партії Народна Воля Дніпропетровської області,Дніпропетровська область,36003980,"Дніпропетровська обл., Камʼянський р-н, вул. Грушевського м. ., буд. 78","Дніпропетровська обл., Камʼянський р-н, вул. Грушевського м. ., буд. 78",
ВОЛЯ НАРОДУ,Широківська районна організація політичної партії Народна Воля Дніпропетровської області,Дніпропетровська область,35900880,"Дніпропетровська обл., Криворізький р-н, Східний мікрорайон, 11","Дніпропетровська обл., Криворізький р-н, Східний мікрорайон, 11",
ВОЛЯ НАРОДУ,Заводська районна організація політичної партії Народна Воля у м.Дніпродзержинську,Дніпропетровська область,36363254,"Дніпропетровська обл., м. Камʼянське, вул. Медична, буд. 11","Дніпропетровська обл., м. Камʼянське, вул. Медична, буд. 11",
ВОЛЯ НАРОДУ,Пятихатська районна партійна організація політичної партії Народна Воля Дніпропетровської області,Дніпропетровська область,36365419,"Дніпропетровська обл., Камʼянський р-н, вул. Гречко Л., буд. 36","Дніпропетровська обл., Камʼянський р-н, вул. Гречко Л., буд. 36",
ВОЛЯ НАРОДУ,Бабушкінська районна у м.Дніпропетровську партійна організація політичної партії Народна Воля,Дніпропетровська область,36493977,"Дніпропетровська обл., м. Дніпро, вул. Тополина (Шевченківський р-н, ), 7","Дніпропетровська обл., м. Дніпро, вул. Тополина (Шевченківський р-н, ), 7",
ВОЛЯ НАРОДУ,Царичанська районна партійна організація політичної партії Народна Воля Дніпропетровської області,Дніпропетровська область,35852235,"Дніпропетровська обл., Дніпровський р-н, вул. Центральна, буд. 110А","Дніпропетровська обл., Дніпровський р-н, вул. Центральна, буд. 110А",
ВОЛЯ НАРОДУ,Красногвардійська районна у м.Дніпропетровську партійна організація політичної партії Народна Воля,Дніпропетровська область,36494017,"Дніпропетровська обл., м. Дніпро, вул. Робоча (Чечелівський р-н, ), 91","Дніпропетровська обл., м. Дніпро, вул. Робоча (Чечелівський р-н, ), 91",
ВОЛЯ НАРОДУ,Центрально-міська районна організація політичної партії Народна Воля м.Кривого Рогу,Дніпропетровська область,36220575,"Дніпропетровська обл., м. Кривий Ріг, вул. Поля Олександра (Центрально-Міський р-н, ), 2","Дніпропетровська обл., м. Кривий Ріг, вул. Поля Олександра (Центрально-Міський р-н, ), 2",
ВОЛЯ НАРОДУ,Новомосковська міська організація політичної партії Народна Воля Дніпропетровської області,Дніпропетровська область,36399249,"Дніпропетровська обл., Новомосковський р-н, вул. Українська, буд. 5","Дніпропетровська обл., Новомосковський р-н, вул. Українська, буд. 5",
ВОЛЯ НАРОДУ,Нікопольська міська організація політичної партії Народна Воля у Дніпропетровській області,Дніпропетровська область,36453075,"Дніпропетровська обл., Нікопольський р-н, вул. Шевченка, буд. 75","Дніпропетровська обл., Нікопольський р-н, вул. Шевченка, буд. 75",
ВОЛЯ НАРОДУ,Амур-Нижньодніпровська районна у м.Дніпропетровську партійна організація політичної партії Народна Воля,Дніпропетровська область,36493982,"Дніпропетровська обл., м. Дніпро, вул. Янтарна, буд. 79","Дніпропетровська обл., м. Дніпро, вул. Янтарна, буд. 79",
ВОЛЯ НАРОДУ,Кіровська районна у м.Дніпропетровську партійна організація політичної партії Народна Воля,Дніпропетровська область,36494022,"Дніпропетровська обл., м. Дніпро, просп. Поля Олександра, буд. 129Б","Дніпропетровська обл., м. Дніпро, просп. Поля Олександра, буд. 129Б",
ВОЛЯ НАРОДУ,Ленінська районна у м.Дніпропетровську партійна організація політичної партії Народна Воля,Дніпропетровська область,36494001,"Дніпропетровська обл., м. Дніпро, вул. Флангова, буд. 24","Дніпропетровська обл., м. Дніпро, вул. Флангова, буд. 24",
ВОЛЯ НАРОДУ,Дніпропетровська міська партійна організація політичної партії Народна Воля,Дніпропетровська область,36494279,"Дніпропетровська обл., м. Дніпро, вул. Грушевського Михайла, буд. 6","Дніпропетровська обл., м. Дніпро, вул. Грушевського Михайла, буд. 6",
ВОЛЯ НАРОДУ,Куйбишевська районна партійна організація політичної партії Народна Воля,Запорізька область,36549453,"Запорізька обл., Пологівський р-н, пров. Мирний, буд. 14","Запорізька обл., Пологівський р-н, пров. Мирний, буд. 14",
ВОЛЯ НАРОДУ,Приморська районна партійна організація політичної партії Народна Воля,Запорізька область,36826504,"Запорізька обл., Бердянський р-н, вул. Центральна, буд. 26","Запорізька обл., Бердянський р-н, вул. Центральна, буд. 26",
ВОЛЯ НАРОДУ,Чернігівська районна партійна організація політичної партії Народна Воля у Запорізькій області,Запорізька область,36339918,"Запорізька обл., Бердянський р-н, вул. Соборна, буд. 353","Запорізька обл., Бердянський р-н, вул. Соборна, буд. 353",
ВОЛЯ НАРОДУ,Компаніївська районна організація політичної партії Народна Воля,Кіровоградська область,36083867,"Кіровоградська обл., Кропивницький р-н, вул. Степова, буд. 1Г","Кіровоградська обл., Кропивницький р-н, вул. Степова, буд. 1Г",
ВОЛЯ НАРОДУ,Перевальська районна організація політичної партії Народна Воля,Луганська область,36465824,"Луганська обл., Алчевський р-н, вул. Дзержинського, буд. 23В","Луганська обл., Алчевський р-н, вул. Дзержинського, буд. 23В",
ВОЛЯ НАРОДУ,Полтавська міська партійна організація політичної партії Народна Воля,Полтавська область,36515026,"Полтавська обл., м. Полтава, вул. Мазепи Івана, буд. 32","Полтавська обл., м. Полтава, вул. Мазепи Івана, буд. 32",
ВОЛЯ НАРОДУ,Гощанська районна партійна організація політичної партії Народна Воля,Рівненська область,36450598,"Рівненська обл., Рівненський р-н, вул. Незалежності, буд. 47Б","Рівненська обл., Рівненський р-н, вул. Незалежності, буд. 47Б",
ВОЛЯ НАРОДУ,Здолбунівська районна партійна організація політичної партії Народна Воля,Рівненська область,36451811,"Рівненська обл., Рівненський р-н, вул. Грушевського, буд. 25","Рівненська обл., Рівненський р-н, вул. Грушевського, буд. 25",
ВОЛЯ НАРОДУ,Рівненська районна партійна організація політичної партії Народна Воля,Рівненська область,36466833,"Рівненська обл., Рівненський р-н, вул. Шевченка, буд. 45","Рівненська обл., Рівненський р-н, вул. Шевченка, буд. 45",
ВОЛЯ НАРОДУ,Тернопільська міська партійна організація політичної партії Народна Воля,Тернопільська область,36509096,"Тернопільська обл., Тернопільський р-н, вул. Довженка О., буд. 18","Тернопільська обл., Тернопільський р-н, вул. Довженка О., буд. 18",
ВОЛЯ НАРОДУ,Кременецька районна організація політичної партії Народна Воля,Тернопільська область,36313968,"Тернопільська обл., Кременецький р-н, вул. Санаторійна, буд. 1","Тернопільська обл., Кременецький р-н, вул. Санаторійна, буд. 1",
ВОЛЯ НАРОДУ,Печенізька районна організація політичної партії Народна Воля у Харківській області,Харківська область,36202493,"Харківська обл., Чугуївський р-н, вул. 1 Травня, буд. 28","Харківська обл., Чугуївський р-н, вул. 1 Травня, буд. 28",
ВОЛЯ НАРОДУ,Комсомольська районна у м.Херсоні партійна організація політичної партії Народна Воля,Херсонська область,36420275,"Херсонська обл., м. Херсон, вул. Театральна, буд. 13","Херсонська обл., м. Херсон, вул. Театральна, буд. 13",
ВОЛЯ НАРОДУ,Бериславська районна організація політичної партії Народна Воля у Херсонській області,Херсонська область,36334658,"Херсонська обл., Бериславський р-н, вул. 8 Березня, буд. 15","Херсонська обл., Бериславський р-н, вул. 8 Березня, буд. 15",
ВОЛЯ НАРОДУ,Хмельницька районна організація політичної партії Народна Воля,Хмельницька область,36397016,"Хмельницька обл., Хмельницький р-н, вул. Осташковецьке шосе, буд. 27","Хмельницька обл., Хмельницький р-н, вул. Осташковецьке шосе, буд. 27",
ВОЛЯ НАРОДУ,Хмельницька міська партійна організація політичної партії Народна Воля,Хмельницька область,36676028,"Хмельницька обл., Хмельницький р-н, вул. Гагаріна, буд. 18","Хмельницька обл., Хмельницький р-н, вул. Гагаріна, буд. 18",
ВОЛЯ НАРОДУ,Старокостянтинівська районна партійна організація політичної партії Народна Воля,Хмельницька область,36524182,"Хмельницька обл., Хмельницький р-н, вул. Корольова, буд. 59","Хмельницька обл., Хмельницький р-н, вул. Корольова, буд. 59",
ВОЛЯ НАРОДУ,Деражнянська місцева партійна організація політичної партії Народна Воля,Хмельницька область,36404489,"Хмельницька обл., Хмельницький р-н, вул. Подільська, буд. 4","Хмельницька обл., Хмельницький р-н, вул. Подільська, буд. 4",
ВОЛЯ НАРОДУ,Чемеровецька районна організація політичної партії Народна Воля,Хмельницька область,36213458,"Хмельницька обл., Камʼянець-Подільський р-н, вул. Ярослава Мудрого, буд. 20","Хмельницька обл., Камʼянець-Подільський р-н, вул. Ярослава Мудрого, буд. 20",
ВОЛЯ НАРОДУ,Летичівська районна організація політичної партії Народна Воля,Хмельницька область,36404410,"Хмельницька обл., Хмельницький р-н, вул. Українки Л., буд. 1","Хмельницька обл., Хмельницький р-н, вул. Українки Л., буд. 1",
ВОЛЯ НАРОДУ,Віньковецька районна партійна організація політичної партії Народна Воля,Хмельницька область,36528056,"Хмельницька обл., Хмельницький р-н, вул. Володимирська, буд. 1","Хмельницька обл., Хмельницький р-н, вул. Володимирська, буд. 1",
ВОЛЯ НАРОДУ,Чернігівська міська партійна організація політичної партії Народна Воля,Чернігівська область,36430533,"Чернігівська обл., м. Чернігів, вул. Доценка, буд. 12","Чернігівська обл., м. Чернігів, вул. Доценка, буд. 12",
ВОЛЯ НАРОДУ,Ріпкинська районна партійна організація політичної партії Народна Воля,Чернігівська область,36272183,"Чернігівська обл., Чернігівський р-н, вул. Перемоги, буд. 24","Чернігівська обл., Чернігівський р-н, вул. Перемоги, буд. 24",
ВОЛЯ НАРОДУ,Білоцерківська міська організація політичної партії Народна Воля,Київська область,36484700,"Київська обл., Білоцерківський р-н, вул. Леваневського, буд. 65","Київська обл., Білоцерківський р-н, вул. Леваневського, буд. 65",
ВОЛЯ НАРОДУ,Чернігівська районна партійна організація політичної партії Народна Воля,Чернігівська область,36131040,"Чернігівська обл., Чернігівський р-н, пров. Шкільний, буд. 10","Чернігівська обл., Чернігівський р-н, пров. Шкільний, буд. 10",
ВОЛЯ НАРОДУ,Бучанська міська організація політичної партії Народна Воля,Київська область,36170451,"Київська обл., Бучанський р-н, вул. Заводська, буд. 17А","Київська обл., Бучанський р-н, вул. Заводська, буд. 17А",
ВОЛЯ НАРОДУ,Соломянська районна в місті Києві організація політичної партії Народна Воля,київ,36510159,"м.. київ, Шевченківський, вул. Гетьмана Вадима, буд. 38","м.. київ, Шевченківський, вул. Гетьмана Вадима, буд. 38",
ВОЛЯ НАРОДУ,Ужгородська районна партійна організація політичної партії Народна Воля,Закарпатська область,36461369,"Закарпатська обл., Ужгородський р-н, вул. Кошицька, буд. 1А","Закарпатська обл., Ужгородський р-н, вул. Кошицька, буд. 1А",
ВОЛЯ НАРОДУ,Ужгородська міська партійна організація політичної партії Народна Воля,Закарпатська область,36461353,"Закарпатська обл., Ужгородський р-н, вул. Кошицька, буд. 1А","Закарпатська обл., Ужгородський р-н, вул. Кошицька, буд. 1А",
ВОЛЯ НАРОДУ,Луцька районна партійна організація політичної партії Народна Воля,Волинська область,36407521,"Волинська обл., Луцький р-н, вул. Чернишевського, буд. 1А","Волинська обл., Луцький р-н, вул. Чернишевського, буд. 1А",
ВОЛЯ НАРОДУ,Новоград-Волинська міська партійна організація політичної партії Народна Воля,Житомирська область,36229405,"Житомирська обл., Новоград-Волинський р-н, вул. Вокзальна, буд. 1А","Житомирська обл., Новоград-Волинський р-н, вул. Вокзальна, буд. 1А",
ВОЛЯ НАРОДУ,Ківерцівська районна місцева партійна організація політичної партії Народна Воля,Волинська область,36431685,"Волинська обл., Луцький р-н, вул. Львівська, буд. 6","Волинська обл., Луцький р-н, вул. Львівська, буд. 6",
ВОЛЯ НАРОДУ,Рівненська регіональна партійна організація політичної партії Воля Народу,Рівненська область,36770845,"Рівненська обл., Рівненський р-н, вул. Свободи, буд. 17","Рівненська обл., Рівненський р-н, вул. Свободи, буд. 17",
ВОЛЯ НАРОДУ,Запорізька регіональна партійна організація політичної партії Воля Народу,Запорізька область,36604959,"Запорізька обл., м. Запоріжжя, просп. Металургів, буд. 1","Запорізька обл., м. Запоріжжя, просп. Металургів, буд. 1",
ВОЛЯ НАРОДУ,Харківська регіональна партійна організація політичної партії Народна Воля,Харківська область,36455994,"Харківська обл., м. Харків, вул. Шевченка, буд. 60","Харківська обл., м. Харків, вул. Шевченка, буд. 60",
ВОЛЯ НАРОДУ,Тернопільська регіональна партійна організація політичної партії Народна Воля,Тернопільська область,36585690,"Тернопільська обл., Тернопільський р-н, вул. Новий Світ, буд. 4","Тернопільська обл., Тернопільський р-н, вул. Новий Світ, буд. 4",
ВОЛЯ НАРОДУ,Херсонська регіональна партійна організація політичної партії Воля Народу,Херсонська область,36420207,"Херсонська обл., м. Херсон, вул. Потьомкінська, буд. 106","Херсонська обл., м. Херсон, вул. Потьомкінська, буд. 106",
ВОЛЯ НАРОДУ,Хмельницька регіональна партійна організація політичної партії Воля Народу,Хмельницька область,36451015,"Хмельницька обл., Хмельницький р-н, вул. Прибузька, буд. 8","Хмельницька обл., Хмельницький р-н, вул. Прибузька, буд. 8",
ВОЛЯ НАРОДУ,Черкаська регіональна партійна організація політичної партії Воля Народу,Черкаська область,36584042,"Черкаська обл., м. Черкаси, вул. Смілянська, буд. 144","Черкаська обл., м. Черкаси, вул. Смілянська, буд. 144",
ВОЛЯ НАРОДУ,Чернівецька регіональна партійна організація політичної партії Народна Воля,Чернівецька область,36481762,"Чернівецька обл., Чернівецький р-н, вул. Головна, буд. 44","Чернівецька обл., Чернівецький р-н, вул. Головна, буд. 44",
ВОЛЯ НАРОДУ,Чернігівська регіональна партійна організація політичної партії Народна Воля,Чернігівська область,36571028,"Чернігівська обл., м. Чернігів, вул. Балицького, буд. 42","Чернігівська обл., м. Чернігів, вул. Балицького, буд. 42",
ВОЛЯ НАРОДУ,Регіональна Київська міська організація,київ,36591704,"м.. київ, Подільський, вул. Костянтинівська, буд. 32","м.. київ, Подільський, вул. Костянтинівська, буд. 32",
ВОЛЯ НАРОДУ,Миколаївська регіональна партійна організація політичної партії Воля Народу,Миколаївська область,36486294,"Миколаївська обл., м. Миколаїв, вул. Лазурна, буд. 28А","Миколаївська обл., м. Миколаїв, вул. Лазурна, буд. 28А",
ВОЛЯ НАРОДУ,Полтавська регіональна партійна організація політичної партії Воля Народу,Полтавська область,36454765,"Полтавська обл., м. Полтава, вул. Зигіна, буд. 38","Полтавська обл., м. Полтава, вул. Зигіна, буд. 38",
ВОЛЯ НАРОДУ,Львівська регіональна партійна організація політичної партії Народна Воля,Львівська область,36829151,"Львівська обл., м. Львів, вул. Вороного м. ., буд. 3","Львівська обл., м. Львів, вул. Вороного м. ., буд. 3",
ВОЛЯ НАРОДУ,Луганська регіональна партійна організація політичної партії Народна Воля,Луганська область,36485547,"Луганська обл., Сєвєродонецький р-н, вул. Донецька, буд. 42","Луганська обл., Сєвєродонецький р-н, вул. Донецька, буд. 42",
ВОЛЯ НАРОДУ,Кіровоградська регіональна організація політичної партії Народна Воля,Кіровоградська область,36421499,"Кіровоградська обл., м. Кропивницький, вул. Тельнова Євгена, буд. 11","Кіровоградська обл., м. Кропивницький, вул. Тельнова Євгена, буд. 11",
ВОЛЯ НАРОДУ,Київська регіональна партійна організація політичної партії Воля Народу,Київська область,37101546,"Київська обл., Фастівський р-н, вул. Білогородська, буд. 45","Київська обл., Фастівський р-н, вул. Білогородська, буд. 45",
ВОЛЯ НАРОДУ,Закарпатська регіональна партійна організація політичної партії Воля Народу,Закарпатська область,36461589,"Закарпатська обл., Ужгородський р-н, вул. Німецька, буд. 13","Закарпатська обл., Ужгородський р-н, вул. Німецька, буд. 13",
ВОЛЯ НАРОДУ,Житомирська регіональна партійна організація політичної партії Воля Народу,Житомирська область,36617554,"Житомирська обл., м. Житомир, вул. Покровська, буд. 127","Житомирська обл., м. Житомир, вул. Покровська, буд. 127",
ВОЛЯ НАРОДУ,Дніпропетровська регіональна партійна організація політичної партії Народна Воля,Дніпропетровська область,36493935,"Дніпропетровська обл., м. Дніпро, вул. Грушевського Михайла, буд. 6","Дніпропетровська обл., м. Дніпро, вул. Грушевського Михайла, буд. 6",
ВОЛЯ НАРОДУ,Івано-Франківська регіональна партійна організація політичної партії Народна Воля,Івано-франківська область,36322574,"Івано-франківська обл., Івано-Франківський р-н, вул. Лепкого Б., буд. 38","Івано-франківська обл., Івано-Франківський р-н, вул. Лепкого Б., буд. 38",
ВОЛЯ НАРОДУ,Донецька регіональна партійна організація політичної партії Народна Воля,Донецька область,36651899,"Донецька обл., м. Макіївка, вул. Островського (Центрально-Міський р-н, ), 23","Донецька обл., м. Макіївка, вул. Островського (Центрально-Міський р-н, ), 23",
ВОЛЯ НАРОДУ,Волинська регіональна партійна організація політичної партії Народна Воля,Волинська область,37003887,"Волинська обл., Луцький р-н, вул. Дубнівська, буд. 18А","Волинська обл., Луцький р-н, вул. Дубнівська, буд. 18А",
ВОЛЯ НАРОДУ,Вінницька регіональна партійна організація політичної партії Воля Народу,Вінницька область,36474383,"Вінницька обл., Вінницький р-н, просп. Космонавтів, буд. 36А","Вінницька обл., Вінницький р-н, просп. Космонавтів, буд. 36А",
ВОЛЯ НАРОДУ,Центральний офіс,київ,36215434,"м.. київ, Шевченківський, вул. Зоологічна, буд. 4А","м.. київ, Шевченківський, вул. Зоологічна, буд. 4А",
