Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Комерційні позначення (товарні знаки, торгові марки)","Користування Логотипом ""Голос"" (період 07.05.19 по 07.05.20)",,2019-07-05,6000,обтяження відсутнє,,,,5500,Голос,Центральний офіс,39651598,Україна,2,2019
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Невиключні майнові права інтелектуальної власності на музичний твір(15 травня по 31 грудня 2019 року),,2019-05-15,50000,обтяження відсутнє,,,,43750,Голос,Центральний офіс,39651598,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ПП ""Голос"" https://goloszmin.org/",,2019-05-17,87000,обтяження відсутнє,,,,83375,Голос,Центральний офіс,39651598,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Пакети оновлення для МЕDoc,,2019-10-06,2102,обтяження відсутнє,,,,2102,Голос,Центральний офіс,39651598,Україна,2,2019
"Комерційні позначення (товарні знаки, торгові марки)","Користовування Логотипом ""Голос"" (період 07.05.19 по 07.05.20)",,2019-05-07,6000,обтяження відсутнє,,,,4000,Голос,Центральний офіс,39651598,Україна,3,2019
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Невиключні майнові права інтелектуальної власності на музичний твір(15 травня по 31 грудня 2019 року)	,,2019-05-15,50000,обтяження відсутнє,,,,25000,Голос,Центральний офіс,39651598,Україна,3,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт ПП ""Голос"" https://goloszmin.org/",,2019-05-17,87000,обтяження відсутнє,,,,72500,Голос,Центральний офіс,39651598,Україна,3,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Пакети оновлення для МЕDoc ,,2019-06-10,2102,обтяження відсутнє,,,,"1576,49",Голос,Центральний офіс,39651598,Україна,3,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Навчальний чат-бот для офіційних спостерігачів,,2019-07-19,10000,обтяження відсутнє,,,,"9166,66",Голос,Центральний офіс,39651598,Україна,3,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Невиключна Ліцензія на відео Зустрічі з Вакарчуком та океаном музики,,2019-07-19,19500,обтяження відсутнє,,,,,Голос,Центральний офіс,39651598,Україна,3,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Програмна продукція "" BAS Бухгалтерія. Проф. компл на 5 кор.",,2019-09-26,12900,обтяження відсутнє,,,,12900,Голос,Центральний офіс,39651598,Україна,3,2019
