Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Офіс,"Луганська обл., м. Сєвєродонецьк, вул. Гагаріна, буд. 104, оф. 170",5,,07.12.2016,0,Безоплатне користування,,,Фізична особа,РУХ ЗА РЕФОРМИ,2021-12-31,4,2021
Офіс,"м. Київ, вул. Олеся Гончара, буд. 35",5,,26.05.2021,0,Безоплатне користування,,,Юридична особа,РУХ ЗА РЕФОРМИ,2021-12-31,4,2021
Офіс,"м. Київ, вул. Олеся Гончара, буд. 35",10,,20.04.2021,0,Безоплатне користування,,,Юридична особа,РУХ ЗА РЕФОРМИ,2021-12-31,4,2021
Офіс,"Луганська обл., м. Сєвєродонецьк, вул. Гагаріна, буд. 104, оф. 170",5,,07.12.2016,0,Безоплатне користування,,,Фізична особа,РУХ ЗА РЕФОРМИ,2021-09-30,3,2021
Офіс,"м. Київ, вул. Олеся Гончара, буд. 35",5,,26.05.2021,0,Безоплатне користування,,,Юридична особа,РУХ ЗА РЕФОРМИ,2021-09-30,3,2021
Офіс,"м. Київ, вул. Олеся Гончара, буд. 35",10,,20.04.2021,0,Безоплатне користування,,,Юридична особа,РУХ ЗА РЕФОРМИ,2021-09-30,3,2021
Офіс,"Луганська обл., м. Сєвєродонецьк, вул. Гагаріна, буд. 104, оф. 170",5,,07.12.2016,0,Безоплатне користування,,,Фізична особа,РУХ ЗА РЕФОРМИ,2021-06-30,2,2021
Квартира,"м. Київ, вул. Олексіївська, буд. 4, кв. 51",20,,29.08.2019,0,Безоплатне користування,,,Фізична особа,РУХ ЗА РЕФОРМИ,2021-06-30,2,2021
Офіс,"м. Київ, вул. Олеся Гончара, буд. 35",5,,26.05.2021,0,Безоплатне користування,,,Юридична особа,РУХ ЗА РЕФОРМИ,2021-06-30,2,2021
Офіс,"м. Київ, бульв. Лесі Українки, буд. 26",27,,02.07.2020,0,Безоплатне користування,,,Юридична особа,РУХ ЗА РЕФОРМИ,2021-06-30,2,2021
Офіс,"м. Київ, вул. Олеся Гончара, буд. 35",10,,20.04.2021,0,Безоплатне користування,,,Юридична особа,РУХ ЗА РЕФОРМИ,2021-06-30,2,2021
