Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Право на використання надр чи інших природних ресурсів,"Партійна газета ""Солідарність Волинь""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видавництво засобумасової інформації,"Друкований ЗМІ""Партійна газета ""Солідарність Закакрпаття""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність Кіровоградщини""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на використання надр чи інших природних ресурсів,"Друкований засіб масової інформації ""Партійна газета ""Солідарність. Миколаївщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Інші нематеріальні права,"Газета ""Солідарність. Житомирщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Харківщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на використання надр чи інших природних ресурсів,"Партійна газета ""Солідарність. Рівненщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Чернігівщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видавництво засобу масової Інформації,"Партійна газета ""Солідарність.Полтавщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видання засобу масової інформації,"Партійна газета ""Солідарність. Прикарпаття""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Тернопілля""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видання засобу масової інформації,"Партійна газета ""Солідарність Луганщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Київ""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність. Херсонщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність КИЇВЩИНА""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на використання надр чи інших природних ресурсів,"Партійна газета ""Солідарність. Донеччина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Сумщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність"" ",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видання засобу масової інформації,"Партійна газета ""Солідарність.Буковина"" ",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Вінниччина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видання засобу масової інформації,"Партійна газета ""Солідарність.Дніпропетровщина""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видання ЗМІ,"Партійна газета ""Солідарність Дніпра""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Право на видавництво засобу масової інформації,"Партійна газета ""Солідарність.Черкащини""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Торгова марка чи комерційне найменування,Знак для товарів і послуг №201095,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Торгова марка чи комерційне найменування,Знак для товарів і послуг №201096,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Авторське право та суміжні з ним права,"Графічне зображення ""Логотип Політичної партії ""Європейська Солідарність""",ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Друкований засіб масової інформації,Партійна газета «Солідарність» (Свідоцтво серії КВ № 21367-1116),ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Office Home,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Авторське право та суміжні з ним права,Програмне забезпечення Microsoft Windows 10,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
Авторське право та суміжні з ним права,Програмна продукція Business automation software for accounting.,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,2,2024
