Вид нематеріального активу,Назва нематеріального активу,Партія,Квартал,Рік
Інші нематеріальні права,Розпізнавальний знак партії. Девіз партії,ОБʼЄДНАННЯ САМОПОМІЧ,1,2024
Інші нематеріальні права,"Право на видавництво газети ""Об'єднання ""САМОПОМІЧ""",ОБʼЄДНАННЯ САМОПОМІЧ,1,2024
Інші нематеріальні права,"Право на видавництво газети ""П'ятниця""",ОБʼЄДНАННЯ САМОПОМІЧ,1,2024
Інші нематеріальні права,"Доменне ім'я ""samopomich.ua""",ОБʼЄДНАННЯ САМОПОМІЧ,1,2024
Інші нематеріальні права,Розпізнавальний знак партії. Девіз партії,ОБʼЄДНАННЯ САМОПОМІЧ,2,2024
Інші нематеріальні права,"Право на видавництво газети ""Об'єднання ""САМОПОМІЧ""",ОБʼЄДНАННЯ САМОПОМІЧ,2,2024
Інші нематеріальні права,"Право на видавництво газети ""П'ятниця""",ОБʼЄДНАННЯ САМОПОМІЧ,2,2024
Інші нематеріальні права,"Доменне ім'я ""samopomich.ua""",ОБʼЄДНАННЯ САМОПОМІЧ,2,2024
Інші нематеріальні права,Розпізнавальний знак партії. Девіз партії,ОБʼЄДНАННЯ САМОПОМІЧ,3,2024
Інші нематеріальні права,"Право на видавництво газети ""Об'єднання ""САМОПОМІЧ""",ОБʼЄДНАННЯ САМОПОМІЧ,3,2024
Інші нематеріальні права,"Право на видавництво газети ""П'ятниця""",ОБʼЄДНАННЯ САМОПОМІЧ,3,2024
Інші нематеріальні права,"Доменне ім'я ""samopomich.ua""",ОБʼЄДНАННЯ САМОПОМІЧ,3,2024
Інші нематеріальні права,Розпізнавальний знак партії. Девіз партії,ОБʼЄДНАННЯ САМОПОМІЧ,4,2024
Інші нематеріальні права,"Право на видавництво газети ""Об'єднання ""САМОПОМІЧ""",ОБʼЄДНАННЯ САМОПОМІЧ,4,2024
Інші нематеріальні права,"Право на видавництво газети ""П'ятниця""",ОБʼЄДНАННЯ САМОПОМІЧ,4,2024
Інші нематеріальні права,"Доменне ім'я ""samopomich.ua""",ОБʼЄДНАННЯ САМОПОМІЧ,4,2024
