Вид нерухомого майна,Місцезнаходження обʼєкта,Загальна площа (кв.м),Реєстраційні дані,Дата набуття речового права,Сума витрат на отримання речового права (грн),Вид речового права,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Тип власника,Партія,Дата,Квартал,Рік
Офіс,"м. Луцьк, вул. Б. Хмельницького б. 23 кв. 1",68.1,,16.04.2004,40247.0,Власність,***,,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2021-03-31,1,2021
Офіс,"м. Мукачево, вул. Недецеї, б. 3 кв. 4",63.9,,23.04.2004,12044.0,Власність,***,,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2021-03-31,1,2021
Офіс,"м. Тернопіль, вул. Шашкевича, буд. 3, каб. 8-8, 8-13",56.1,,05.08.2004,10793.8,Власність,***,,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2021-03-31,1,2021
Офіс,"м. Луцьк, вул. Б. Хмельницького б. 23 кв. 1",68.1,,16.04.2004,40247.0,Власність,***,,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2021-12-31,4,2021
Офіс,"м. Тернопіль, вул. Шашкевича, буд. 3, каб. 8-8, 8-13",56.1,,05.08.2004,10793.8,Власність,***,,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2021-12-31,4,2021
Офіс,"м. Мукачево, вул. Недецеї, б. 3 кв. 4",63.9,,23.04.2004,12044.0,Власність,***,,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2021-12-31,4,2021
Офіс,"м. Луцьк, вул. Б. Хмельницького б. 23 кв. 1",68.1,,16.04.2004,40247.0,Власність,***,,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2021-09-30,3,2021
Офіс,"м. Тернопіль, вул. Шашкевича, буд. 3, каб. 8-8, 8-13",56.1,,05.08.2004,10793.8,Власність,***,,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2021-09-30,3,2021
Офіс,"м. Мукачево, вул. Недецеї, б. 3 кв. 4",63.9,,23.04.2004,12044.0,Власність,***,,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2021-09-30,3,2021
Офіс,"м. Луцьк, вул. Б. Хмельницького б. 23 кв. 1",68.1,,16.04.2004,40247.0,Власність,***,,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2021-06-30,2,2021
Офіс,"м. Тернопіль, вул. Шашкевича, буд. 3, каб. 8-8, 8-13",56.1,,05.08.2004,10793.8,Власність,***,,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2021-06-30,2,2021
Офіс,"м. Мукачево, вул. Недецеї, б. 3 кв. 4",63.9,,23.04.2004,12044.0,Власність,***,,Юридична особа,ПАРТІЯ ЗЕЛЕНИХ УКРАЇНИ,2021-06-30,2,2021
