???? ?????????? ??????? ? ??????? ?????????? ??????,???????????? ?????,????? ?????????????? ?????????,??? (??? ???. ????)/????? (??? ??. ????),???????????????? ??? (??? ???. ????)/??? ?????? (??? ??. ????),????? ?????????? (??? ???. ????)/???????? ?????? (??? ??. ????),??????? ??????????? ???????,??? ?????,???? (???),??? ???????????,??? ???????,??????,??????? ???????????,????? ???????,???????,
2017-01-17,"?? ""????? ????""",49,??? ???????? ???????? ???????????,,"04080, ?. ????",?????? ??????????,3.3.2,323500,??????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-01-17,"?? ""????? ????""",50,??? ???????? ???????? ???????????,,"04080, ?. ????",?????? ??????????,3.3.2,76500,??????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-02-01,"?? ""????? ????""",53,???????? ?.?.,,"01021, ?. ????",??????????? ???????,3.5.2,500,??????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-02-02,"?? ""????? ????""",54,??? ???????? ???????? ???????????,,"04080, ?. ????",?????? ??????????,3.3.2,25210,??????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-02-02,"?? ""????? ????""",55,??? ???????? ???????? ???????????,,"04080, ?. ????",?????? ??????????,3.3.2,417435,??????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-01-18,"?? ""????? ????""",??/01/33,?? “????? ????”,26410346,"04071, ?. ????, ?????????????? ?????, ????????????? ????????, ??????? 6, ?????? ?",??????? ?????,3.3.8,4,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-01-19,"?? ""????? ????""",5/167,?? “????? ????”,26410346,"04071, ?. ????, ?????????????? ?????, ????????????? ????????, ??????? 6, ?????? ?",??????? ?? ??????? ??????? ??? ????????? ???????,3.3.8,100,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-01-25,"?? ""????? ????""",186,?? “????? ????”,26410346,"04071, ?. ????, ?????????????? ?????, ????????????? ????????, ??????? 6, ?????? ?","??????????? ????? ?? ???????????? ??????? ""????????-???????""",3.3.8,115,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-01-27,"?? ""????? ????""",51,"??? ""????""",39724587,"04053, ?. ????, ???. ????????????, ??????? 8, ?????? 1",?????? ?? ????? (?????),3.1.5,3200,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-01-30,"?? ""????? ????""",??/01/48,?? “????? ????”,26410346,"04071, ?. ????, ?????????????? ?????, ????????????? ????????, ??????? 6, ?????? ?",??????? ?????,3.3.8,2,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-01-30,"?? ""????? ????""",2/284,?? “????? ????”,26410346,"04071, ?. ????, ?????????????? ?????, ????????????? ????????, ??????? 6, ?????? ?",??????? ?? ??????? ??????? ?? ????? ???????????? ?????,3.3.8,350,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-02-01,"?? ""????? ????""",52,???????? ???????????? ?????? ???????,37567646,"01601, ?. ????, ???. ?????????, ??????? 6",????????? ?? ?????????? ????. ?????????? ???? ?? ?????????? ??? ???????? ?????,3.3.8,480,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-02-02,"?? ""????? ????""",??/01/20,?? “????? ????”,26410346,"04071, ?. ????, ?????????????? ?????, ????????????? ????????, ??????? 6, ?????? ?",??????? ?????,3.3.8,4,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-02-02,"?? ""????? ????""",56,"??? ""????? ??????? ?????”",30524103,"01601, ?. ????, ???. ???????????, ??????? 22, ?????? ?",?????????? ????????? ??????????,3.2.1,600000,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-02-03,"?? ""????? ????""",??/01/22,?? “????? ????”,26410346,"04071, ?. ????, ?????????????? ?????, ????????????? ????????, ??????? 6, ?????? ?",??????? ?????,3.3.8,6,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-02-06,"?? ""????? ????""",57,?????????? ?????????? ????????? ????????????? ?????? ???????,37893158,"07400, ???????? ???., ????? ???????, ???. ????????, ??????? 286",?? ??????? ?????????? ? ??????????? ??????? ???? ?? ???????? ?????,3.3.8,920,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-02-06,"?? ""????? ????""",58,"??? ""???????? ""????????????? ??????????????? ???????""",31305512,"01042, ?. ????, ???. ????? ?????, 39",??????? ??'????,3.3.5,"1956,2",???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-02-07,"?? ""????? ????""",??/01/29,?? “????? ????”,26410346,"04071, ?. ????, ?????????????? ?????, ????????????? ????????, ??????? 6, ?????? ?",??????? ?????,3.3.8,4,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-02-07,"?? ""????? ????""",59,"??? ""??????????? ????? “??? ?????-???????”",34619277,"01054, ?. ????, ???. ?.???????, ??????? 41?, 3 ??????",??????????? ???????,3.5.2,283500,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
2017-02-08,"?? ""????? ????""",??/01/23,?? “????? ????”,26410346,"04071, ?. ????, ?????????????? ?????, ????????????? ????????, ??????? 6, ?????? ?",??????? ?????,3.3.8,2,???????? ?????,???????? ???????,??????????? ????,??????????? ????,26008001030506,???????,
