Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Область,Дата,Коментар
"АТ ""Місто банк""",поточний рахунок,26008001030506,"50390,95",Опозиційний блок,Центральний офіс,Україна,2017-03-31,
ПАТ “ПУМБ”,поточний рахунок,260058463,"7782,59",Опозиційний блок,Центральний офіс,Україна,2017-03-31,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26007011076294,6132,Опозиційний блок,Центральний офіс,Україна,2017-03-31,
"АТ ""Місто банк""",поточний рахунок,26008001030506,"3759,55",Опозиційний блок,Центральний офіс,Україна,2017-06-30,
ПАТ “ПУМБ”,поточний рахунок,260058463,"7782,59",Опозиційний блок,Центральний офіс,Україна,2017-06-30,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26007011076294,6132,Опозиційний блок,Центральний офіс,Україна,2017-06-30,
"АТ ""Місто банк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007002030506,10732086,Опозиційний блок,Центральний офіс,Україна,2017-06-30,
"АТ ""Ощадбанк""",поточний рахунок,26001300828840,0,Опозиційний блок,Бахмутська міська організація,Донецька область,2017-06-30,"закрит, у зв`язку зі зміною назви організації"
"АТ ""Ощадбанк""",поточний рахунок,26001300992077,0,Опозиційний блок,Бахмутська міська організація,Донецька область,2017-06-30,
"АТ ""Ощадбанк""",поточний рахунок,26008300990180,"4816,16",Опозиційний блок,Бахмутська районна організація,Донецька область,2017-06-30,
"АТ ""Ощадбанк""",поточний рахунок,26009300831787,"1391,74",Опозиційний блок,Великоновосілківська районна організація,Миколаївська область,2017-06-30,
ПАТ “ПУМБ”,поточний рахунок,2600815360,"47,6",Опозиційний блок,Вінницька обласна організація,Вінницька область,2017-06-30,
ПАТ “ПУМБ”,поточний рахунок,2600614183,0,Опозиційний блок,Володарська районна організація,Донецька область,2017-06-30,
"АТ ""Ощадбанк""",поточний рахунок,26000300833751,"7576,48",Опозиційний блок,Волноваська районна організація,Донецька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26004051823384,0,Опозиційний блок,Вугледарська міська організація,Донецька область,2017-06-30,
"АТ ""Ощадбанк""",поточний рахунок,26001300840022,"3772,24",Опозиційний блок,Добропільська міська організація,Донецька область,2017-06-30,
ПАТ “ПУМБ”,поточний рахунок,2600813320,"6367,22",Опозиційний блок,Дніпропетровська обласна організація,Дніпропетровська область,2017-06-30,
"АТ ""Ощадбанк""",поточний рахунок,26009300842743,"685,83",Опозиційний блок,Добропільська районна організація,Донецька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007053610066,0,Опозиційний блок,Донецька обласна організація,Донецька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006053607917,"100,17",Опозиційний блок,Дружківська міська організація,Донецька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26008055807991,"1692,85",Опозиційний блок,Житомирська обласна організація,Житомирська область,2017-06-30,
ПАТ “Комінвестбанк”,поточний рахунок,26003016000800,"188,97",Опозиційний блок,Закарпатська обласна організація,Закарпатська область,2017-06-30,
ПАТ “ПУМБ”,поточний рахунок,2600612837,"345631,43",Опозиційний блок,Запорізька обласна організація,Запорізька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26423055700913,0,Опозиційний блок,Запорізька обласна організація,Запорізька область,2017-06-30,накопичувальний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26428055700413,0,Опозиційний блок,Запорізька обласна організація,Запорізька область,2017-06-30,поточний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26423055700678,0,Опозиційний блок,Запорізька обласна організація,Запорізька область,2017-06-30,накопичувальний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26428055700275,0,Опозиційний блок,Запорізька обласна організація,Запорізька область,2017-06-30,поточний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26422055700776,0,Опозиційний блок,Запорізька обласна організація,Запорізька область,2017-06-30,накопичувальний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26429055700661,0,Опозиційний блок,Запорізька обласна організація,Запорізька область,2017-06-30,поточний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26433055700077,0,Опозиційний блок,Запорізька обласна організація,Запорізька область,2017-06-30,поточний
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26438055700254,0,Опозиційний блок,Запорізька обласна організація,Запорізька область,2017-06-30,поточний
ПАТ “ПУМБ”,поточний рахунок,2600115305,0,Опозиційний блок,Івано-Франківська обласна організація,Івано-Франківська область,2017-06-30,
"АТ ""Місто банк""",поточний рахунок,26006001030575,"24466,28",Опозиційний блок,Київська обласна організація,Київська область,2017-06-30,
"АБ ""Південний""",поточний рахунок,26000010007869,"7235,39",Опозиційний блок,Кіровоградська обласна організація,Кіровоградська область,2017-06-30,
"АТ ""Ощадбанк""",поточний рахунок,26007300828305,"18,98",Опозиційний блок,Краснолиманська міська організація,Донецька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26009053604382,"338,6",Опозиційний блок,Краматорська міська організація,Донецька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26001053607086,"245,42",Опозиційний блок,Костянтинівська районна організація,Донецька область,2017-06-30,
"АТ ""Ощадбанк""",поточний рахунок,26008301680625,"8993,16",Опозиційний блок,Луганська обласна організація,Луганська область,2017-06-30,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26003011699073,0,Опозиційний блок,Львівська обласна організація,Львівська область,2017-06-30,
"АТ ""Банк ""Кліринговий Дім""",поточний рахунок,26008010263,"15,04",Опозиційний блок,Київська міська організація,Київ,2017-06-30,
"АТ ""Ощадбанк""",поточний рахунок,26001300831495,"3292,05",Опозиційний блок,Мар’їнська районна організація,Донецька область,2017-06-30,
ПАТ “ПУМБ”,поточний рахунок,2600214189,"187,13",Опозиційний блок,Маріупольська міська організація,Донецька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26000053226136,1394,Опозиційний блок,Первомайська міська організація,Миколаївська область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006051828075,"4355,45",Опозиційний блок,Мирноградська міська організація,Донецька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26003053219452,0,Опозиційний блок,Новобузька районна організація,Миколаївська область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26009051827534,0,Опозиційний блок,Новогродівська міська організація,Донецька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26055051820165,0,Опозиційний блок,Новогродівська міська організація,Донецька область,2017-06-30,
"ПАТ ""Банк Восток""",поточний рахунок,26007010349074,"776,86",Опозиційний блок,Одеська обласна організація,Одеська область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",рахунок виборчого фонду політичної партії,26437054300662,0,Опозиційний блок,Одеська обласна організація,Одеська область,2017-06-30,
ПАТ “ПУМБ”,поточний рахунок,2600115288,"102,2",Опозиційний блок,Першотравнева районна організація,Донецька область,2017-06-30,
ПАТ “ПУМБ”,поточний рахунок,2605810647,0,Опозиційний блок,Першотравнева районна організація,Донецька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26006053607531,"28,41",Опозиційний блок,Олександрівська районна організація,Донецька область,2017-06-30,
"АТ ""Ощадбанк""",поточний рахунок,26005300845391,"1002,91",Опозиційний блок,Покровська міська організація,Донецька область,2017-06-30,
"АТ ""Ощадбанк""",поточний рахунок,26000300844988,"1675,08",Опозиційний блок,Покровська районна організація,Донецька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007054626513,2197,Опозиційний блок,Полтавська обласна організація,Полтавська область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26007053606382,0,Опозиційний блок,Слов’янська районна організація,Донецька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26002053609629,0,Опозиційний блок,Слов’янська міська організація,Донецька область,2017-06-30,
"ПАТ КБ ""Приватбанк"" ",поточний рахунок,26000051830810,"0,25",Опозиційний блок,Селидовська міська організація,Донецька область,2017-06-30,
"АБ ""Укргазбанк""",поточний рахунок,26009299493,"8175,91",Опозиційний блок,Рівненська обласна організація,Рівненська область,2017-06-30,
