Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Комерційні позначення (товарні знаки, торгові марки)","Свідоцтво на знак ""Відродження Політична Партія""","Україна, м.Київ, провулок Музейний, 10, поверх 4",2016-10-31,4135,обтяження відсутнє,,,,"4100,54",Відродження,Центральний офіс,26560280,Україна,5,2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Комп'ютерна програма ""1С:Бухгалтерія 8 для України""","Україна, м.Київ, провулок Музейний, 10, поверх 4",2015-06-24,3600,обтяження відсутнє,,,,1800,Відродження,Центральний офіс,26560280,Україна,5,2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Комп'ютерна програма ""1С:Підприємство 8.Зарплата і Управління Персоналом для України""","Україна, м.Київ, провулок Музейний, 10, поверх 4",2015-06-24,4500,обтяження відсутнє,,,,2250,Відродження,Центральний офіс,26560280,Україна,5,2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)","Комп'ютерна програма ""1С:Підприємство 8.Клієнтська ліцензія на І робоче місце""","Україна, м.Київ, провулок Музейний, 10, поверх 4",2015-12-10,1800,обтяження відсутнє,,,,1080,Відродження,Центральний офіс,26560280,Україна,5,2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусне програмне забезпечення,"Україна, м.Київ, провулок Музейний, 10, поверх 4",2016-06-01,"3165,4",обтяження відсутнє,,,,"2374,06",Відродження,Центральний офіс,26560280,Україна,5,2016
"Авторське право та суміжні з ним права (на літературні та музичні твори, програми для ЕОМ)",Антивірусне програмне забезпечення,"Україна, м.Київ, провулок Музейний, 10, поверх 4",2016-06-24,1500,обтяження відсутнє,,,,1125,Відродження,Центральний офіс,26560280,Україна,5,2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",1С:Підприємство 8.Бухгалтерія,"Україна,м.Київ,вул.Леонтовича,7 оф.2",2014-11-13,2880,обтяження відсутнє,,,,1680,Демократичний альянс,Центральний офіс,37641876,Україна,5,2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Пакет оновлення до прогр ""МЕЭОС""","м.Київ. пр.Музенннй, 2Б",2016-08-19,1260,обтяження відсутнє,,,,840,"Політична партія ""Воля""",Центральний офіс,37413211,Україна,5,2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Программа 1С: Бухгалтерія,м.Київ. пр.Музейний. 2Б,2014-07-21,5760,обтяження відсутнє,,,,1120,"Політична партія ""Воля""",Центральний офіс,37413211,Україна,5,2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Українське об'єднання патріотів-УКРОП"" Свідоцтво КВ № 21696-1596Р","м. Київ, вул. Володимир ська, 12 оф. 307",2015-11-24,,обтяження відсутнє,,,,,Українське обʼєднання патріотів – УКРОП,Центральний офіс,39479782,Україна,5,2016
