Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження об’єкта,Дата придбання,Вартість придбання,Наявність/відсутність обтяжень,Дата відчудження,Вартість відчуження майна,Сума доходу за звітний період (оренда тощо),Балансова вартість на кінець звітного кварталу,Партія,Місцева організація,Область,Дата
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""СОЛІДАРНІСТЬ ВІННИЧИНА""","Україна, м. Вінниця свідоцтво держ.реєстр. № 943-301-Р",09.09.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Вінницька обласна організація,Вінницька область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Друкований засіб масової інформації ""Партійна газета ""Солідарність. Волинь"" (Свідоцтво серії ВЛ № 492-225Р від 11.08.2015 року)","43020, Волинська область, м. Луцьк, вул. Рівненська, буд. 42",11.08.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Волинська обласна організація,Волинська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","""Партійна газета ""Солідарність.Дніпропетровщина""","Україна, місто Дніпро, вулиця Січеславська Набережна (Набережна В.І.Леніна), будинок 39, приміщення 193",28.08.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Дніпропетровська обласна організація,Дніпропетровська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","ПАРТІЙНА ГАЗЕТА ""СОЛІДАРНІСТЬ. ДОНЕЧЧИНА""","87513, Донецька область, м. Маріуполь, вул. Льотна, буд. 20",30.09.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Донецька обласна організація,Донецька область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Газета ""Солідарність. Житомирщина""","Україна., місто Житомир, вулиця І. Сльоти, будинок 32/98",14.08.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Житомирська обласна організація,Житомирська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Партійна газета ""Солідарність. Закарпаття""","88000, Закарпатська обл., м.Ужгород, вул.Перемоги, буд.1",15.09.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Закарпатська обласна організація,Закарпатська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",право на видавництво друкованого засобу масової інформації (свідоцтво про державну реєстрацію друкованого засобу масової інформації серія 33 Хе 1191-466-Р від 01.09.2015 р),"Україна, 69006 м. Запоріжжя пр. Леніна б. 193 оф. 62",01.09.2015,0,обтяження відсутнє,,,0,0,Блок Петра Порошенка,Запорізька обласна організація,Запорізька область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Свідоцтво про державну реєстрацію друкованого засобу масової інформації Серія ІФ №580-247Р,"Івано-Франківська обл., м.Івано-Франківськ, вул.Шевченка, 47",28.08.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Івано-Франківська обласна організація,Івано-Франківська область,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Друкований засіб масової інформації «Солідарність. Київ»,"01015, м.Київ, вул. Лаврська , буд.16.",02.09.2015,850,обтяження відсутнє,,,0,850,Блок Петра Порошенка,Київська міська організація,Київ,31.12.2016
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Свідоцтво про державну реєстрацію друкованого засобу масової інформації (Серія К1 №1620) Партійна газета ""Солідарність. КИЇВЩИНА""","УКРАЇНА, 04053, М.КИЇВ, ПРОВУЛОК БЕХТЕРЕВСЬКИЙ, дом№ 4, корпус ЛІТ .А",17.08.2015,408,обтяження відсутнє,,,0,408,Блок Петра Порошенка,Київська обласна організація,Київська область,31.12.2016
