id,Партія,Область,Місцева організація,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
,Блок Петра Порошенка,Сумська область,Білопільська районна організація,39813336,"41842, Сумська обл., Білопільський район, село Куянівка, ВУЛИЦЯ КАЙДАША, будинок 14, корпус 2","Сумська обл., Білопільський р-н., м. Білопілля, вул. Старопутивльська, буд. 39","Територіальне відокремнене безбалансове відділення № 10018/080 філії сумського обласного управління АТ «Ощадбанк», ЄДРПОУ 09337356"
,Блок Петра Порошенка,Вінницька область,Вінницька обласна організація,39508645,"21000, Вінницька обл., місто Вінниця, ВУЛИЦЯ ГАГАРІНА, будинок 4","21000 Вінницька область,м. Вінниця, вул. Соборна ,буд. 15, приміщення 16","ПАТ "" Міжнародний інвестиційний банк""м. КИЇВ код банку 380582 р/р 26003010318161"
,Блок Петра Порошенка,Волинська область,Волинська обласна організація,39402400,"43020, Волинська обл., місто Луцьк, ВУЛИЦЯ РІВНЕНСЬКА, будинок 42","43020, Волинська обл., місто Луцьк, ВУЛИЦЯ РІВНЕНСЬКА, будинок 42","Відділення № 02-03 ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА АКЦІОНЕРНИЙ БАНК ""ПІВДЕННИЙ"", місцезнаходження: 43020, м. Луцьк, вул. Рівненська, буд. 1а, ідентифікаційний код 20953647, МФО 328209, Рахунок № 26006010004725"
,Блок Петра Порошенка,Дніпропетровська область,Дніпропетровська обласна організація,39795490,"місто Дніпро, вулиця Січеславська Набережна (Набережна В.І.Леніна), будинок 39, приміщення 193","місто Дніпро, вулиця Січеславська Набережна (Набережна В.І.Леніна), будинок 39, приміщення 193","Філія- Дніпропетровське обласне управління публічного акціонерного товариства ""Державний ощадний банк України"", місцезнаходження: 49044, м. Дніпропетровськ, вул. Клари Цеткін, буд. 9А, ідентифікаційний код 09305480, МФО 305482, Рахунок № 26005300484468"
,Блок Петра Порошенка,Донецька область,Донецька обласна організація,39645186,"87513, Донецька обл., місто Маріуполь, ВУЛИЦЯ ЛЬОТНА, будинок 20","84330, Донецька область, м. Краматорськ, вул. Ювілейна, буд. 24","Територіально відокремлене безбалансове відділення№ 10026/01 філії -Г оловного управління по м. Києву та Київській області публічного акціонерного товариства ""Державний ощадний банк України"", місцезнаходження: 03150, м. Київ, вул. Горького, буд. 105, ідентифікаційний код 09322277, МФО 322669, Рахунок № 26006300913474"
,Блок Петра Порошенка,Житомирська область,Житомирська обласна організація,39682762,"10001, Житомирська обл., місто Житомир, вулиця Івана Сльоти, будинок 32/98","10001, Житомирська обл., місто Житомир, вулиця Івана Сльоти, будинок 32/98","відокремлене безбалансове відділення філії -Житомирське обласне управління публічного акціонерного товариства ""Державний ощадний банк України"", місцезнаходження: 10008, м. Житомир, вул. І. Франка, буд. 3, ідентифікаційний код 09311380, МФО 311647, Рахунок № 26000300890814"
,Блок Петра Порошенка,Закарпатська область,Закарпатська обласна організація,39950317,"88000, Закарпатська обл., місто Ужгород, ВУЛИЦЯ ПЕРЕМОГИ, будинок 1","88000, Закарпатська обл., місто Ужгород, ВУЛИЦЯ ПЕРЕМОГИ, будинок 1","Публічне акціонерне товариство ""Комерційний інвестиційний банк"", місцезнаходження:8 8000, м. Ужгород, вул. Ю. Г ойди, буд. 10, ідентифікаційний код 19355562, МФО 312248 Рахунок №26006015000808"
,Блок Петра Порошенка,Запорізька область,Запорізька обласна організація,39434317,"69006, Запорізька обл., місто Запоріжжя, ПРОСПЕКТ ЛЕНІНА, будинок 193, офіс 62","69095, Запорізька обл., місто Запоріжжя, проспект Соборний, будинок 99, 45/46","Відділення №2 філії публічного акціонерного товариства ""Державний експортно-імпортний банк України"" в м. Запоріжжі, місцезнаходження: 69035, м. Запоріжжя, вул. 40 років Рад. України, буд. 51, ідентифікаційний код: 24905013, МФО 313979, Рахунок № 2600501759900"
,Блок Петра Порошенка,Івано-Франківська область,Івано-Франківська обласна організація,39655372,"76018, Івано-Франківська обл., місто Івано-Франківськ, ВУЛИЦЯ АКАДЕМІКА САХАРОВА, будинок 23","76018, Івано-Франківська обл., м.Івано-Франківськ, вулиця Шевченка, номер будинку 47","Відділення №493 публічного акціонерного товариства ""УкрСиббанк"", місцезнаходження: 76018, м. Івано-Франківськ, вул. Січових Стрільців, буд. 23, ідентифікаційний код 09807750, МФО 351005, Рахунок № 26007557484900"
,Блок Петра Порошенка,Київ,Київська міська організація,39154804,"01015, м.Київ, ВУЛИЦЯ ЛАВРСЬКА, будинок 16","01015, м.Київ, ВУЛИЦЯ ЛАВРСЬКА, будинок 16","Публічне акціонерне товариство ""УКРСОЦБАНК"" Старокиївське відділення, місцезнаходження: 01033, м. Київ, вул. Саксаганського, буд. 14, ідентифікаційний код 00039019, МФО 300023 Рахунок № 26008011649608"
,Блок Петра Порошенка,Київська область,Київська обласна організація,39495516,"04053, м.Київ, ПРОВУЛОК БЕХТЕРЕВСЬКИЙ, будинок 4, ЛІТ.А","04053, м.Київ, ПРОВУЛОК БЕХТЕРЕВСЬКИЙ, будинок 4, ЛІТ.А","Територіально відокремлене безбалансове відділення №10026/0159 філії -Г оловного управління по м. Києву та Київській області публічного акціонерного товариства ""Державний ощадний банк України"", місцезнаходження: 04053, м. Київ, вул. Артема, буд. 32-38, ідентифікаційний код 09322277, МФО 322669, Рахунок № 26004300956820"
,Блок Петра Порошенка,Кіровоградська область,Кіровоградська обласна організація,39697790,"25006, Кіровоградська обл., місто Кіровоград, ВУЛИЦЯ ВЕЛИКА ПЕРСПЕКТИВНА, будинок 3/5, квартира 24","25006, Кіровоградська обл., місто Кіровоград, ВУЛИЦЯ ВЕЛИКА ПЕРСПЕКТИВНА, будинок 3/5, квартира 24","ПАТ КБ «Приватбанк», м. Кіровоград, Код банку 323583 Поточний рахунок № 26002052912613, депозитний строковий №26103000275999, депозитний поточний №26005000968111, депозитний строковий №26107000247257, депозитний поточний №26005000691455"
,Блок Петра Порошенка,Івано-Франківська область,Коломийська міська організація,39790251,"78200, Івано-Франківська обл., місто Коломия, ВУЛИЦЯ ДОВБУША, будинок 65А","78200, Івано-Франківська обл., м. Коломия, вул. Петлюри, буд.9","Територіально відокремлене безбалансове відділення № 10008/0129 філії Івано- Франківського обласного управління публічного акціонерного товариства ""Державний ощадний банк України"", місцезнаходження: 78200, м. Коломия, вул. Драгоманова, буд. 5, ідентифікаційний код 00032129, МФО 336503 Рахунок № 26003300980169"
,Блок Петра Порошенка,Полтавська область,Кременчуцька міська організація,39957532,"Полт.обл. м.Кременчук, Автозаводський р-н, вул.29 вересня , буд.10/24, кв.3","Полт.обл. м Кременчук, вул. Шевченка 16/5, офіс 3","Публічне акціонерне товариство ""Промислово-фінансовий банк"", місцезнаходження: 39627, Полтавська обл., м. Кременчук, буд. 22Б, кв. 278, ідентифікаційний код 25292831, МФО 331768, Рахунок № 26001424501"
,Блок Петра Порошенка,Луганська область,Луганська обласна організація,39825996,"93400, Луганська обл., місто Сєвєродонецьк, ВУЛИЦЯ КУРЧАТОВА, будинок 23","93400, Луганська обл., місто Сєвєродонецьк, ВУЛИЦЯ КУРЧАТОВА, будинок 23","Луганська філія публічного акціонерного товариства комерційний банк ""ПРИВАТБАНК"", місцезнаходження: 91011, м. Луганськ, вул. Челюскінців, буд. 14, ідентифікаційний код 14360570, МФО 304795, Рахунок № 26009053718941"
,Блок Петра Порошенка,Львівська область,Львівська обласна організація,39702118,"79026, Львівська обл., місто Львів, ВУЛИЦЯ ЛАЗАРЕНКА, будинок 1А, КАБІНЕТ №72","79026, Львівська обл., місто Львів, ВУЛИЦЯ ЛАЗАРЕНКА, будинок 1А, КАБІНЕТ №71","Відділення ""Львівська регіональна дирекція"" публічного акціонерного товариства ""МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК"", місцезнаходження: 79071, м. Львів, вул. Щирецька, буд. 36, ідентифікаційний код 35810511, МФО 380582 Рахунок № 26004010318212"
,Блок Петра Порошенка,Миколаївська область,Миколаївська обласна організація,26029188,"54001, Миколаївська обл., місто Миколаїв, ВУЛИЦЯ ЛЯГІНА, будинок 4, офіс 214","54001, Миколаївська обл., місто Миколаїв, ВУЛИЦЯ ЛЯГІНА, будинок 4, офіс 214","Філія публічного акціонерного товариства ""Державний експортно-імпортний банк України"" в м. Миколаєві, місцезнаходження: 54017, м. Миколаїв, вул. Декабристів, буд. 25-А, ідентифікаційний код 19362154, МФО 326739, Рахунок № 26001001018134, ПАТ КБ ПРИВАТБАНК , МФО 326610, ідентифікаційний код 14360570, р/р 26001053219711"
,Блок Петра Порошенка,Одеська область,Одеська обласна організація,39607381,"65014, Одеська обл., місто Одеса, ВУЛИЦЯ КАНАТНА, будинок 10","65014, Одеська обл., місто Одеса, ВУЛИЦЯ КАНАТНА, будинок 10","Відділення № 26 публічного акціонерного товариства ""БАНК ВОСТОК"" , місцезнаходження: 65014, м. Одеса, вул. Канатна, буд. 1-Б, ідентифікаційний код 26237202, МФО 307123 Рахунок № 26003010325274"
,Блок Петра Порошенка,Полтавська область,Полтавська міська організація,39962153,"36014, Полтавська обл., місто Полтава, ВУЛИЦЯ ЖОВТНЕВА, будинок 60","м.Полтава, вул.Котляревського, 22б","Полтавська обласна дирекція публічного акціонерного товариства акціонерний банк ""УКРГАЗБАНК"" відділення №323, місцезнаходження: 36020, м. Полтава, вул. Жовтнева, буд. 19, ідентифікаційний код 23697280, МФО 320478 Рахунок № 26000212002144"
,Блок Петра Порошенка,Полтавська область,Полтавська обласна організація,26090791,"36000, Полтавська обл., місто Полтава, ВУЛИЦЯ ЖОВТНЕВА, будинок 60","36000, Полтавська обл., м.Полтава, вул.Котляревського, 22Б","Полтавська обласна дирекція публічного акціонерного товариства акціонерний банк ""УКРГАЗБАНК"" відділення №323, місцезнаходження: 36020, м. Полтава, вул. Жовтнева, буд. 19, ідентифікаційний код 23697280, МФО 320478 Рахунок №26000279199"
,Блок Петра Порошенка,Рівненська область,Рівненська обласна організація,39757256,"33027, Рівненська обл., місто Рівне, ВУЛИЦЯ ДАНИЛА ГАЛИЦЬКОГО, будинок 19, офіс 106","33027, Рівненська обл., місто Рівне, ВУЛИЦЯ ДАНИЛА ГАЛИЦЬКОГО, будинок 19, офіс 106","Рівненська філія ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА КОМЕРЦІЙНИЙ БАНК ""ПРИВАТБАНК"", місцезнаходження: 33023, м. Рівне, вул. Грушевського, буд. 42А, ідентифікаційний код 14360570, МФО 333391 Рахунок № 26009054713048"
,Блок Петра Порошенка,Сумська область,Сумська обласна організація,39587135,"40009, Сумська обл., місто Суми, ВУЛИЦЯ ЯРОСЛАВА МУДРОГО, будинок 60/1","40009, Сумська обл., місто Суми, ВУЛИЦЯ ЯРОСЛАВА МУДРОГО, будинок 60/1","Публічне акціонерне товариство комерційний банк ""ПРИВАТБАНК"", місцезнаходження: 40030, м. Суми, вул. Козацький Вал, буд. 1, ідентифікаційний код: 14360570, МФО 337546 Рахунок № 26009055016910"
,Блок Петра Порошенка,Тернопільська область,Тернопільська обласна організація,39614425,"46001, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ САГАЙДАЧНОГО, будинок 6А","46001, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ САГАЙДАЧНОГО, будинок 6А","Тернопільська філія публічного акціонерного товариства комерційний банк ""ПРИВАТБАНК"", місцезнаходження: 46013, м. Тернопіль, пр-т. Степана Бандери, буд. 38, ідентифікаційний код 14360570, МФО 338783 Рахунок № 26009055114295"
,Блок Петра Порошенка,Харківська область,Харківська обласна організація,39740347,"61022, Харківська обл., місто Харків, ВУЛИЦЯ СУМСЬКА, будинок 39","61022, Харківська обл., місто Харків, ВУЛИЦЯ СУМСЬКА, будинок 39","Публічне акціонерне товариство ""МЕГАБАНК"", місцезнаходження: 61002, м. Харків, вул. Артема (Алчевських), буд. 30, ідентифікаційний код 09804119, МФО 351629 Рахунок № 2600912063"
,Блок Петра Порошенка,Херсонська область,Херсонська обласна організація,39438699,"73035, Херсонська обл., місто Херсон, ВУЛИЦЯ 14 СХІДНА, будинок 3","73000, Херсонська область м.Херсон Вул. Перекопська 39а","Відділення №265/21 публічного акціонерного товариства акціонерний банк ""УКРГАЗБАНК"" , місцезнаходження: 73000, м. Херсон, вул. Перекопська, буд.21, ідентифікаційний код 23697280, МФО 320478 Рахунок № 26001266059"
,Блок Петра Порошенка,Хмельницька область,Хмельницька обласна організація,39545645,"29000, Хмельницька обл., місто Хмельницький, ПРОВУЛОК ПУШКІНА, будинок 11","29000, Хмельницька обл., місто Хмельницький, ПРОВУЛОК ПУШКІНА, будинок 11","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРСОЦБАНК"", місцезнаходження: 03150, м. Київ, вул. Ковпака, буд. 29, ідентифікаційний код 00039019, МФО 300023 Рахунок № 26001011576381"
